GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_291802,301500,2783500,Geometridae,Scopula propinquaria,成蟲,2012,345272,3826_11661
3826_287813,312500,2775500,Geometridae,Scopula propinquaria,成蟲,2012,345272,3826_11563
3826_291805,304500,2783500,Geometridae,Scopula propinquaria,成蟲,2012,345272,3826_11661
3826_284308,307500,2768500,Geometridae,Scopula propinquaria,成蟲,2012,345272,3826_11362
3826_187200,199500,2574500,Geometridae,Scopula propinquaria,成蟲,2012,345272,3826_7440
3826_263798,297500,2727500,Geometridae,Scopula propinquaria,成蟲,2012,345272,3826_10560
3826_273788,287500,2747500,Geometridae,Scopula propinquaria,成蟲,2012,345272,3826_10958
3826_280304,303500,2760500,Geometridae,Scopula propinquaria,成蟲,2012,345272,3826_11261
3826_280306,305500,2760500,Geometridae,Scopula propinquaria,成蟲,2012,345272,3826_11262
3826_281312,311500,2762500,Geometridae,Scopula propinquaria,成蟲,2012,345272,3826_11263
3826_261326,325500,2722500,Geometridae,Scopula propinquaria,成蟲,2012,345272,3826_10466
3826_290311,310500,2780500,Geometridae,Scopula propinquaria,成蟲,2012,345272,3826_11663
3826_288335,334500,2776500,Geometridae,Scopula propinquaria,成蟲,2012,345272,3826_11567
3826_259800,299500,2719500,Geometridae,Scopula propinquaria,成蟲,2012,345272,3826_10360
3826_284315,314500,2768500,Geometridae,Scopula propinquaria,成蟲,2013,345272,3826_11363
3826_291805,304500,2783500,Geometridae,Scopula propinquaria,成蟲,2013,345272,3826_11661
3826_226305,304500,2652500,Geometridae,Scopula propinquaria,成蟲,2013,345272,3826_9061
3826_291329,328500,2782500,Geometridae,Scopula propinquaria,成蟲,2013,345272,3826_11666
3826_282313,312500,2764500,Geometridae,Scopula propinquaria,成蟲,2013,345272,3826_11263
3826_280787,286500,2761500,Geometridae,Scopula propinquaria,成蟲,2013,345272,3826_11258
3826_273325,324500,2746500,Geometridae,Scopula propinquaria,成蟲,2013,345272,3826_10965
3826_263798,297500,2727500,Geometridae,Scopula propinquaria,成蟲,2013,345272,3826_10560
3826_292307,306500,2784500,Geometridae,Scopula propinquaria,成蟲,2013,345272,3826_11662
3826_282820,319500,2765500,Geometridae,Scopula propinquaria,成蟲,2013,345272,3826_11364
3826_275267,266500,2750500,Geometridae,Scopula propinquaria,成蟲,2013,345272,3826_11054
3826_274307,306500,2748500,Geometridae,Scopula propinquaria,成蟲,2013,345272,3826_10962
3826_287311,310500,2774500,Geometridae,Scopula propinquaria,成蟲,2013,345272,3826_11463
3826_280304,303500,2760500,Geometridae,Scopula propinquaria,成蟲,2013,345272,3826_11261
3826_284810,309500,2769500,Geometridae,Scopula propinquaria,成蟲,2013,345272,3826_11362
3826_152714,213500,2505500,Geometridae,Scopula propinquaria,成蟲,2014,345272,3826_6143
3826_144746,245500,2489500,Geometridae,Scopula propinquaria,成蟲,2014,345272,3826_5750
3826_287813,312500,2775500,Geometridae,Scopula propinquaria,成蟲,2014,345272,3826_11563
3826_281820,319500,2763500,Geometridae,Scopula propinquaria,成蟲,2013,345272,3826_11264
3826_243237,236500,2686500,Geometridae,Scopula propinquaria,成蟲,2014,345272,3826_9748
3826_228759,258500,2657500,Geometridae,Scopula propinquaria,成蟲,2013,345272,3826_9152
