GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_227252,251500,2654500,Nolidae,Selepa celtis,幼蟲,2012,346930,3826_9051
3826_289309,308500,2778500,Nolidae,Selepa celtis,幼蟲,2012,346930,3826_11562
3826_282806,305500,2765500,Nolidae,Selepa celtis,幼蟲,2013,346930,3826_11362
3826_279782,281500,2759500,Nolidae,Selepa celtis,幼蟲,2013,346930,3826_11157
3826_275267,266500,2750500,Nolidae,Selepa celtis,幼蟲,2013,346930,3826_11054
3826_115723,222500,2431500,Nolidae,Selepa celtis,幼蟲,2013,346930,3826_4645
3826_289798,297500,2779500,Nolidae,Selepa celtis,幼蟲,2013,346930,3826_11560
3826_271769,268500,2743500,Nolidae,Selepa celtis,成蟲,2013,346930,3826_10854
3826_283807,306500,2767500,Nolidae,Selepa celtis,幼蟲,2013,346930,3826_11362
3826_242728,227500,2685500,Nolidae,Selepa celtis,幼蟲,2014,346930,3826_9746
3826_157677,176500,2515500,Nolidae,Selepa celtis,幼蟲,2014,346930,3826_6336
3826_251237,236500,2702500,Nolidae,Selepa celtis,幼蟲,2014,346930,3826_10048
3826_280805,304500,2761500,Nolidae,Selepa celtis,幼蟲,2014,346930,3826_11261
3826_155679,178500,2511500,Nolidae,Selepa celtis,幼蟲,2014,346930,3826_6236
3826_286788,287500,2773500,Nolidae,Selepa celtis,幼蟲,2014,346930,3826_11458
3826_286306,305500,2772500,Nolidae,Selepa celtis,幼蟲,2013,346930,3826_11462
3826_218727,226500,2637500,Nolidae,Selepa celtis,幼蟲,2015,346930,3826_8746
3826_283807,306500,2767500,Nolidae,Selepa celtis,幼蟲,2016,346930,3826_11362
3826_273275,274500,2746500,Nolidae,Selepa celtis,幼蟲,2016,346930,3826_10955
3826_155691,190500,2511500,Nolidae,Selepa celtis,幼蟲,2013,346930,3826_6239
3826_151183,182500,2502500,Nolidae,Selepa celtis,幼蟲,2011,346930,3826_6037
3826_152684,183500,2505500,Nolidae,Selepa celtis,幼蟲,2016,346930,3826_6137
3826_230726,225500,2661500,Nolidae,Selepa celtis,幼蟲,2016,346930,3826_9246
3826_169668,167500,2539500,Nolidae,Selepa celtis,幼蟲,2016,346930,3826_6734
3826_151683,182500,2503500,Nolidae,Selepa celtis,幼蟲,2016,346930,3826_6037
3826_287809,308500,2775500,Nolidae,Selepa celtis,幼蟲,2016,346930,3826_11562
3826_297301,300500,2794500,Nolidae,Selepa celtis,幼蟲,2016,346930,3826_11861
3826_282307,306500,2764500,Nolidae,Selepa celtis,幼蟲,2016,346930,3826_11262
3826_281810,309500,2763500,Nolidae,Selepa celtis,成蟲,2017,346930,3826_11262
3826_271249,248500,2742500,Nolidae,Selepa celtis,幼蟲,2017,346930,3826_10850
3826_283805,304500,2767500,Nolidae,Selepa celtis,幼蟲,2017,346930,3826_11361
3826_268762,261500,2737500,Nolidae,Selepa celtis,幼蟲,2017,346930,3826_10753
3826_288804,303500,2777500,Nolidae,Selepa celtis,幼蟲,2018,346930,3826_11561
3826_283807,306500,2767500,Nolidae,Selepa celtis,幼蟲,2018,346930,3826_11362
3826_284809,308500,2769500,Nolidae,Selepa celtis,幼蟲,2018,346930,3826_11362
3826_273762,261500,2747500,Nolidae,Selepa celtis,幼蟲,2018,346930,3826_10953
3826_263771,270500,2727500,Nolidae,Selepa celtis,幼蟲,2018,346930,3826_10555
3826_268764,263500,2737500,Nolidae,Selepa celtis,幼蟲,2018,346930,3826_10753
3826_287810,309500,2775500,Nolidae,Selepa celtis,幼蟲,2018,346930,3826_11562
3826_261326,325500,2722500,Nolidae,Selepa celtis,幼蟲,2019,346930,3826_10466
3826_271249,248500,2742500,Nolidae,Selepa celtis,幼蟲,2019,346930,3826_10850
3826_287813,312500,2775500,Nolidae,Selepa celtis,幼蟲,2019,346930,3826_11563
3826_280807,306500,2761500,Nolidae,Selepa celtis,幼蟲,2020,346930,3826_11262
3826_197700,199500,2595500,Nolidae,Selepa celtis,幼蟲,2021,346930,3826_7940
