GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_290304,303500,2780500,Erebidae,Serrodes campana,幼蟲,2011,346717,3826_11661
3826_228264,263500,2656500,Erebidae,Serrodes campana,成蟲,2011,346717,3826_9153
3826_154714,213500,2509500,Erebidae,Serrodes campana,幼蟲,2012,346717,3826_6143
3826_204726,225500,2609500,Erebidae,Serrodes campana,成蟲,2012,346717,3826_8146
3826_152675,174500,2505500,Erebidae,Serrodes campana,成蟲,2012,346717,3826_6135
3826_273788,287500,2747500,Erebidae,Serrodes campana,成蟲,2012,346717,3826_10958
3826_187200,199500,2574500,Erebidae,Serrodes campana,幼蟲,2012,346717,3826_7440
3826_128729,228500,2457500,Erebidae,Serrodes campana,成蟲,2012,346717,3826_5146
3826_195715,214500,2591500,Erebidae,Serrodes campana,成蟲,2011,346717,3826_7843
3826_284809,308500,2769500,Erebidae,Serrodes campana,成蟲,2012,346717,3826_11362
3826_152175,174500,2504500,Erebidae,Serrodes campana,幼蟲,2013,346717,3826_6035
3826_273788,287500,2747500,Erebidae,Serrodes campana,成蟲,2013,346717,3826_10958
3826_197218,217500,2594500,Erebidae,Serrodes campana,成蟲,2013,346717,3826_7844
3826_267778,277500,2735500,Erebidae,Serrodes campana,成蟲,2013,346717,3826_10756
3826_188716,215500,2577500,Erebidae,Serrodes campana,成蟲,2013,346717,3826_7544
3826_279306,305500,2758500,Erebidae,Serrodes campana,成蟲,2013,346717,3826_11162
3826_255262,261500,2710500,Erebidae,Serrodes campana,成蟲,2013,346717,3826_10253
3826_140224,223500,2480500,Erebidae,Serrodes campana,成蟲,2010,346717,3826_5645
3826_272276,275500,2744500,Erebidae,Serrodes campana,成蟲,2013,346717,3826_10856
3826_264779,278500,2729500,Erebidae,Serrodes campana,成蟲,2013,346717,3826_10556
3826_128729,228500,2457500,Erebidae,Serrodes campana,幼蟲,2013,346717,3826_5146
3826_128729,228500,2457500,Erebidae,Serrodes campana,成蟲,2013,346717,3826_5146
3826_187200,199500,2574500,Erebidae,Serrodes campana,成蟲,2013,346717,3826_7440
3826_228764,263500,2657500,Erebidae,Serrodes campana,成蟲,2013,346717,3826_9153
3826_273280,279500,2746500,Erebidae,Serrodes campana,成蟲,2014,346717,3826_10956
3826_220810,309500,2641500,Erebidae,Serrodes campana,成蟲,2014,346717,3826_8862
3826_272780,279500,2745500,Erebidae,Serrodes campana,成蟲,2014,346717,3826_10956
3826_140224,223500,2480500,Erebidae,Serrodes campana,幼蟲,2014,346717,3826_5645
3826_139724,223500,2479500,Erebidae,Serrodes campana,成蟲,2014,346717,3826_5545
3826_128729,228500,2457500,Erebidae,Serrodes campana,成蟲,2014,346717,3826_5146
3826_288308,307500,2776500,Erebidae,Serrodes campana,成蟲,2014,346717,3826_11562
3826_187199,198500,2574500,Erebidae,Serrodes campana,成蟲,2014,346717,3826_7440
3826_201710,209500,2603500,Erebidae,Serrodes campana,幼蟲,2014,346717,3826_8042
3826_237801,300500,2675500,Erebidae,Serrodes campana,成蟲,2014,346717,3826_9561
3826_195211,210500,2590500,Erebidae,Serrodes campana,幼蟲,2014,346717,3826_7843
3826_228264,263500,2656500,Erebidae,Serrodes campana,成蟲,2014,346717,3826_9153
3826_139723,222500,2479500,Erebidae,Serrodes campana,幼蟲,2014,346717,3826_5545
3826_273760,259500,2747500,Erebidae,Serrodes campana,幼蟲,2014,346717,3826_10952
3826_221310,309500,2642500,Erebidae,Serrodes campana,成蟲,2015,346717,3826_8862
3826_237248,247500,2674500,Erebidae,Serrodes campana,成蟲,2015,346717,3826_9450
3826_280809,308500,2761500,Erebidae,Serrodes campana,成蟲,2014,346717,3826_11262
3826_280340,339500,2760500,Erebidae,Serrodes campana,成蟲,2014,346717,3826_11268
3826_236745,244500,2673500,Erebidae,Serrodes campana,成蟲,2014,346717,3826_9449
3826_235278,277500,2670500,Erebidae,Serrodes campana,成蟲,2014,346717,3826_9456
3826_195215,214500,2590500,Erebidae,Serrodes campana,成蟲,2014,346717,3826_7843
3826_195215,214500,2590500,Erebidae,Serrodes campana,成蟲,2015,346717,3826_7843
3826_239821,320500,2679500,Erebidae,Serrodes campana,成蟲,2014,346717,3826_9565
3826_264279,278500,2728500,Erebidae,Serrodes campana,成蟲,2014,346717,3826_10556
3826_283808,307500,2767500,Erebidae,Serrodes campana,成蟲,2015,346717,3826_11362
3826_259299,298500,2718500,Erebidae,Serrodes campana,成蟲,2010,346717,3826_10360
3826_283807,306500,2767500,Erebidae,Serrodes campana,成蟲,2015,346717,3826_11362
3826_236217,216500,2672500,Erebidae,Serrodes campana,成蟲,2015,346717,3826_9444
3826_281844,343500,2763500,Erebidae,Serrodes campana,成蟲,2015,346717,3826_11269
3826_264283,282500,2728500,Erebidae,Serrodes campana,成蟲,2015,346717,3826_10557
3826_293303,302500,2786500,Erebidae,Serrodes campana,成蟲,2015,346717,3826_11761
3826_269762,261500,2739500,Erebidae,Serrodes campana,成蟲,2015,346717,3826_10753
3826_294303,302500,2788500,Erebidae,Serrodes campana,成蟲,2015,346717,3826_11761
3826_199225,224500,2598500,Erebidae,Serrodes campana,成蟲,2012,346717,3826_7945
3826_286306,305500,2772500,Erebidae,Serrodes campana,成蟲,2015,346717,3826_11462
3826_263252,251500,2726500,Erebidae,Serrodes campana,成蟲,2015,346717,3826_10551
3826_228263,262500,2656500,Erebidae,Serrodes campana,成蟲,2012,346717,3826_9153
3826_132738,237500,2465500,Erebidae,Serrodes campana,成蟲,2015,346717,3826_5348
3826_228245,244500,2656500,Erebidae,Serrodes campana,成蟲,2014,346717,3826_9149
3826_290310,309500,2780500,Erebidae,Serrodes campana,成蟲,2016,346717,3826_11662
3826_212229,228500,2624500,Erebidae,Serrodes campana,成蟲,2015,346717,3826_8446
3826_152175,174500,2504500,Erebidae,Serrodes campana,成蟲,2012,346717,3826_6035
3826_167728,227500,2535500,Erebidae,Serrodes campana,成蟲,2012,346717,3826_6746
3826_237248,247500,2674500,Erebidae,Serrodes campana,成蟲,2016,346717,3826_9450
3826_275786,285500,2751500,Erebidae,Serrodes campana,成蟲,2016,346717,3826_11058
3826_264279,278500,2728500,Erebidae,Serrodes campana,成蟲,2016,346717,3826_10556
3826_173284,283500,2546500,Erebidae,Serrodes campana,成蟲,2016,346717,3826_6957
3826_186781,280500,2573500,Erebidae,Serrodes campana,成蟲,2016,346717,3826_7457
3826_176221,220500,2552500,Erebidae,Serrodes campana,成蟲,2016,346717,3826_7045
3826_198236,235500,2596500,Erebidae,Serrodes campana,成蟲,2013,346717,3826_7948
3826_155250,249500,2510500,Erebidae,Serrodes campana,成蟲,2016,346717,3826_6250
3826_266771,270500,2733500,Erebidae,Serrodes campana,成蟲,2016,346717,3826_10655
3826_289809,308500,2779500,Erebidae,Serrodes campana,成蟲,2016,346717,3826_11562
3826_227306,305500,2654500,Erebidae,Serrodes campana,成蟲,2016,346717,3826_9062
3826_232268,267500,2664500,Erebidae,Serrodes campana,成蟲,2016,346717,3826_9254
3826_207230,229500,2614500,Erebidae,Serrodes campana,成蟲,2016,346717,3826_8246
3826_267279,278500,2734500,Erebidae,Serrodes campana,成蟲,2016,346717,3826_10656
3826_190782,281500,2581500,Erebidae,Serrodes campana,成蟲,2016,346717,3826_7657
3826_195214,213500,2590500,Erebidae,Serrodes campana,成蟲,2014,346717,3826_7843
3826_209219,218500,2618500,Erebidae,Serrodes campana,成蟲,2016,346717,3826_8344
3826_159220,219500,2518500,Erebidae,Serrodes campana,成蟲,2015,346717,3826_6344
3826_237228,227500,2674500,Erebidae,Serrodes campana,成蟲,2016,346717,3826_9446
3826_284315,314500,2768500,Erebidae,Serrodes campana,成蟲,2016,346717,3826_11363
3826_194722,221500,2589500,Erebidae,Serrodes campana,成蟲,2017,346717,3826_7745
3826_236312,311500,2672500,Erebidae,Serrodes campana,成蟲,2016,346717,3826_9463
3826_237801,300500,2675500,Erebidae,Serrodes campana,成蟲,2015,346717,3826_9561
3826_220810,309500,2641500,Erebidae,Serrodes campana,成蟲,2016,346717,3826_8862
3826_284810,309500,2769500,Erebidae,Serrodes campana,成蟲,2017,346717,3826_11362
3826_265782,281500,2731500,Erebidae,Serrodes campana,成蟲,2017,346717,3826_10657
3826_195214,213500,2590500,Erebidae,Serrodes campana,成蟲,2017,346717,3826_7843
3826_198236,235500,2596500,Erebidae,Serrodes campana,成蟲,2017,346717,3826_7948
3826_228263,262500,2656500,Erebidae,Serrodes campana,成蟲,2017,346717,3826_9153
