GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_279306,305500,2758500,Limacodidae,Setora postornata,成蟲,2012,429089,3826_11162
3826_297809,308500,2795500,Limacodidae,Setora postornata,幼蟲,2012,429089,3826_11962
3826_231705,204500,2663500,Limacodidae,Setora postornata,幼蟲,2012,429089,3826_9241
3826_280304,303500,2760500,Limacodidae,Setora postornata,幼蟲,2012,429089,3826_11261
3826_291805,304500,2783500,Limacodidae,Setora postornata,幼蟲,2012,429089,3826_11661
3826_273796,295500,2747500,Limacodidae,Setora postornata,幼蟲,2012,429089,3826_10960
3826_280807,306500,2761500,Limacodidae,Setora postornata,幼蟲,2012,429089,3826_11262
3826_272277,276500,2744500,Limacodidae,Setora postornata,幼蟲,2012,429089,3826_10856
3826_272781,280500,2745500,Limacodidae,Setora postornata,幼蟲,2012,429089,3826_10957
3826_274762,261500,2749500,Limacodidae,Setora postornata,幼蟲,2012,429089,3826_10953
3826_276808,307500,2753500,Limacodidae,Setora postornata,幼蟲,2012,429089,3826_11062
3826_224769,268500,2649500,Limacodidae,Setora postornata,幼蟲,2012,429089,3826_8954
3826_282309,308500,2764500,Limacodidae,Setora postornata,幼蟲,2012,429089,3826_11262
3826_144746,245500,2489500,Limacodidae,Setora postornata,幼蟲,2010,429089,3826_5750
3826_249744,243500,2699500,Limacodidae,Setora postornata,幼蟲,2012,429089,3826_9949
3826_271249,248500,2742500,Limacodidae,Setora postornata,幼蟲,2013,429089,3826_10850
3826_263243,242500,2726500,Limacodidae,Setora postornata,幼蟲,2013,429089,3826_10549
3826_280804,303500,2761500,Limacodidae,Setora postornata,幼蟲,2013,429089,3826_11261
3826_290315,314500,2780500,Limacodidae,Setora postornata,幼蟲,2013,429089,3826_11663
3826_280770,269500,2761500,Limacodidae,Setora postornata,幼蟲,2013,429089,3826_11254
3826_279306,305500,2758500,Limacodidae,Setora postornata,成蟲,2013,429089,3826_11162
3826_166722,221500,2533500,Limacodidae,Setora postornata,幼蟲,2012,429089,3826_6645
3826_273826,325500,2747500,Limacodidae,Setora postornata,成蟲,2013,429089,3826_10966
3826_280815,314500,2761500,Limacodidae,Setora postornata,幼蟲,2013,429089,3826_11263
3826_218230,229500,2636500,Limacodidae,Setora postornata,幼蟲,2013,429089,3826_8746
3826_280304,303500,2760500,Limacodidae,Setora postornata,幼蟲,2013,429089,3826_11261
3826_274280,279500,2748500,Limacodidae,Setora postornata,幼蟲,2013,429089,3826_10956
3826_269811,310500,2739500,Limacodidae,Setora postornata,成蟲,2013,429089,3826_10763
3826_283807,306500,2767500,Limacodidae,Setora postornata,幼蟲,2013,429089,3826_11362
3826_220810,309500,2641500,Limacodidae,Setora postornata,幼蟲,2014,429089,3826_8862
3826_220810,309500,2641500,Limacodidae,Setora postornata,成蟲,2014,429089,3826_8862
3826_273279,278500,2746500,Limacodidae,Setora postornata,幼蟲,2014,429089,3826_10956
3826_170217,216500,2540500,Limacodidae,Setora postornata,成蟲,2014,429089,3826_6844
3826_281810,309500,2763500,Limacodidae,Setora postornata,幼蟲,2014,429089,3826_11262
3826_237230,229500,2674500,Limacodidae,Setora postornata,幼蟲,2014,429089,3826_9446
3826_212229,228500,2624500,Limacodidae,Setora postornata,成蟲,2014,429089,3826_8446
3826_275252,251500,2750500,Limacodidae,Setora postornata,成蟲,2014,429089,3826_11051
3826_266769,268500,2733500,Limacodidae,Setora postornata,幼蟲,2014,429089,3826_10654
3826_177789,288500,2555500,Limacodidae,Setora postornata,幼蟲,2014,429089,3826_7158
3826_154218,217500,2508500,Limacodidae,Setora postornata,成蟲,2014,429089,3826_6144
3826_151248,247500,2502500,Limacodidae,Setora postornata,成蟲,2014,429089,3826_6050
3826_290805,304500,2781500,Limacodidae,Setora postornata,幼蟲,2014,429089,3826_11661
3826_273786,285500,2747500,Limacodidae,Setora postornata,幼蟲,2014,429089,3826_10958
3826_212729,228500,2625500,Limacodidae,Setora postornata,幼蟲,2014,429089,3826_8546
3826_282309,308500,2764500,Limacodidae,Setora postornata,幼蟲,2014,429089,3826_11262
3826_280805,304500,2761500,Limacodidae,Setora postornata,幼蟲,2014,429089,3826_11261
3826_226243,242500,2652500,Limacodidae,Setora postornata,幼蟲,2014,429089,3826_9049
3826_221310,309500,2642500,Limacodidae,Setora postornata,成蟲,2015,429089,3826_8862
3826_282789,288500,2765500,Limacodidae,Setora postornata,幼蟲,2012,429089,3826_11358
3826_224769,268500,2649500,Limacodidae,Setora postornata,成蟲,2014,429089,3826_8954
3826_284315,314500,2768500,Limacodidae,Setora postornata,幼蟲,2015,429089,3826_11363
3826_172718,217500,2545500,Limacodidae,Setora postornata,幼蟲,2015,429089,3826_6944
3826_279306,305500,2758500,Limacodidae,Setora postornata,幼蟲,2012,429089,3826_11162
3826_209230,229500,2618500,Limacodidae,Setora postornata,成蟲,2015,429089,3826_8346
3826_285793,292500,2771500,Limacodidae,Setora postornata,幼蟲,2015,429089,3826_11459
3826_236247,246500,2672500,Limacodidae,Setora postornata,成蟲,2015,429089,3826_9450
3826_225250,249500,2650500,Limacodidae,Setora postornata,幼蟲,2015,429089,3826_9050
3826_283805,304500,2767500,Limacodidae,Setora postornata,幼蟲,2015,429089,3826_11361
3826_284325,324500,2768500,Limacodidae,Setora postornata,幼蟲,2015,429089,3826_11365
3826_273304,303500,2746500,Limacodidae,Setora postornata,幼蟲,2015,429089,3826_10961
3826_227764,263500,2655500,Limacodidae,Setora postornata,成蟲,2012,429089,3826_9153
3826_273278,277500,2746500,Limacodidae,Setora postornata,幼蟲,2010,429089,3826_10956
3826_273278,277500,2746500,Limacodidae,Setora postornata,幼蟲,2011,429089,3826_10956
3826_248231,230500,2696500,Limacodidae,Setora postornata,幼蟲,2012,429089,3826_9947
3826_219741,240500,2639500,Limacodidae,Setora postornata,幼蟲,2015,429089,3826_8749
3826_218230,229500,2636500,Limacodidae,Setora postornata,幼蟲,2016,429089,3826_8746
3826_298804,303500,2797500,Limacodidae,Setora postornata,成蟲,2016,429089,3826_11961
3826_282808,307500,2765500,Limacodidae,Setora postornata,成蟲,2016,429089,3826_11362
3826_265744,243500,2731500,Limacodidae,Setora postornata,幼蟲,2016,429089,3826_10649
3826_282784,283500,2765500,Limacodidae,Setora postornata,幼蟲,2016,429089,3826_11357
3826_219741,240500,2639500,Limacodidae,Setora postornata,幼蟲,2016,429089,3826_8749
3826_285781,280500,2771500,Limacodidae,Setora postornata,幼蟲,2016,429089,3826_11457
3826_284838,337500,2769500,Limacodidae,Setora postornata,幼蟲,2016,429089,3826_11368
3826_287294,293500,2774500,Limacodidae,Setora postornata,幼蟲,2016,429089,3826_11459
3826_263753,252500,2727500,Limacodidae,Setora postornata,幼蟲,2016,429089,3826_10551
3826_282307,306500,2764500,Limacodidae,Setora postornata,幼蟲,2016,429089,3826_11262
3826_283783,282500,2767500,Limacodidae,Setora postornata,幼蟲,2016,429089,3826_11357
3826_269278,277500,2738500,Limacodidae,Setora postornata,幼蟲,2016,429089,3826_10756
3826_273289,288500,2746500,Limacodidae,Setora postornata,幼蟲,2016,429089,3826_10958
3826_220742,241500,2641500,Limacodidae,Setora postornata,幼蟲,2016,429089,3826_8849
3826_277318,317500,2754500,Limacodidae,Setora postornata,幼蟲,2016,429089,3826_11064
3826_248231,230500,2696500,Limacodidae,Setora postornata,幼蟲,2016,429089,3826_9947
3826_273792,291500,2747500,Limacodidae,Setora postornata,幼蟲,2016,429089,3826_10959
3826_276332,331500,2752500,Limacodidae,Setora postornata,幼蟲,2016,429089,3826_11067
3826_188716,215500,2577500,Limacodidae,Setora postornata,幼蟲,2016,429089,3826_7544
3826_270312,311500,2740500,Limacodidae,Setora postornata,幼蟲,2016,429089,3826_10863
3826_214294,293500,2628500,Limacodidae,Setora postornata,幼蟲,2013,429089,3826_8559
3826_287311,310500,2774500,Limacodidae,Setora postornata,幼蟲,2017,429089,3826_11463
3826_240741,240500,2681500,Limacodidae,Setora postornata,幼蟲,2016,429089,3826_9649
3826_271249,248500,2742500,Limacodidae,Setora postornata,幼蟲,2017,429089,3826_10850
3826_269265,264500,2738500,Limacodidae,Setora postornata,幼蟲,2017,429089,3826_10753
3826_262327,326500,2724500,Limacodidae,Setora postornata,幼蟲,2017,429089,3826_10466
3826_219244,243500,2638500,Limacodidae,Setora postornata,幼蟲,2017,429089,3826_8749
3826_218741,240500,2637500,Limacodidae,Setora postornata,幼蟲,2017,429089,3826_8749
3826_218230,229500,2636500,Limacodidae,Setora postornata,幼蟲,2017,429089,3826_8746
3826_265248,247500,2730500,Limacodidae,Setora postornata,幼蟲,2017,429089,3826_10650
3826_269256,255500,2738500,Limacodidae,Setora postornata,幼蟲,2017,429089,3826_10752
3826_273796,295500,2747500,Limacodidae,Setora postornata,幼蟲,2017,429089,3826_10960
3826_266265,264500,2732500,Limacodidae,Setora postornata,成蟲,2017,429089,3826_10653
3826_275307,306500,2750500,Limacodidae,Setora postornata,幼蟲,2017,429089,3826_11062
3826_197710,209500,2595500,Limacodidae,Setora postornata,幼蟲,2017,429089,3826_7942
3826_263324,323500,2726500,Limacodidae,Setora postornata,幼蟲,2016,429089,3826_10565
3826_232753,252500,2665500,Limacodidae,Setora postornata,成蟲,2017,429089,3826_9351
3826_271250,249500,2742500,Limacodidae,Setora postornata,幼蟲,2017,429089,3826_10850
3826_275769,268500,2751500,Limacodidae,Setora postornata,幼蟲,2017,429089,3826_11054
3826_268778,277500,2737500,Limacodidae,Setora postornata,幼蟲,2017,429089,3826_10756
3826_277307,306500,2754500,Limacodidae,Setora postornata,幼蟲,2017,429089,3826_11062
3826_198791,290500,2597500,Limacodidae,Setora postornata,幼蟲,2017,429089,3826_7959
3826_256737,236500,2713500,Limacodidae,Setora postornata,成蟲,2017,429089,3826_10248
3826_209219,218500,2618500,Limacodidae,Setora postornata,成蟲,2017,429089,3826_8344
3826_187200,199500,2574500,Limacodidae,Setora postornata,幼蟲,2012,429089,3826_7440
3826_271279,278500,2742500,Limacodidae,Setora postornata,成蟲,2017,429089,3826_10856
3826_285313,312500,2770500,Limacodidae,Setora postornata,成蟲,2016,429089,3826_11463
3826_269278,277500,2738500,Limacodidae,Setora postornata,幼蟲,2017,429089,3826_10756
3826_238251,250500,2676500,Limacodidae,Setora postornata,幼蟲,2017,429089,3826_9551
3826_287294,293500,2774500,Limacodidae,Setora postornata,成蟲,2018,429089,3826_11459
3826_273796,295500,2747500,Limacodidae,Setora postornata,成蟲,2018,429089,3826_10960
3826_273796,295500,2747500,Limacodidae,Setora postornata,幼蟲,2018,429089,3826_10960
3826_274282,281500,2748500,Limacodidae,Setora postornata,幼蟲,2018,429089,3826_10957
3826_281812,311500,2763500,Limacodidae,Setora postornata,成蟲,2018,429089,3826_11263
3826_285830,329500,2771500,Limacodidae,Setora postornata,成蟲,2018,429089,3826_11466
3826_263792,291500,2727500,Limacodidae,Setora postornata,幼蟲,2018,429089,3826_10559
3826_237239,238500,2674500,Limacodidae,Setora postornata,幼蟲,2018,429089,3826_9448
3826_269271,270500,2738500,Limacodidae,Setora postornata,成蟲,2018,429089,3826_10755
