GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_241751,250500,2683500,Drepanidae,Sewa taiwana,成蟲,2012,344439,3826_9651
3826_229767,266500,2659500,Drepanidae,Sewa taiwana,成蟲,2012,344439,3826_9154
3826_254805,304500,2709500,Drepanidae,Sewa taiwana,成蟲,2012,344439,3826_10161
3826_237791,290500,2675500,Drepanidae,Sewa taiwana,成蟲,2012,344439,3826_9559
3826_198240,239500,2596500,Drepanidae,Sewa taiwana,成蟲,2012,344439,3826_7948
3826_247282,281500,2694500,Drepanidae,Sewa taiwana,成蟲,2012,344439,3826_9857
3826_255762,261500,2711500,Drepanidae,Sewa taiwana,成蟲,2013,344439,3826_10253
3826_249782,281500,2699500,Drepanidae,Sewa taiwana,成蟲,2013,344439,3826_9957
3826_259791,290500,2719500,Drepanidae,Sewa taiwana,成蟲,2015,344439,3826_10359
3826_254805,304500,2709500,Drepanidae,Sewa taiwana,成蟲,2015,344439,3826_10161
3826_255812,311500,2711500,Drepanidae,Sewa taiwana,成蟲,2014,344439,3826_10263
3826_185749,248500,2571500,Drepanidae,Sewa taiwana,成蟲,2014,344439,3826_7450
3826_247284,283500,2694500,Drepanidae,Sewa taiwana,成蟲,2013,344439,3826_9857
3826_198733,232500,2597500,Drepanidae,Sewa taiwana,成蟲,2015,344439,3826_7947
3826_207230,229500,2614500,Drepanidae,Sewa taiwana,成蟲,2015,344439,3826_8246
3826_237785,284500,2675500,Drepanidae,Sewa taiwana,成蟲,2012,344439,3826_9557
3826_263798,297500,2727500,Drepanidae,Sewa taiwana,成蟲,2015,344439,3826_10560
3826_238785,284500,2677500,Drepanidae,Sewa taiwana,幼蟲,2012,344439,3826_9557
3826_207230,229500,2614500,Drepanidae,Sewa taiwana,成蟲,2016,344439,3826_8246
3826_259784,283500,2719500,Drepanidae,Sewa taiwana,成蟲,2016,344439,3826_10357
3826_246293,292500,2692500,Drepanidae,Sewa taiwana,成蟲,2016,344439,3826_9859
3826_198733,232500,2597500,Drepanidae,Sewa taiwana,成蟲,2016,344439,3826_7947
3826_241248,247500,2682500,Drepanidae,Sewa taiwana,成蟲,2015,344439,3826_9650
3826_198733,232500,2597500,Drepanidae,Sewa taiwana,成蟲,2017,344439,3826_7947
3826_238290,289500,2676500,Drepanidae,Sewa taiwana,成蟲,2017,344439,3826_9558
3826_198739,238500,2597500,Drepanidae,Sewa taiwana,成蟲,2017,344439,3826_7948
3826_237801,300500,2675500,Drepanidae,Sewa taiwana,成蟲,2016,344439,3826_9561
3826_261280,279500,2722500,Drepanidae,Sewa taiwana,成蟲,2017,344439,3826_10456
3826_236780,279500,2673500,Drepanidae,Sewa taiwana,成蟲,2017,344439,3826_9456
3826_255812,311500,2711500,Drepanidae,Sewa taiwana,成蟲,2017,344439,3826_10263
3826_200229,228500,2600500,Drepanidae,Sewa taiwana,成蟲,2017,344439,3826_8046
3826_237273,272500,2674500,Drepanidae,Sewa taiwana,成蟲,2017,344439,3826_9455
3826_207230,229500,2614500,Drepanidae,Sewa taiwana,成蟲,2017,344439,3826_8246
3826_199233,232500,2598500,Drepanidae,Sewa taiwana,成蟲,2017,344439,3826_7947
3826_203243,242500,2606500,Drepanidae,Sewa taiwana,成蟲,2017,344439,3826_8149
3826_255812,311500,2711500,Drepanidae,Sewa taiwana,成蟲,2010,344439,3826_10263
3826_255262,261500,2710500,Drepanidae,Sewa taiwana,成蟲,2018,344439,3826_10253
3826_198733,232500,2597500,Drepanidae,Sewa taiwana,成蟲,2018,344439,3826_7947
3826_207230,229500,2614500,Drepanidae,Sewa taiwana,成蟲,2018,344439,3826_8246
