GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_273788,287500,2747500,Erebidae,Simplicia bimarginata,成蟲,2012,346725,3826_10958
3826_265791,290500,2731500,Erebidae,Simplicia bimarginata,成蟲,2016,346725,3826_10659
3826_266771,270500,2733500,Erebidae,Simplicia bimarginata,成蟲,2013,346725,3826_10655
3826_264279,278500,2728500,Erebidae,Simplicia bimarginata,成蟲,2014,346725,3826_10556
3826_228766,265500,2657500,Erebidae,Simplicia bimarginata,成蟲,2010,346725,3826_9154
3826_281820,319500,2763500,Erebidae,Simplicia bimarginata,成蟲,2013,346725,3826_11264
3826_187200,199500,2574500,Erebidae,Simplicia bimarginata,成蟲,2014,346725,3826_7440
3826_272776,275500,2745500,Erebidae,Simplicia bimarginata,成蟲,2014,346725,3826_10956
3826_220810,309500,2641500,Erebidae,Simplicia bimarginata,成蟲,2014,346725,3826_8862
3826_272780,279500,2745500,Erebidae,Simplicia bimarginata,成蟲,2014,346725,3826_10956
3826_268276,275500,2736500,Erebidae,Simplicia bimarginata,成蟲,2014,346725,3826_10756
3826_139724,223500,2479500,Erebidae,Simplicia bimarginata,成蟲,2014,346725,3826_5545
3826_270273,272500,2740500,Erebidae,Simplicia bimarginata,成蟲,2014,346725,3826_10855
3826_256234,233500,2712500,Erebidae,Simplicia bimarginata,成蟲,2014,346725,3826_10247
3826_227258,257500,2654500,Erebidae,Simplicia bimarginata,成蟲,2014,346725,3826_9052
3826_204739,238500,2609500,Erebidae,Simplicia bimarginata,成蟲,2014,346725,3826_8148
3826_199222,221500,2598500,Erebidae,Simplicia bimarginata,成蟲,2014,346725,3826_7945
3826_212229,228500,2624500,Erebidae,Simplicia bimarginata,成蟲,2013,346725,3826_8446
3826_170217,216500,2540500,Erebidae,Simplicia bimarginata,成蟲,2015,346725,3826_6844
3826_186219,218500,2572500,Erebidae,Simplicia bimarginata,成蟲,2015,346725,3826_7444
3826_264279,278500,2728500,Erebidae,Simplicia bimarginata,成蟲,2015,346725,3826_10556
3826_281301,300500,2762500,Erebidae,Simplicia bimarginata,成蟲,2014,346725,3826_11261
3826_215255,254500,2630500,Erebidae,Simplicia bimarginata,成蟲,2014,346725,3826_8651
3826_270777,276500,2741500,Erebidae,Simplicia bimarginata,成蟲,2014,346725,3826_10856
3826_270276,275500,2740500,Erebidae,Simplicia bimarginata,成蟲,2013,346725,3826_10856
3826_280787,286500,2761500,Erebidae,Simplicia bimarginata,成蟲,2014,346725,3826_11258
3826_256833,332500,2713500,Erebidae,Simplicia bimarginata,成蟲,2015,346725,3826_10267
3826_281301,300500,2762500,Erebidae,Simplicia bimarginata,成蟲,2015,346725,3826_11261
3826_259301,300500,2718500,Erebidae,Simplicia bimarginata,成蟲,2014,346725,3826_10361
3826_283807,306500,2767500,Erebidae,Simplicia bimarginata,成蟲,2015,346725,3826_11362
3826_293308,307500,2786500,Erebidae,Simplicia bimarginata,成蟲,2015,346725,3826_11762
3826_279306,305500,2758500,Erebidae,Simplicia bimarginata,成蟲,2013,346725,3826_11162
3826_279306,305500,2758500,Erebidae,Simplicia bimarginata,成蟲,2015,346725,3826_11162
3826_291802,301500,2783500,Erebidae,Simplicia bimarginata,成蟲,2015,346725,3826_11661
3826_140225,224500,2480500,Erebidae,Simplicia bimarginata,成蟲,2012,346725,3826_5645
3826_285313,312500,2770500,Erebidae,Simplicia bimarginata,成蟲,2015,346725,3826_11463
3826_178788,287500,2557500,Erebidae,Simplicia bimarginata,成蟲,2012,346725,3826_7158
3826_211732,231500,2623500,Erebidae,Simplicia bimarginata,成蟲,2015,346725,3826_8447
3826_273279,278500,2746500,Erebidae,Simplicia bimarginata,成蟲,2013,346725,3826_10956
3826_225806,305500,2651500,Erebidae,Simplicia bimarginata,成蟲,2016,346725,3826_9062
3826_175724,223500,2551500,Erebidae,Simplicia bimarginata,成蟲,2016,346725,3826_7045
3826_229248,247500,2658500,Erebidae,Simplicia bimarginata,成蟲,2016,346725,3826_9150
3826_289308,307500,2778500,Erebidae,Simplicia bimarginata,成蟲,2016,346725,3826_11562
3826_264279,278500,2728500,Erebidae,Simplicia bimarginata,成蟲,2016,346725,3826_10556
3826_180258,257500,2560500,Erebidae,Simplicia bimarginata,成蟲,2014,346725,3826_7252
3826_277327,326500,2754500,Erebidae,Simplicia bimarginata,成蟲,2016,346725,3826_11066
3826_224749,248500,2649500,Erebidae,Simplicia bimarginata,成蟲,2017,346725,3826_8950
3826_174221,220500,2548500,Erebidae,Simplicia bimarginata,成蟲,2014,346725,3826_6945
3826_190782,281500,2581500,Erebidae,Simplicia bimarginata,成蟲,2016,346725,3826_7657
3826_275806,305500,2751500,Erebidae,Simplicia bimarginata,成蟲,2016,346725,3826_11062
3826_281812,311500,2763500,Erebidae,Simplicia bimarginata,成蟲,2017,346725,3826_11263
3826_281810,309500,2763500,Erebidae,Simplicia bimarginata,成蟲,2017,346725,3826_11262
3826_220810,309500,2641500,Erebidae,Simplicia bimarginata,成蟲,2015,346725,3826_8862
3826_293303,302500,2786500,Erebidae,Simplicia bimarginata,成蟲,2017,346725,3826_11761
3826_161256,255500,2522500,Erebidae,Simplicia bimarginata,成蟲,2017,346725,3826_6452
3826_197723,222500,2595500,Erebidae,Simplicia bimarginata,成蟲,2017,346725,3826_7945
3826_239300,299500,2678500,Erebidae,Simplicia bimarginata,成蟲,2017,346725,3826_9560
3826_267278,277500,2734500,Erebidae,Simplicia bimarginata,成蟲,2017,346725,3826_10656
3826_238229,228500,2676500,Erebidae,Simplicia bimarginata,成蟲,2017,346725,3826_9546
3826_256762,261500,2713500,Erebidae,Simplicia bimarginata,成蟲,2017,346725,3826_10253
3826_276802,301500,2753500,Erebidae,Simplicia bimarginata,成蟲,2017,346725,3826_11061
3826_293308,307500,2786500,Erebidae,Simplicia bimarginata,成蟲,2017,346725,3826_11762
3826_238252,251500,2676500,Erebidae,Simplicia bimarginata,成蟲,2017,346725,3826_9551
3826_237801,300500,2675500,Erebidae,Simplicia bimarginata,成蟲,2017,346725,3826_9561
3826_262249,248500,2724500,Erebidae,Simplicia bimarginata,成蟲,2018,346725,3826_10450
3826_268778,277500,2737500,Erebidae,Simplicia bimarginata,成蟲,2017,346725,3826_10756
3826_281810,309500,2763500,Erebidae,Simplicia bimarginata,成蟲,2018,346725,3826_11262
3826_154218,217500,2508500,Erebidae,Simplicia bimarginata,成蟲,2018,346725,3826_6144
3826_190782,281500,2581500,Erebidae,Simplicia bimarginata,成蟲,2018,346725,3826_7657
3826_284827,326500,2769500,Erebidae,Simplicia bimarginata,成蟲,2018,346725,3826_11366
3826_292795,294500,2785500,Erebidae,Simplicia bimarginata,成蟲,2018,346725,3826_11759
3826_243743,242500,2687500,Erebidae,Simplicia bimarginata,成蟲,2018,346725,3826_9749
3826_254738,237500,2709500,Erebidae,Simplicia bimarginata,成蟲,2018,346725,3826_10148
3826_254805,304500,2709500,Erebidae,Simplicia bimarginata,成蟲,2018,346725,3826_10161
