GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_128729,228500,2457500,Geometridae,Somatina rosacea anaemica,成蟲,2011,345295,3826_5146
3826_204726,225500,2609500,Geometridae,Somatina rosacea anaemica,成蟲,2012,345295,3826_8146
3826_272277,276500,2744500,Geometridae,Somatina rosacea anaemica,成蟲,2012,345295,3826_10856
3826_273788,287500,2747500,Geometridae,Somatina rosacea anaemica,成蟲,2012,345295,3826_10958
3826_272276,275500,2744500,Geometridae,Somatina rosacea anaemica,成蟲,2012,345295,3826_10856
3826_273788,287500,2747500,Geometridae,Somatina rosacea anaemica,成蟲,2013,345295,3826_10958
3826_267778,277500,2735500,Geometridae,Somatina rosacea anaemica,成蟲,2013,345295,3826_10756
3826_274805,304500,2749500,Geometridae,Somatina rosacea anaemica,成蟲,2013,345295,3826_10961
3826_276805,304500,2753500,Geometridae,Somatina rosacea anaemica,成蟲,2013,345295,3826_11061
3826_141217,216500,2482500,Geometridae,Somatina rosacea anaemica,成蟲,2014,345295,3826_5644
3826_172215,214500,2544500,Geometridae,Somatina rosacea anaemica,成蟲,2014,345295,3826_6843
3826_268762,261500,2737500,Geometridae,Somatina rosacea anaemica,成蟲,2014,345295,3826_10753
3826_220810,309500,2641500,Geometridae,Somatina rosacea anaemica,成蟲,2014,345295,3826_8862
3826_139724,223500,2479500,Geometridae,Somatina rosacea anaemica,成蟲,2014,345295,3826_5545
3826_269278,277500,2738500,Geometridae,Somatina rosacea anaemica,成蟲,2014,345295,3826_10756
3826_270777,276500,2741500,Geometridae,Somatina rosacea anaemica,成蟲,2014,345295,3826_10856
3826_275799,298500,2751500,Geometridae,Somatina rosacea anaemica,成蟲,2013,345295,3826_11060
3826_273826,325500,2747500,Geometridae,Somatina rosacea anaemica,成蟲,2014,345295,3826_10966
3826_290805,304500,2781500,Geometridae,Somatina rosacea anaemica,成蟲,2014,345295,3826_11661
3826_221310,309500,2642500,Geometridae,Somatina rosacea anaemica,成蟲,2015,345295,3826_8862
3826_271279,278500,2742500,Geometridae,Somatina rosacea anaemica,成蟲,2014,345295,3826_10856
3826_267278,277500,2734500,Geometridae,Somatina rosacea anaemica,成蟲,2014,345295,3826_10656
3826_120726,225500,2441500,Geometridae,Somatina rosacea anaemica,成蟲,2014,345295,3826_4846
3826_234314,313500,2668500,Geometridae,Somatina rosacea anaemica,成蟲,2015,345295,3826_9363
3826_256833,332500,2713500,Geometridae,Somatina rosacea anaemica,成蟲,2015,345295,3826_10267
3826_140714,213500,2481500,Geometridae,Somatina rosacea anaemica,成蟲,2015,345295,3826_5643
3826_273796,295500,2747500,Geometridae,Somatina rosacea anaemica,成蟲,2015,345295,3826_10960
3826_187200,199500,2574500,Geometridae,Somatina rosacea anaemica,成蟲,2015,345295,3826_7440
3826_264283,282500,2728500,Geometridae,Somatina rosacea anaemica,成蟲,2015,345295,3826_10557
3826_255762,261500,2711500,Geometridae,Somatina rosacea anaemica,成蟲,2012,345295,3826_10253
