GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_273304,303500,2746500,Geometridae,Spaniocentra hollowayi,成蟲,2012,345296,3826_10961
3826_187200,199500,2574500,Geometridae,Spaniocentra hollowayi,成蟲,2012,345296,3826_7440
3826_283807,306500,2767500,Geometridae,Spaniocentra hollowayi,成蟲,2012,345296,3826_11362
3826_262327,326500,2724500,Geometridae,Spaniocentra hollowayi,成蟲,2012,345296,3826_10466
3826_272276,275500,2744500,Geometridae,Spaniocentra hollowayi,成蟲,2012,345296,3826_10856
3826_290304,303500,2780500,Geometridae,Spaniocentra hollowayi,成蟲,2012,345296,3826_11661
3826_154714,213500,2509500,Geometridae,Spaniocentra hollowayi,成蟲,2013,345296,3826_6143
3826_188716,215500,2577500,Geometridae,Spaniocentra hollowayi,成蟲,2013,345296,3826_7544
3826_220810,309500,2641500,Geometridae,Spaniocentra hollowayi,成蟲,2013,345296,3826_8862
3826_282820,319500,2765500,Geometridae,Spaniocentra hollowayi,成蟲,2013,345296,3826_11364
3826_273826,325500,2747500,Geometridae,Spaniocentra hollowayi,成蟲,2013,345296,3826_10966
3826_273304,303500,2746500,Geometridae,Spaniocentra hollowayi,成蟲,2013,345296,3826_10961
3826_290304,303500,2780500,Geometridae,Spaniocentra hollowayi,成蟲,2013,345296,3826_11661
3826_281301,300500,2762500,Geometridae,Spaniocentra hollowayi,成蟲,2014,345296,3826_11261
3826_287813,312500,2775500,Geometridae,Spaniocentra hollowayi,成蟲,2013,345296,3826_11563
3826_281820,319500,2763500,Geometridae,Spaniocentra hollowayi,成蟲,2013,345296,3826_11264
3826_281312,311500,2762500,Geometridae,Spaniocentra hollowayi,成蟲,2013,345296,3826_11263
3826_296307,306500,2792500,Geometridae,Spaniocentra hollowayi,成蟲,2014,345296,3826_11862
3826_170217,216500,2540500,Geometridae,Spaniocentra hollowayi,成蟲,2015,345296,3826_6844
3826_220810,309500,2641500,Geometridae,Spaniocentra hollowayi,成蟲,2015,345296,3826_8862
3826_281810,309500,2763500,Geometridae,Spaniocentra hollowayi,成蟲,2014,345296,3826_11262
3826_223302,301500,2646500,Geometridae,Spaniocentra hollowayi,成蟲,2014,345296,3826_8961
3826_244827,326500,2689500,Geometridae,Spaniocentra hollowayi,成蟲,2014,345296,3826_9766
3826_247237,236500,2694500,Geometridae,Spaniocentra hollowayi,成蟲,2015,345296,3826_9848
3826_239821,320500,2679500,Geometridae,Spaniocentra hollowayi,成蟲,2014,345296,3826_9565
3826_282806,305500,2765500,Geometridae,Spaniocentra hollowayi,成蟲,2015,345296,3826_11362
3826_290804,303500,2781500,Geometridae,Spaniocentra hollowayi,成蟲,2015,345296,3826_11661
3826_151675,174500,2503500,Geometridae,Spaniocentra hollowayi,成蟲,2015,345296,3826_6035
3826_234267,266500,2668500,Geometridae,Spaniocentra hollowayi,成蟲,2010,345296,3826_9354
3826_275786,285500,2751500,Geometridae,Spaniocentra hollowayi,成蟲,2015,345296,3826_11058
3826_261831,330500,2723500,Geometridae,Spaniocentra hollowayi,成蟲,2015,345296,3826_10467
3826_272277,276500,2744500,Geometridae,Spaniocentra hollowayi,成蟲,2013,345296,3826_10856
3826_284810,309500,2769500,Geometridae,Spaniocentra hollowayi,成蟲,2015,345296,3826_11362
3826_273788,287500,2747500,Geometridae,Spaniocentra hollowayi,成蟲,2012,345296,3826_10958
3826_154218,217500,2508500,Geometridae,Spaniocentra hollowayi,成蟲,2011,345296,3826_6144
3826_152175,174500,2504500,Geometridae,Spaniocentra hollowayi,成蟲,2012,345296,3826_6035
3826_152175,174500,2504500,Geometridae,Spaniocentra hollowayi,成蟲,2011,345296,3826_6035
3826_291801,300500,2783500,Geometridae,Spaniocentra hollowayi,成蟲,2013,345296,3826_11661
3826_167728,227500,2535500,Geometridae,Spaniocentra hollowayi,成蟲,2012,345296,3826_6746
3826_152175,174500,2504500,Geometridae,Spaniocentra hollowayi,成蟲,2016,345296,3826_6035
3826_234314,313500,2668500,Geometridae,Spaniocentra hollowayi,成蟲,2016,345296,3826_9363
3826_227258,257500,2654500,Geometridae,Spaniocentra hollowayi,幼蟲,2014,345296,3826_9052
3826_274806,305500,2749500,Geometridae,Spaniocentra hollowayi,成蟲,2013,345296,3826_10962
3826_151747,246500,2503500,Geometridae,Spaniocentra hollowayi,成蟲,2016,345296,3826_6050
3826_213711,210500,2627500,Geometridae,Spaniocentra hollowayi,成蟲,2016,345296,3826_8543
3826_152175,174500,2504500,Geometridae,Spaniocentra hollowayi,成蟲,2015,345296,3826_6035
3826_224749,248500,2649500,Geometridae,Spaniocentra hollowayi,成蟲,2016,345296,3826_8950
3826_264283,282500,2728500,Geometridae,Spaniocentra hollowayi,成蟲,2016,345296,3826_10557
3826_281810,309500,2763500,Geometridae,Spaniocentra hollowayi,成蟲,2016,345296,3826_11262
3826_266265,264500,2732500,Geometridae,Spaniocentra hollowayi,成蟲,2016,345296,3826_10653
3826_166722,221500,2533500,Geometridae,Spaniocentra hollowayi,成蟲,2016,345296,3826_6645
3826_220810,309500,2641500,Geometridae,Spaniocentra hollowayi,成蟲,2016,345296,3826_8862
3826_263260,259500,2726500,Geometridae,Spaniocentra hollowayi,成蟲,2017,345296,3826_10552
3826_237228,227500,2674500,Geometridae,Spaniocentra hollowayi,成蟲,2017,345296,3826_9446
3826_284309,308500,2768500,Geometridae,Spaniocentra hollowayi,成蟲,2017,345296,3826_11362
3826_224749,248500,2649500,Geometridae,Spaniocentra hollowayi,成蟲,2017,345296,3826_8950
3826_254225,224500,2708500,Geometridae,Spaniocentra hollowayi,成蟲,2017,345296,3826_10145
3826_152175,174500,2504500,Geometridae,Spaniocentra hollowayi,成蟲,2017,345296,3826_6035
3826_155680,179500,2511500,Geometridae,Spaniocentra hollowayi,成蟲,2017,345296,3826_6236
3826_265290,289500,2730500,Geometridae,Spaniocentra hollowayi,成蟲,2016,345296,3826_10658
3826_276802,301500,2753500,Geometridae,Spaniocentra hollowayi,成蟲,2017,345296,3826_11061
3826_287327,326500,2774500,Geometridae,Spaniocentra hollowayi,成蟲,2017,345296,3826_11466
3826_282806,305500,2765500,Geometridae,Spaniocentra hollowayi,成蟲,2017,345296,3826_11362
3826_242745,244500,2685500,Geometridae,Spaniocentra hollowayi,成蟲,2017,345296,3826_9749
3826_287294,293500,2774500,Geometridae,Spaniocentra hollowayi,成蟲,2018,345296,3826_11459
3826_277822,321500,2755500,Geometridae,Spaniocentra hollowayi,成蟲,2018,345296,3826_11165
3826_293308,307500,2786500,Geometridae,Spaniocentra hollowayi,成蟲,2018,345296,3826_11762
3826_282806,305500,2765500,Geometridae,Spaniocentra hollowayi,成蟲,2018,345296,3826_11362
3826_227760,259500,2655500,Geometridae,Spaniocentra hollowayi,成蟲,2018,345296,3826_9152
3826_259800,299500,2719500,Geometridae,Spaniocentra hollowayi,成蟲,2018,345296,3826_10360
3826_212726,225500,2625500,Geometridae,Spaniocentra hollowayi,成蟲,2018,345296,3826_8546
