GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_187200,199500,2574500,Erebidae,Spilarctia postrubida,成蟲,2011,343948,3826_7440
3826_277806,305500,2755500,Erebidae,Spilarctia postrubida,成蟲,2011,343948,3826_11162
3826_212229,228500,2624500,Erebidae,Spilarctia postrubida,成蟲,2012,343948,3826_8446
3826_273788,287500,2747500,Erebidae,Spilarctia postrubida,成蟲,2012,343948,3826_10958
3826_273788,287500,2747500,Erebidae,Spilarctia postrubida,成蟲,2011,343948,3826_10958
3826_274305,304500,2748500,Erebidae,Spilarctia postrubida,幼蟲,2012,343948,3826_10961
3826_178788,287500,2557500,Erebidae,Spilarctia postrubida,成蟲,2012,343948,3826_7158
3826_271279,278500,2742500,Erebidae,Spilarctia postrubida,幼蟲,2012,343948,3826_10856
3826_188716,215500,2577500,Erebidae,Spilarctia postrubida,成蟲,2013,343948,3826_7544
3826_226305,304500,2652500,Erebidae,Spilarctia postrubida,成蟲,2013,343948,3826_9061
3826_275307,306500,2750500,Erebidae,Spilarctia postrubida,幼蟲,2013,343948,3826_11062
3826_269811,310500,2739500,Erebidae,Spilarctia postrubida,成蟲,2013,343948,3826_10763
3826_265292,291500,2730500,Erebidae,Spilarctia postrubida,成蟲,2013,343948,3826_10659
3826_271279,278500,2742500,Erebidae,Spilarctia postrubida,成蟲,2011,343948,3826_10856
3826_187200,199500,2574500,Erebidae,Spilarctia postrubida,成蟲,2014,343948,3826_7440
3826_273304,303500,2746500,Erebidae,Spilarctia postrubida,成蟲,2013,343948,3826_10961
3826_272776,275500,2745500,Erebidae,Spilarctia postrubida,成蟲,2014,343948,3826_10956
3826_272775,274500,2745500,Erebidae,Spilarctia postrubida,成蟲,2014,343948,3826_10955
3826_272780,279500,2745500,Erebidae,Spilarctia postrubida,成蟲,2014,343948,3826_10956
3826_273279,278500,2746500,Erebidae,Spilarctia postrubida,成蟲,2014,343948,3826_10956
3826_270777,276500,2741500,Erebidae,Spilarctia postrubida,成蟲,2014,343948,3826_10856
3826_270273,272500,2740500,Erebidae,Spilarctia postrubida,成蟲,2014,343948,3826_10855
3826_269774,273500,2739500,Erebidae,Spilarctia postrubida,成蟲,2014,343948,3826_10755
3826_271279,278500,2742500,Erebidae,Spilarctia postrubida,成蟲,2014,343948,3826_10856
3826_273304,303500,2746500,Erebidae,Spilarctia postrubida,成蟲,2014,343948,3826_10961
3826_279306,305500,2758500,Erebidae,Spilarctia postrubida,成蟲,2014,343948,3826_11162
3826_284315,314500,2768500,Erebidae,Spilarctia postrubida,幼蟲,2014,343948,3826_11363
3826_272276,275500,2744500,Erebidae,Spilarctia postrubida,幼蟲,2014,343948,3826_10856
3826_281312,311500,2762500,Erebidae,Spilarctia postrubida,幼蟲,2014,343948,3826_11263
3826_281810,309500,2763500,Erebidae,Spilarctia postrubida,成蟲,2014,343948,3826_11262
3826_265790,289500,2731500,Erebidae,Spilarctia postrubida,成蟲,2014,343948,3826_10658
3826_170217,216500,2540500,Erebidae,Spilarctia postrubida,成蟲,2015,343948,3826_6844
3826_244827,326500,2689500,Erebidae,Spilarctia postrubida,成蟲,2014,343948,3826_9766
3826_174221,220500,2548500,Erebidae,Spilarctia postrubida,成蟲,2015,343948,3826_6945
3826_212729,228500,2625500,Erebidae,Spilarctia postrubida,成蟲,2015,343948,3826_8546
3826_279306,305500,2758500,Erebidae,Spilarctia postrubida,成蟲,2013,343948,3826_11162
3826_279306,305500,2758500,Erebidae,Spilarctia postrubida,成蟲,2015,343948,3826_11162
3826_259800,299500,2719500,Erebidae,Spilarctia postrubida,成蟲,2015,343948,3826_10360
3826_281810,309500,2763500,Erebidae,Spilarctia postrubida,成蟲,2015,343948,3826_11262
3826_212229,228500,2624500,Erebidae,Spilarctia postrubida,成蟲,2015,343948,3826_8446
3826_151747,246500,2503500,Erebidae,Spilarctia postrubida,成蟲,2016,343948,3826_6050
3826_211791,290500,2623500,Erebidae,Spilarctia postrubida,幼蟲,2016,343948,3826_8459
3826_243724,223500,2687500,Erebidae,Spilarctia postrubida,幼蟲,2016,343948,3826_9745
3826_224802,301500,2649500,Erebidae,Spilarctia postrubida,幼蟲,2016,343948,3826_8961
3826_237245,244500,2674500,Erebidae,Spilarctia postrubida,成蟲,2016,343948,3826_9449
3826_274781,280500,2749500,Erebidae,Spilarctia postrubida,幼蟲,2016,343948,3826_10957
3826_274307,306500,2748500,Erebidae,Spilarctia postrubida,成蟲,2016,343948,3826_10962
3826_281810,309500,2763500,Erebidae,Spilarctia postrubida,成蟲,2016,343948,3826_11262
3826_269280,279500,2738500,Erebidae,Spilarctia postrubida,成蟲,2016,343948,3826_10756
3826_267279,278500,2734500,Erebidae,Spilarctia postrubida,成蟲,2016,343948,3826_10656
3826_262305,304500,2724500,Erebidae,Spilarctia postrubida,成蟲,2016,343948,3826_10461
3826_194707,206500,2589500,Erebidae,Spilarctia postrubida,幼蟲,2016,343948,3826_7742
3826_225801,300500,2651500,Erebidae,Spilarctia postrubida,成蟲,2017,343948,3826_9061
3826_264772,271500,2729500,Erebidae,Spilarctia postrubida,成蟲,2016,343948,3826_10555
3826_220810,309500,2641500,Erebidae,Spilarctia postrubida,成蟲,2016,343948,3826_8862
3826_286287,286500,2772500,Erebidae,Spilarctia postrubida,成蟲,2017,343948,3826_11458
3826_280814,313500,2761500,Erebidae,Spilarctia postrubida,成蟲,2016,343948,3826_11263
3826_275806,305500,2751500,Erebidae,Spilarctia postrubida,成蟲,2017,343948,3826_11062
3826_175223,222500,2550500,Erebidae,Spilarctia postrubida,成蟲,2017,343948,3826_7045
3826_263260,259500,2726500,Erebidae,Spilarctia postrubida,成蟲,2017,343948,3826_10552
3826_197218,217500,2594500,Erebidae,Spilarctia postrubida,成蟲,2017,343948,3826_7844
3826_194707,206500,2589500,Erebidae,Spilarctia postrubida,幼蟲,2017,343948,3826_7742
3826_195214,213500,2590500,Erebidae,Spilarctia postrubida,成蟲,2017,343948,3826_7843
3826_275808,307500,2751500,Erebidae,Spilarctia postrubida,幼蟲,2017,343948,3826_11062
3826_273788,287500,2747500,Erebidae,Spilarctia postrubida,成蟲,2017,343948,3826_10958
3826_271279,278500,2742500,Erebidae,Spilarctia postrubida,成蟲,2017,343948,3826_10856
3826_175724,223500,2551500,Erebidae,Spilarctia postrubida,成蟲,2015,343948,3826_7045
3826_132738,237500,2465500,Erebidae,Spilarctia postrubida,成蟲,2018,343948,3826_5348
3826_281812,311500,2763500,Erebidae,Spilarctia postrubida,成蟲,2018,343948,3826_11263
3826_154218,217500,2508500,Erebidae,Spilarctia postrubida,成蟲,2013,343948,3826_6144
3826_264253,252500,2728500,Erebidae,Spilarctia postrubida,幼蟲,2018,343948,3826_10551
3826_273796,295500,2747500,Erebidae,Spilarctia postrubida,幼蟲,2018,343948,3826_10960
3826_261326,325500,2722500,Erebidae,Spilarctia postrubida,幼蟲,2018,343948,3826_10466
3826_280321,320500,2760500,Erebidae,Spilarctia postrubida,成蟲,2018,343948,3826_11265
3826_277297,296500,2754500,Erebidae,Spilarctia postrubida,成蟲,2018,343948,3826_11060
3826_154218,217500,2508500,Erebidae,Spilarctia postrubida,成蟲,2018,343948,3826_6144
3826_264263,262500,2728500,Erebidae,Spilarctia postrubida,成蟲,2018,343948,3826_10553
3826_269271,270500,2738500,Erebidae,Spilarctia postrubida,成蟲,2018,343948,3826_10755
3826_152714,213500,2505500,Erebidae,Spilarctia postrubida,幼蟲,2018,343948,3826_6143
3826_280320,319500,2760500,Erebidae,Spilarctia postrubida,成蟲,2018,343948,3826_11264
3826_273796,295500,2747500,Erebidae,Spilarctia postrubida,成蟲,2018,343948,3826_10960
3826_290793,292500,2781500,Erebidae,Spilarctia postrubida,幼蟲,2019,343948,3826_11659
3826_279305,304500,2758500,Erebidae,Spilarctia postrubida,成蟲,2018,343948,3826_11161
