GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_187200,199500,2574500,Erebidae,Spilarctia subcarnea,成蟲,2011,343954,3826_7440
3826_147212,211500,2494500,Erebidae,Spilarctia subcarnea,成蟲,2011,343954,3826_5843
3826_166722,221500,2533500,Erebidae,Spilarctia subcarnea,成蟲,2011,343954,3826_6645
3826_200230,229500,2600500,Erebidae,Spilarctia subcarnea,成蟲,2011,343954,3826_8046
3826_290827,326500,2781500,Erebidae,Spilarctia subcarnea,幼蟲,2012,343954,3826_11666
3826_173684,183500,2547500,Erebidae,Spilarctia subcarnea,幼蟲,2012,343954,3826_6937
3826_221805,304500,2643500,Erebidae,Spilarctia subcarnea,幼蟲,2012,343954,3826_8861
3826_187200,199500,2574500,Erebidae,Spilarctia subcarnea,幼蟲,2012,343954,3826_7440
3826_218230,229500,2636500,Erebidae,Spilarctia subcarnea,成蟲,2012,343954,3826_8746
3826_253236,235500,2706500,Erebidae,Spilarctia subcarnea,成蟲,2012,343954,3826_10148
3826_187200,199500,2574500,Erebidae,Spilarctia subcarnea,成蟲,2012,343954,3826_7440
3826_152675,174500,2505500,Erebidae,Spilarctia subcarnea,成蟲,2012,343954,3826_6135
3826_221712,211500,2643500,Erebidae,Spilarctia subcarnea,幼蟲,2012,343954,3826_8843
3826_273788,287500,2747500,Erebidae,Spilarctia subcarnea,成蟲,2011,343954,3826_10958
3826_225219,218500,2650500,Erebidae,Spilarctia subcarnea,成蟲,2012,343954,3826_9044
3826_152675,174500,2505500,Erebidae,Spilarctia subcarnea,幼蟲,2011,343954,3826_6135
3826_237248,247500,2674500,Erebidae,Spilarctia subcarnea,幼蟲,2012,343954,3826_9450
3826_237228,227500,2674500,Erebidae,Spilarctia subcarnea,成蟲,2012,343954,3826_9446
3826_290805,304500,2781500,Erebidae,Spilarctia subcarnea,成蟲,2012,343954,3826_11661
3826_221213,212500,2642500,Erebidae,Spilarctia subcarnea,幼蟲,2012,343954,3826_8843
3826_285781,280500,2771500,Erebidae,Spilarctia subcarnea,幼蟲,2012,343954,3826_11457
3826_116226,225500,2432500,Erebidae,Spilarctia subcarnea,成蟲,2013,343954,3826_4646
3826_275748,247500,2751500,Erebidae,Spilarctia subcarnea,成蟲,2013,343954,3826_11050
3826_270276,275500,2740500,Erebidae,Spilarctia subcarnea,成蟲,2013,343954,3826_10856
3826_267778,277500,2735500,Erebidae,Spilarctia subcarnea,成蟲,2013,343954,3826_10756
3826_226305,304500,2652500,Erebidae,Spilarctia subcarnea,成蟲,2013,343954,3826_9061
3826_152210,209500,2504500,Erebidae,Spilarctia subcarnea,成蟲,2013,343954,3826_6042
3826_273775,274500,2747500,Erebidae,Spilarctia subcarnea,幼蟲,2012,343954,3826_10955
3826_282307,306500,2764500,Erebidae,Spilarctia subcarnea,幼蟲,2012,343954,3826_11262
3826_275267,266500,2750500,Erebidae,Spilarctia subcarnea,成蟲,2013,343954,3826_11054
3826_282792,291500,2765500,Erebidae,Spilarctia subcarnea,幼蟲,2012,343954,3826_11359
3826_213729,228500,2627500,Erebidae,Spilarctia subcarnea,幼蟲,2012,343954,3826_8546
3826_228220,219500,2656500,Erebidae,Spilarctia subcarnea,幼蟲,2013,343954,3826_9144
3826_265276,275500,2730500,Erebidae,Spilarctia subcarnea,成蟲,2013,343954,3826_10656
3826_292308,307500,2784500,Erebidae,Spilarctia subcarnea,成蟲,2013,343954,3826_11662
3826_289798,297500,2779500,Erebidae,Spilarctia subcarnea,幼蟲,2013,343954,3826_11560
3826_273275,274500,2746500,Erebidae,Spilarctia subcarnea,幼蟲,2013,343954,3826_10955
3826_242728,227500,2685500,Erebidae,Spilarctia subcarnea,幼蟲,2014,343954,3826_9746
3826_199197,196500,2598500,Erebidae,Spilarctia subcarnea,幼蟲,2014,343954,3826_7940
3826_273279,278500,2746500,Erebidae,Spilarctia subcarnea,成蟲,2014,343954,3826_10956
3826_227307,306500,2654500,Erebidae,Spilarctia subcarnea,成蟲,2014,343954,3826_9062
3826_281800,299500,2763500,Erebidae,Spilarctia subcarnea,成蟲,2014,343954,3826_11260
3826_273798,297500,2747500,Erebidae,Spilarctia subcarnea,幼蟲,2014,343954,3826_10960
3826_206293,292500,2612500,Erebidae,Spilarctia subcarnea,幼蟲,2013,343954,3826_8259
3826_289824,323500,2779500,Erebidae,Spilarctia subcarnea,成蟲,2014,343954,3826_11565
3826_289309,308500,2778500,Erebidae,Spilarctia subcarnea,幼蟲,2014,343954,3826_11562
3826_243237,236500,2686500,Erebidae,Spilarctia subcarnea,成蟲,2014,343954,3826_9748
3826_231221,220500,2662500,Erebidae,Spilarctia subcarnea,幼蟲,2014,343954,3826_9245
3826_291329,328500,2782500,Erebidae,Spilarctia subcarnea,幼蟲,2014,343954,3826_11666
3826_288836,335500,2777500,Erebidae,Spilarctia subcarnea,成蟲,2014,343954,3826_11568
3826_295316,315500,2790500,Erebidae,Spilarctia subcarnea,幼蟲,2014,343954,3826_11864
3826_291798,297500,2783500,Erebidae,Spilarctia subcarnea,幼蟲,2014,343954,3826_11660
3826_218230,229500,2636500,Erebidae,Spilarctia subcarnea,幼蟲,2014,343954,3826_8746
3826_227745,244500,2655500,Erebidae,Spilarctia subcarnea,成蟲,2014,343954,3826_9149
3826_198701,200500,2597500,Erebidae,Spilarctia subcarnea,幼蟲,2015,343954,3826_7941
3826_218727,226500,2637500,Erebidae,Spilarctia subcarnea,成蟲,2014,343954,3826_8746
3826_221310,309500,2642500,Erebidae,Spilarctia subcarnea,成蟲,2015,343954,3826_8862
3826_220810,309500,2641500,Erebidae,Spilarctia subcarnea,成蟲,2015,343954,3826_8862
3826_237248,247500,2674500,Erebidae,Spilarctia subcarnea,成蟲,2015,343954,3826_9450
3826_225251,250500,2650500,Erebidae,Spilarctia subcarnea,成蟲,2015,343954,3826_9051
3826_258242,241500,2716500,Erebidae,Spilarctia subcarnea,成蟲,2015,343954,3826_10349
3826_291300,299500,2782500,Erebidae,Spilarctia subcarnea,成蟲,2014,343954,3826_11660
3826_274307,306500,2748500,Erebidae,Spilarctia subcarnea,成蟲,2014,343954,3826_10962
3826_271271,270500,2742500,Erebidae,Spilarctia subcarnea,幼蟲,2014,343954,3826_10855
3826_287813,312500,2775500,Erebidae,Spilarctia subcarnea,成蟲,2013,343954,3826_11563
3826_272257,256500,2744500,Erebidae,Spilarctia subcarnea,幼蟲,2015,343954,3826_10852
3826_195215,214500,2590500,Erebidae,Spilarctia subcarnea,成蟲,2015,343954,3826_7843
3826_268762,261500,2737500,Erebidae,Spilarctia subcarnea,幼蟲,2015,343954,3826_10753
3826_289798,297500,2779500,Erebidae,Spilarctia subcarnea,幼蟲,2015,343954,3826_11560
3826_282784,283500,2765500,Erebidae,Spilarctia subcarnea,幼蟲,2015,343954,3826_11357
3826_276771,270500,2753500,Erebidae,Spilarctia subcarnea,幼蟲,2015,343954,3826_11055
3826_147205,204500,2494500,Erebidae,Spilarctia subcarnea,成蟲,2015,343954,3826_5841
3826_226225,224500,2652500,Erebidae,Spilarctia subcarnea,成蟲,2012,343954,3826_9045
3826_286780,279500,2773500,Erebidae,Spilarctia subcarnea,幼蟲,2015,343954,3826_11456
3826_155680,179500,2511500,Erebidae,Spilarctia subcarnea,幼蟲,2015,343954,3826_6236
3826_288306,305500,2776500,Erebidae,Spilarctia subcarnea,幼蟲,2015,343954,3826_11562
3826_198197,196500,2596500,Erebidae,Spilarctia subcarnea,幼蟲,2015,343954,3826_7940
3826_280807,306500,2761500,Erebidae,Spilarctia subcarnea,成蟲,2012,343954,3826_11262
3826_289823,322500,2779500,Erebidae,Spilarctia subcarnea,成蟲,2015,343954,3826_11565
3826_152675,174500,2505500,Erebidae,Spilarctia subcarnea,幼蟲,2016,343954,3826_6135
3826_281810,309500,2763500,Erebidae,Spilarctia subcarnea,成蟲,2015,343954,3826_11262
3826_155691,190500,2511500,Erebidae,Spilarctia subcarnea,幼蟲,2016,343954,3826_6239
3826_291329,328500,2782500,Erebidae,Spilarctia subcarnea,幼蟲,2012,343954,3826_11666
3826_221211,210500,2642500,Erebidae,Spilarctia subcarnea,幼蟲,2016,343954,3826_8843
3826_276771,270500,2753500,Erebidae,Spilarctia subcarnea,幼蟲,2013,343954,3826_11055
3826_277268,267500,2754500,Erebidae,Spilarctia subcarnea,幼蟲,2013,343954,3826_11054
3826_276770,269500,2753500,Erebidae,Spilarctia subcarnea,幼蟲,2013,343954,3826_11054
3826_273786,285500,2747500,Erebidae,Spilarctia subcarnea,成蟲,2016,343954,3826_10958
3826_282292,291500,2764500,Erebidae,Spilarctia subcarnea,成蟲,2016,343954,3826_11259
3826_263798,297500,2727500,Erebidae,Spilarctia subcarnea,成蟲,2016,343954,3826_10560
3826_225806,305500,2651500,Erebidae,Spilarctia subcarnea,成蟲,2016,343954,3826_9062
3826_290829,328500,2781500,Erebidae,Spilarctia subcarnea,幼蟲,2016,343954,3826_11666
3826_298803,302500,2797500,Erebidae,Spilarctia subcarnea,成蟲,2016,343954,3826_11961
3826_291822,321500,2783500,Erebidae,Spilarctia subcarnea,幼蟲,2016,343954,3826_11665
3826_289798,297500,2779500,Erebidae,Spilarctia subcarnea,幼蟲,2016,343954,3826_11560
3826_152175,174500,2504500,Erebidae,Spilarctia subcarnea,幼蟲,2016,343954,3826_6035
3826_238225,224500,2676500,Erebidae,Spilarctia subcarnea,成蟲,2016,343954,3826_9545
3826_238300,299500,2676500,Erebidae,Spilarctia subcarnea,幼蟲,2016,343954,3826_9560
