GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_200229,228500,2600500,Erebidae,Spilosoma fumida,成蟲,2012,426771,3826_8046
3826_241275,274500,2682500,Erebidae,Spilosoma fumida,成蟲,2012,426771,3826_9655
3826_246783,282500,2693500,Erebidae,Spilosoma fumida,成蟲,2012,426771,3826_9857
3826_247282,281500,2694500,Erebidae,Spilosoma fumida,成蟲,2012,426771,3826_9857
3826_238794,293500,2677500,Erebidae,Spilosoma fumida,成蟲,2013,426771,3826_9559
3826_200731,230500,2601500,Erebidae,Spilosoma fumida,成蟲,2014,426771,3826_8047
3826_264279,278500,2728500,Erebidae,Spilosoma fumida,成蟲,2014,426771,3826_10556
3826_229767,266500,2659500,Erebidae,Spilosoma fumida,成蟲,2014,426771,3826_9154
3826_264279,278500,2728500,Erebidae,Spilosoma fumida,成蟲,2015,426771,3826_10556
3826_262812,311500,2725500,Erebidae,Spilosoma fumida,成蟲,2014,426771,3826_10563
3826_207230,229500,2614500,Erebidae,Spilosoma fumida,成蟲,2015,426771,3826_8246
3826_199720,219500,2599500,Erebidae,Spilosoma fumida,成蟲,2013,426771,3826_7944
3826_199225,224500,2598500,Erebidae,Spilosoma fumida,成蟲,2012,426771,3826_7945
3826_207230,229500,2614500,Erebidae,Spilosoma fumida,成蟲,2016,426771,3826_8246
3826_200229,228500,2600500,Erebidae,Spilosoma fumida,成蟲,2016,426771,3826_8046
3826_254805,304500,2709500,Erebidae,Spilosoma fumida,成蟲,2016,426771,3826_10161
3826_200230,229500,2600500,Erebidae,Spilosoma fumida,成蟲,2016,426771,3826_8046
3826_248781,280500,2697500,Erebidae,Spilosoma fumida,成蟲,2016,426771,3826_9957
3826_198733,232500,2597500,Erebidae,Spilosoma fumida,成蟲,2016,426771,3826_7947
3826_175222,221500,2550500,Erebidae,Spilosoma fumida,成蟲,2014,426771,3826_7045
3826_237801,300500,2675500,Erebidae,Spilosoma fumida,成蟲,2017,426771,3826_9561
3826_207230,229500,2614500,Erebidae,Spilosoma fumida,成蟲,2017,426771,3826_8246
3826_237785,284500,2675500,Erebidae,Spilosoma fumida,成蟲,2017,426771,3826_9557
3826_209230,229500,2618500,Erebidae,Spilosoma fumida,成蟲,2016,426771,3826_8346
3826_200229,228500,2600500,Erebidae,Spilosoma fumida,成蟲,2017,426771,3826_8046
3826_237783,282500,2675500,Erebidae,Spilosoma fumida,成蟲,2017,426771,3826_9557
3826_238290,289500,2676500,Erebidae,Spilosoma fumida,成蟲,2017,426771,3826_9558
3826_256762,261500,2713500,Erebidae,Spilosoma fumida,成蟲,2017,426771,3826_10253
3826_254805,304500,2709500,Erebidae,Spilosoma fumida,成蟲,2017,426771,3826_10161
3826_185749,248500,2571500,Erebidae,Spilosoma fumida,成蟲,2017,426771,3826_7450
3826_139225,224500,2478500,Erebidae,Spilosoma fumida,成蟲,2015,426771,3826_5545
3826_207230,229500,2614500,Erebidae,Spilosoma fumida,成蟲,2018,426771,3826_8246
3826_255812,311500,2711500,Erebidae,Spilosoma fumida,成蟲,2018,426771,3826_10263
3826_232268,267500,2664500,Erebidae,Spilosoma fumida,成蟲,2011,426771,3826_9254
3826_233270,269500,2666500,Erebidae,Spilosoma fumida,成蟲,2011,426771,3826_9354
3826_255262,261500,2710500,Erebidae,Spilosoma fumida,成蟲,2018,426771,3826_10253
