GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_263294,293500,2726500,Notodontidae,Syntypistis comatus,成蟲,2011,347051,3826_10559
3826_242745,244500,2685500,Notodontidae,Syntypistis comatus,成蟲,2011,347051,3826_9749
3826_263798,297500,2727500,Notodontidae,Syntypistis comatus,成蟲,2011,347051,3826_10560
3826_273304,303500,2746500,Notodontidae,Syntypistis comatus,成蟲,2012,347051,3826_10961
3826_263798,297500,2727500,Notodontidae,Syntypistis comatus,成蟲,2012,347051,3826_10560
3826_254805,304500,2709500,Notodontidae,Syntypistis comatus,成蟲,2012,347051,3826_10161
3826_263294,293500,2726500,Notodontidae,Syntypistis comatus,成蟲,2012,347051,3826_10559
3826_238290,289500,2676500,Notodontidae,Syntypistis comatus,成蟲,2012,347051,3826_9558
3826_273788,287500,2747500,Notodontidae,Syntypistis comatus,成蟲,2011,347051,3826_10958
3826_229767,266500,2659500,Notodontidae,Syntypistis comatus,成蟲,2012,347051,3826_9154
3826_175725,224500,2551500,Notodontidae,Syntypistis comatus,成蟲,2013,347051,3826_7045
3826_226251,250500,2652500,Notodontidae,Syntypistis comatus,成蟲,2012,347051,3826_9051
3826_266812,311500,2733500,Notodontidae,Syntypistis comatus,成蟲,2010,347051,3826_10663
3826_265289,288500,2730500,Notodontidae,Syntypistis comatus,成蟲,2012,347051,3826_10658
3826_273788,287500,2747500,Notodontidae,Syntypistis comatus,成蟲,2013,347051,3826_10958
3826_238794,293500,2677500,Notodontidae,Syntypistis comatus,成蟲,2013,347051,3826_9559
3826_264779,278500,2729500,Notodontidae,Syntypistis comatus,成蟲,2013,347051,3826_10556
3826_249782,281500,2699500,Notodontidae,Syntypistis comatus,成蟲,2013,347051,3826_9957
3826_244827,326500,2689500,Notodontidae,Syntypistis comatus,成蟲,2014,347051,3826_9766
3826_259784,283500,2719500,Notodontidae,Syntypistis comatus,成蟲,2013,347051,3826_10357
3826_200731,230500,2601500,Notodontidae,Syntypistis comatus,成蟲,2014,347051,3826_8047
3826_264279,278500,2728500,Notodontidae,Syntypistis comatus,成蟲,2014,347051,3826_10556
3826_228263,262500,2656500,Notodontidae,Syntypistis comatus,成蟲,2014,347051,3826_9153
3826_263798,297500,2727500,Notodontidae,Syntypistis comatus,成蟲,2014,347051,3826_10560
3826_227759,258500,2655500,Notodontidae,Syntypistis comatus,成蟲,2014,347051,3826_9152
3826_183719,218500,2567500,Notodontidae,Syntypistis comatus,成蟲,2014,347051,3826_7344
3826_175725,224500,2551500,Notodontidae,Syntypistis comatus,成蟲,2014,347051,3826_7045
3826_255812,311500,2711500,Notodontidae,Syntypistis comatus,成蟲,2014,347051,3826_10263
3826_215255,254500,2630500,Notodontidae,Syntypistis comatus,成蟲,2015,347051,3826_8651
3826_175222,221500,2550500,Notodontidae,Syntypistis comatus,成蟲,2015,347051,3826_7045
3826_186219,218500,2572500,Notodontidae,Syntypistis comatus,成蟲,2015,347051,3826_7444
3826_237248,247500,2674500,Notodontidae,Syntypistis comatus,成蟲,2015,347051,3826_9450
3826_264283,282500,2728500,Notodontidae,Syntypistis comatus,成蟲,2015,347051,3826_10557
3826_199720,219500,2599500,Notodontidae,Syntypistis comatus,成蟲,2015,347051,3826_7944
3826_264279,278500,2728500,Notodontidae,Syntypistis comatus,成蟲,2015,347051,3826_10556
3826_171719,218500,2543500,Notodontidae,Syntypistis comatus,成蟲,2014,347051,3826_6844
3826_185749,248500,2571500,Notodontidae,Syntypistis comatus,成蟲,2014,347051,3826_7450
3826_259784,283500,2719500,Notodontidae,Syntypistis comatus,成蟲,2014,347051,3826_10357
3826_267278,277500,2734500,Notodontidae,Syntypistis comatus,成蟲,2014,347051,3826_10656
3826_170218,217500,2540500,Notodontidae,Syntypistis comatus,成蟲,2015,347051,3826_6844
3826_229767,266500,2659500,Notodontidae,Syntypistis comatus,成蟲,2015,347051,3826_9154
3826_255762,261500,2711500,Notodontidae,Syntypistis comatus,成蟲,2015,347051,3826_10253
3826_263798,297500,2727500,Notodontidae,Syntypistis comatus,成蟲,2015,347051,3826_10560
3826_195715,214500,2591500,Notodontidae,Syntypistis comatus,成蟲,2015,347051,3826_7843
3826_231750,249500,2663500,Notodontidae,Syntypistis comatus,成蟲,2015,347051,3826_9250
3826_272277,276500,2744500,Notodontidae,Syntypistis comatus,成蟲,2013,347051,3826_10856
3826_239300,299500,2678500,Notodontidae,Syntypistis comatus,成蟲,2015,347051,3826_9560
3826_264279,278500,2728500,Notodontidae,Syntypistis comatus,成蟲,2016,347051,3826_10556
3826_200230,229500,2600500,Notodontidae,Syntypistis comatus,成蟲,2012,347051,3826_8046
3826_139724,223500,2479500,Notodontidae,Syntypistis comatus,成蟲,2015,347051,3826_5545
3826_255762,261500,2711500,Notodontidae,Syntypistis comatus,成蟲,2016,347051,3826_10253
3826_206230,229500,2612500,Notodontidae,Syntypistis comatus,成蟲,2016,347051,3826_8246
3826_192289,288500,2584500,Notodontidae,Syntypistis comatus,成蟲,2015,347051,3826_7658
3826_177231,230500,2554500,Notodontidae,Syntypistis comatus,成蟲,2013,347051,3826_7047
3826_269811,310500,2739500,Notodontidae,Syntypistis comatus,成蟲,2016,347051,3826_10763
3826_263798,297500,2727500,Notodontidae,Syntypistis comatus,成蟲,2016,347051,3826_10560
3826_264283,282500,2728500,Notodontidae,Syntypistis comatus,成蟲,2016,347051,3826_10557
3826_276297,296500,2752500,Notodontidae,Syntypistis comatus,成蟲,2016,347051,3826_11060
3826_175724,223500,2551500,Notodontidae,Syntypistis comatus,成蟲,2016,347051,3826_7045
3826_175223,222500,2550500,Notodontidae,Syntypistis comatus,成蟲,2016,347051,3826_7045
3826_254805,304500,2709500,Notodontidae,Syntypistis comatus,成蟲,2016,347051,3826_10161
3826_207230,229500,2614500,Notodontidae,Syntypistis comatus,成蟲,2016,347051,3826_8246
3826_232753,252500,2665500,Notodontidae,Syntypistis comatus,成蟲,2014,347051,3826_9351
3826_200731,230500,2601500,Notodontidae,Syntypistis comatus,成蟲,2016,347051,3826_8047
3826_224749,248500,2649500,Notodontidae,Syntypistis comatus,成蟲,2016,347051,3826_8950
3826_238290,289500,2676500,Notodontidae,Syntypistis comatus,成蟲,2016,347051,3826_9558
3826_237228,227500,2674500,Notodontidae,Syntypistis comatus,成蟲,2017,347051,3826_9446
3826_224749,248500,2649500,Notodontidae,Syntypistis comatus,成蟲,2017,347051,3826_8950
3826_199233,232500,2598500,Notodontidae,Syntypistis comatus,成蟲,2017,347051,3826_7947
3826_237801,300500,2675500,Notodontidae,Syntypistis comatus,成蟲,2016,347051,3826_9561
3826_261280,279500,2722500,Notodontidae,Syntypistis comatus,成蟲,2017,347051,3826_10456
3826_232753,252500,2665500,Notodontidae,Syntypistis comatus,成蟲,2017,347051,3826_9351
3826_267279,278500,2734500,Notodontidae,Syntypistis comatus,成蟲,2017,347051,3826_10656
3826_259282,281500,2718500,Notodontidae,Syntypistis comatus,成蟲,2017,347051,3826_10357
3826_224769,268500,2649500,Notodontidae,Syntypistis comatus,成蟲,2017,347051,3826_8954
3826_185749,248500,2571500,Notodontidae,Syntypistis comatus,成蟲,2017,347051,3826_7450
3826_259800,299500,2719500,Notodontidae,Syntypistis comatus,成蟲,2017,347051,3826_10360
3826_273796,295500,2747500,Notodontidae,Syntypistis comatus,成蟲,2017,347051,3826_10960
3826_231268,267500,2662500,Notodontidae,Syntypistis comatus,成蟲,2017,347051,3826_9254
3826_227759,258500,2655500,Notodontidae,Syntypistis comatus,成蟲,2017,347051,3826_9152
3826_253332,331500,2706500,Notodontidae,Syntypistis comatus,幼蟲,2017,347051,3826_10167
3826_198236,235500,2596500,Notodontidae,Syntypistis comatus,成蟲,2017,347051,3826_7948
3826_207230,229500,2614500,Notodontidae,Syntypistis comatus,成蟲,2017,347051,3826_8246
3826_254805,304500,2709500,Notodontidae,Syntypistis comatus,成蟲,2014,347051,3826_10161
3826_254805,304500,2709500,Notodontidae,Syntypistis comatus,成蟲,2017,347051,3826_10161
3826_197218,217500,2594500,Notodontidae,Syntypistis comatus,成蟲,2017,347051,3826_7844
3826_200731,230500,2601500,Notodontidae,Syntypistis comatus,成蟲,2017,347051,3826_8047
