GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_259781,280500,2719500,Erebidae,Taicallimorpha albipuncta,成蟲,2012,343812,3826_10357
3826_182753,252500,2565500,Erebidae,Taicallimorpha albipuncta,成蟲,2012,343812,3826_7351
3826_239740,239500,2679500,Erebidae,Taicallimorpha albipuncta,成蟲,2013,343812,3826_9548
3826_238290,289500,2676500,Erebidae,Taicallimorpha albipuncta,成蟲,2013,343812,3826_9558
3826_140225,224500,2480500,Erebidae,Taicallimorpha albipuncta,幼蟲,2012,343812,3826_5645
3826_249782,281500,2699500,Erebidae,Taicallimorpha albipuncta,成蟲,2013,343812,3826_9957
3826_198240,239500,2596500,Erebidae,Taicallimorpha albipuncta,幼蟲,2013,343812,3826_7948
3826_200231,230500,2600500,Erebidae,Taicallimorpha albipuncta,成蟲,2014,343812,3826_8047
3826_200731,230500,2601500,Erebidae,Taicallimorpha albipuncta,成蟲,2014,343812,3826_8047
3826_229772,271500,2659500,Erebidae,Taicallimorpha albipuncta,成蟲,2014,343812,3826_9155
3826_255762,261500,2711500,Erebidae,Taicallimorpha albipuncta,幼蟲,2014,343812,3826_10253
3826_202746,245500,2605500,Erebidae,Taicallimorpha albipuncta,幼蟲,2014,343812,3826_8150
3826_249787,286500,2699500,Erebidae,Taicallimorpha albipuncta,成蟲,2014,343812,3826_9958
3826_175725,224500,2551500,Erebidae,Taicallimorpha albipuncta,成蟲,2014,343812,3826_7045
3826_238794,293500,2677500,Erebidae,Taicallimorpha albipuncta,成蟲,2014,343812,3826_9559
3826_259800,299500,2719500,Erebidae,Taicallimorpha albipuncta,成蟲,2014,343812,3826_10360
3826_247282,281500,2694500,Erebidae,Taicallimorpha albipuncta,成蟲,2014,343812,3826_9857
3826_258261,260500,2716500,Erebidae,Taicallimorpha albipuncta,幼蟲,2015,343812,3826_10353
3826_255305,304500,2710500,Erebidae,Taicallimorpha albipuncta,幼蟲,2015,343812,3826_10261
3826_198240,239500,2596500,Erebidae,Taicallimorpha albipuncta,成蟲,2015,343812,3826_7948
3826_231268,267500,2662500,Erebidae,Taicallimorpha albipuncta,成蟲,2015,343812,3826_9254
3826_264279,278500,2728500,Erebidae,Taicallimorpha albipuncta,成蟲,2015,343812,3826_10556
3826_237785,284500,2675500,Erebidae,Taicallimorpha albipuncta,成蟲,2015,343812,3826_9557
3826_237783,282500,2675500,Erebidae,Taicallimorpha albipuncta,成蟲,2012,343812,3826_9557
3826_248781,280500,2697500,Erebidae,Taicallimorpha albipuncta,成蟲,2015,343812,3826_9957
3826_237785,284500,2675500,Erebidae,Taicallimorpha albipuncta,成蟲,2012,343812,3826_9557
3826_234275,274500,2668500,Erebidae,Taicallimorpha albipuncta,成蟲,2015,343812,3826_9355
3826_254805,304500,2709500,Erebidae,Taicallimorpha albipuncta,幼蟲,2016,343812,3826_10161
3826_266816,315500,2733500,Erebidae,Taicallimorpha albipuncta,幼蟲,2016,343812,3826_10664
3826_200230,229500,2600500,Erebidae,Taicallimorpha albipuncta,成蟲,2016,343812,3826_8046
3826_237791,290500,2675500,Erebidae,Taicallimorpha albipuncta,成蟲,2016,343812,3826_9559
3826_238290,289500,2676500,Erebidae,Taicallimorpha albipuncta,成蟲,2016,343812,3826_9558
3826_238794,293500,2677500,Erebidae,Taicallimorpha albipuncta,成蟲,2013,343812,3826_9559
3826_241248,247500,2682500,Erebidae,Taicallimorpha albipuncta,成蟲,2016,343812,3826_9650
3826_234275,274500,2668500,Erebidae,Taicallimorpha albipuncta,成蟲,2013,343812,3826_9355
3826_237786,285500,2675500,Erebidae,Taicallimorpha albipuncta,成蟲,2014,343812,3826_9558
3826_234275,274500,2668500,Erebidae,Taicallimorpha albipuncta,成蟲,2014,343812,3826_9355
3826_198235,234500,2596500,Erebidae,Taicallimorpha albipuncta,幼蟲,2017,343812,3826_7947
3826_237288,287500,2674500,Erebidae,Taicallimorpha albipuncta,幼蟲,2017,343812,3826_9458
3826_237791,290500,2675500,Erebidae,Taicallimorpha albipuncta,成蟲,2017,343812,3826_9559
3826_236780,279500,2673500,Erebidae,Taicallimorpha albipuncta,成蟲,2017,343812,3826_9456
3826_240247,246500,2680500,Erebidae,Taicallimorpha albipuncta,成蟲,2017,343812,3826_9650
3826_200230,229500,2600500,Erebidae,Taicallimorpha albipuncta,成蟲,2017,343812,3826_8046
3826_199731,230500,2599500,Erebidae,Taicallimorpha albipuncta,成蟲,2017,343812,3826_7947
3826_237783,282500,2675500,Erebidae,Taicallimorpha albipuncta,成蟲,2017,343812,3826_9557
3826_198236,235500,2596500,Erebidae,Taicallimorpha albipuncta,成蟲,2017,343812,3826_7948
3826_241275,274500,2682500,Erebidae,Taicallimorpha albipuncta,成蟲,2017,343812,3826_9655
3826_255262,261500,2710500,Erebidae,Taicallimorpha albipuncta,幼蟲,2017,343812,3826_10253
3826_186249,248500,2572500,Erebidae,Taicallimorpha albipuncta,幼蟲,2017,343812,3826_7450
3826_240249,248500,2680500,Erebidae,Taicallimorpha albipuncta,成蟲,2017,343812,3826_9650
3826_246786,285500,2693500,Erebidae,Taicallimorpha albipuncta,幼蟲,2017,343812,3826_9858
