GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_187200,199500,2574500,Sphingidae,Theretra nessus nessus,成蟲,2011,347706,3826_7440
3826_173684,183500,2547500,Sphingidae,Theretra nessus nessus,成蟲,2012,347706,3826_6937
3826_289825,324500,2779500,Sphingidae,Theretra nessus nessus,成蟲,2012,347706,3826_11565
3826_228709,208500,2657500,Sphingidae,Theretra nessus nessus,幼蟲,2012,347706,3826_9142
3826_197218,217500,2594500,Sphingidae,Theretra nessus nessus,成蟲,2012,347706,3826_7844
3826_273788,287500,2747500,Sphingidae,Theretra nessus nessus,成蟲,2011,347706,3826_10958
3826_149193,192500,2498500,Sphingidae,Theretra nessus nessus,成蟲,2012,347706,3826_5939
3826_175202,201500,2550500,Sphingidae,Theretra nessus nessus,成蟲,2012,347706,3826_7041
3826_284309,308500,2768500,Sphingidae,Theretra nessus nessus,幼蟲,2012,347706,3826_11362
3826_290309,308500,2780500,Sphingidae,Theretra nessus nessus,成蟲,2012,347706,3826_11662
3826_291806,305500,2783500,Sphingidae,Theretra nessus nessus,成蟲,2012,347706,3826_11662
3826_271279,278500,2742500,Sphingidae,Theretra nessus nessus,幼蟲,2012,347706,3826_10856
3826_274307,306500,2748500,Sphingidae,Theretra nessus nessus,幼蟲,2012,347706,3826_10962
3826_283807,306500,2767500,Sphingidae,Theretra nessus nessus,幼蟲,2012,347706,3826_11362
3826_291302,301500,2782500,Sphingidae,Theretra nessus nessus,成蟲,2012,347706,3826_11661
3826_291302,301500,2782500,Sphingidae,Theretra nessus nessus,幼蟲,2012,347706,3826_11661
3826_217730,229500,2635500,Sphingidae,Theretra nessus nessus,成蟲,2013,347706,3826_8746
3826_156715,214500,2513500,Sphingidae,Theretra nessus nessus,成蟲,2013,347706,3826_6243
3826_275267,266500,2750500,Sphingidae,Theretra nessus nessus,成蟲,2013,347706,3826_11054
3826_282809,308500,2765500,Sphingidae,Theretra nessus nessus,幼蟲,2013,347706,3826_11362
3826_287811,310500,2775500,Sphingidae,Theretra nessus nessus,成蟲,2013,347706,3826_11563
3826_154217,216500,2508500,Sphingidae,Theretra nessus nessus,成蟲,2013,347706,3826_6144
