GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_219243,242500,2638500,Limacodidae,Thosea sinensis,成蟲,2012,345681,3826_8749
3826_237801,300500,2675500,Limacodidae,Thosea sinensis,成蟲,2012,345681,3826_9561
3826_214718,217500,2629500,Limacodidae,Thosea sinensis,幼蟲,2012,345681,3826_8544
3826_297809,308500,2795500,Limacodidae,Thosea sinensis,幼蟲,2012,345681,3826_11962
3826_297301,300500,2794500,Limacodidae,Thosea sinensis,幼蟲,2012,345681,3826_11861
3826_284809,308500,2769500,Limacodidae,Thosea sinensis,幼蟲,2012,345681,3826_11362
3826_291805,304500,2783500,Limacodidae,Thosea sinensis,幼蟲,2012,345681,3826_11661
3826_273796,295500,2747500,Limacodidae,Thosea sinensis,幼蟲,2012,345681,3826_10960
3826_237248,247500,2674500,Limacodidae,Thosea sinensis,幼蟲,2012,345681,3826_9450
3826_276808,307500,2753500,Limacodidae,Thosea sinensis,幼蟲,2012,345681,3826_11062
3826_175202,201500,2550500,Limacodidae,Thosea sinensis,成蟲,2012,345681,3826_7041
3826_291300,299500,2782500,Limacodidae,Thosea sinensis,幼蟲,2012,345681,3826_11660
3826_287813,312500,2775500,Limacodidae,Thosea sinensis,成蟲,2012,345681,3826_11563
3826_273788,287500,2747500,Limacodidae,Thosea sinensis,成蟲,2012,345681,3826_10958
3826_221211,210500,2642500,Limacodidae,Thosea sinensis,幼蟲,2012,345681,3826_8843
3826_212229,228500,2624500,Limacodidae,Thosea sinensis,成蟲,2012,345681,3826_8446
3826_278806,305500,2757500,Limacodidae,Thosea sinensis,成蟲,2012,345681,3826_11162
3826_238204,203500,2676500,Limacodidae,Thosea sinensis,幼蟲,2012,345681,3826_9541
3826_203193,192500,2606500,Limacodidae,Thosea sinensis,幼蟲,2012,345681,3826_8139
3826_291291,290500,2782500,Limacodidae,Thosea sinensis,幼蟲,2011,345681,3826_11659
3826_155691,190500,2511500,Limacodidae,Thosea sinensis,幼蟲,2013,345681,3826_6239
3826_231717,216500,2663500,Limacodidae,Thosea sinensis,幼蟲,2012,345681,3826_9244
3826_201205,204500,2602500,Limacodidae,Thosea sinensis,幼蟲,2013,345681,3826_8041
3826_157184,183500,2514500,Limacodidae,Thosea sinensis,幼蟲,2013,345681,3826_6237
3826_218230,229500,2636500,Limacodidae,Thosea sinensis,幼蟲,2013,345681,3826_8746
3826_273304,303500,2746500,Limacodidae,Thosea sinensis,幼蟲,2013,345681,3826_10961
3826_281310,309500,2762500,Limacodidae,Thosea sinensis,幼蟲,2013,345681,3826_11262
3826_220810,309500,2641500,Limacodidae,Thosea sinensis,幼蟲,2013,345681,3826_8862
3826_267778,277500,2735500,Limacodidae,Thosea sinensis,成蟲,2013,345681,3826_10756
3826_282820,319500,2765500,Limacodidae,Thosea sinensis,成蟲,2013,345681,3826_11364
3826_291801,300500,2783500,Limacodidae,Thosea sinensis,成蟲,2013,345681,3826_11661
3826_273826,325500,2747500,Limacodidae,Thosea sinensis,成蟲,2013,345681,3826_10966
3826_152684,183500,2505500,Limacodidae,Thosea sinensis,幼蟲,2013,345681,3826_6137
3826_281810,309500,2763500,Limacodidae,Thosea sinensis,幼蟲,2013,345681,3826_11262
3826_280815,314500,2761500,Limacodidae,Thosea sinensis,幼蟲,2013,345681,3826_11263
3826_280304,303500,2760500,Limacodidae,Thosea sinensis,幼蟲,2013,345681,3826_11261
3826_280809,308500,2761500,Limacodidae,Thosea sinensis,幼蟲,2013,345681,3826_11262
3826_222739,238500,2645500,Limacodidae,Thosea sinensis,成蟲,2013,345681,3826_8948
3826_274331,330500,2748500,Limacodidae,Thosea sinensis,成蟲,2013,345681,3826_10967
3826_187200,199500,2574500,Limacodidae,Thosea sinensis,成蟲,2014,345681,3826_7440
3826_152684,183500,2505500,Limacodidae,Thosea sinensis,幼蟲,2014,345681,3826_6137
3826_277838,337500,2755500,Limacodidae,Thosea sinensis,成蟲,2014,345681,3826_11168
3826_273798,297500,2747500,Limacodidae,Thosea sinensis,幼蟲,2014,345681,3826_10960
3826_279804,303500,2759500,Limacodidae,Thosea sinensis,幼蟲,2014,345681,3826_11161
3826_164183,182500,2528500,Limacodidae,Thosea sinensis,成蟲,2014,345681,3826_6537
3826_188208,207500,2576500,Limacodidae,Thosea sinensis,幼蟲,2013,345681,3826_7542
3826_277836,335500,2755500,Limacodidae,Thosea sinensis,成蟲,2012,345681,3826_11168
3826_291301,300500,2782500,Limacodidae,Thosea sinensis,幼蟲,2014,345681,3826_11661
3826_228746,245500,2657500,Limacodidae,Thosea sinensis,成蟲,2014,345681,3826_9150
3826_279806,305500,2759500,Limacodidae,Thosea sinensis,成蟲,2014,345681,3826_11162
3826_210703,202500,2621500,Limacodidae,Thosea sinensis,幼蟲,2014,345681,3826_8441
3826_280809,308500,2761500,Limacodidae,Thosea sinensis,成蟲,2014,345681,3826_11262
3826_273826,325500,2747500,Limacodidae,Thosea sinensis,成蟲,2014,345681,3826_10966
3826_265329,328500,2730500,Limacodidae,Thosea sinensis,幼蟲,2014,345681,3826_10666
3826_224743,242500,2649500,Limacodidae,Thosea sinensis,幼蟲,2014,345681,3826_8949
3826_291302,301500,2782500,Limacodidae,Thosea sinensis,幼蟲,2014,345681,3826_11661
3826_280787,286500,2761500,Limacodidae,Thosea sinensis,成蟲,2014,345681,3826_11258
3826_274275,274500,2748500,Limacodidae,Thosea sinensis,幼蟲,2014,345681,3826_10955
3826_281810,309500,2763500,Limacodidae,Thosea sinensis,成蟲,2014,345681,3826_11262
3826_218230,229500,2636500,Limacodidae,Thosea sinensis,幼蟲,2014,345681,3826_8746
3826_262327,326500,2724500,Limacodidae,Thosea sinensis,幼蟲,2014,345681,3826_10466
3826_281312,311500,2762500,Limacodidae,Thosea sinensis,幼蟲,2014,345681,3826_11263
3826_195211,210500,2590500,Limacodidae,Thosea sinensis,幼蟲,2014,345681,3826_7843
3826_161256,255500,2522500,Limacodidae,Thosea sinensis,成蟲,2014,345681,3826_6452
3826_281309,308500,2762500,Limacodidae,Thosea sinensis,幼蟲,2014,345681,3826_11262
3826_128729,228500,2457500,Limacodidae,Thosea sinensis,幼蟲,2014,345681,3826_5146
3826_282809,308500,2765500,Limacodidae,Thosea sinensis,幼蟲,2014,345681,3826_11362
3826_221310,309500,2642500,Limacodidae,Thosea sinensis,成蟲,2015,345681,3826_8862
3826_220810,309500,2641500,Limacodidae,Thosea sinensis,成蟲,2015,345681,3826_8862
3826_285313,312500,2770500,Limacodidae,Thosea sinensis,成蟲,2015,345681,3826_11463
3826_281810,309500,2763500,Limacodidae,Thosea sinensis,成蟲,2015,345681,3826_11262
3826_281333,332500,2762500,Limacodidae,Thosea sinensis,成蟲,2014,345681,3826_11267
3826_237210,209500,2674500,Limacodidae,Thosea sinensis,幼蟲,2015,345681,3826_9442
3826_288310,309500,2776500,Limacodidae,Thosea sinensis,成蟲,2015,345681,3826_11562
3826_237248,247500,2674500,Limacodidae,Thosea sinensis,成蟲,2015,345681,3826_9450
3826_259800,299500,2719500,Limacodidae,Thosea sinensis,成蟲,2015,345681,3826_10360
3826_263260,259500,2726500,Limacodidae,Thosea sinensis,成蟲,2015,345681,3826_10552
3826_273796,295500,2747500,Limacodidae,Thosea sinensis,成蟲,2015,345681,3826_10960
3826_291802,301500,2783500,Limacodidae,Thosea sinensis,成蟲,2015,345681,3826_11661
3826_268819,318500,2737500,Limacodidae,Thosea sinensis,成蟲,2014,345681,3826_10764
3826_197206,205500,2594500,Limacodidae,Thosea sinensis,幼蟲,2014,345681,3826_7842
3826_239253,252500,2678500,Limacodidae,Thosea sinensis,成蟲,2014,345681,3826_9551
3826_273796,295500,2747500,Limacodidae,Thosea sinensis,幼蟲,2014,345681,3826_10960
3826_270777,276500,2741500,Limacodidae,Thosea sinensis,成蟲,2014,345681,3826_10856
3826_167263,262500,2534500,Limacodidae,Thosea sinensis,成蟲,2014,345681,3826_6653
3826_261315,314500,2722500,Limacodidae,Thosea sinensis,成蟲,2014,345681,3826_10463
3826_267319,318500,2734500,Limacodidae,Thosea sinensis,成蟲,2014,345681,3826_10664
3826_227741,240500,2655500,Limacodidae,Thosea sinensis,成蟲,2014,345681,3826_9149
3826_272780,279500,2745500,Limacodidae,Thosea sinensis,成蟲,2014,345681,3826_10956
3826_280787,286500,2761500,Limacodidae,Thosea sinensis,成蟲,2013,345681,3826_11258
3826_253242,241500,2706500,Limacodidae,Thosea sinensis,成蟲,2014,345681,3826_10149
3826_287813,312500,2775500,Limacodidae,Thosea sinensis,成蟲,2014,345681,3826_11563
3826_291329,328500,2782500,Limacodidae,Thosea sinensis,幼蟲,2015,345681,3826_11666
3826_289823,322500,2779500,Limacodidae,Thosea sinensis,幼蟲,2015,345681,3826_11565
3826_238700,199500,2677500,Limacodidae,Thosea sinensis,幼蟲,2015,345681,3826_9540
3826_279306,305500,2758500,Limacodidae,Thosea sinensis,成蟲,2013,345681,3826_11162
3826_218727,226500,2637500,Limacodidae,Thosea sinensis,成蟲,2015,345681,3826_8746
3826_281844,343500,2763500,Limacodidae,Thosea sinensis,成蟲,2015,345681,3826_11269
3826_279801,300500,2759500,Limacodidae,Thosea sinensis,成蟲,2015,345681,3826_11161
3826_227745,244500,2655500,Limacodidae,Thosea sinensis,成蟲,2015,345681,3826_9149
3826_198197,196500,2596500,Limacodidae,Thosea sinensis,幼蟲,2015,345681,3826_7940
3826_285793,292500,2771500,Limacodidae,Thosea sinensis,幼蟲,2015,345681,3826_11459
3826_272277,276500,2744500,Limacodidae,Thosea sinensis,成蟲,2013,345681,3826_10856
3826_275267,266500,2750500,Limacodidae,Thosea sinensis,成蟲,2012,345681,3826_11054
3826_237228,227500,2674500,Limacodidae,Thosea sinensis,成蟲,2014,345681,3826_9446
3826_269276,275500,2738500,Limacodidae,Thosea sinensis,成蟲,2013,345681,3826_10756
3826_290805,304500,2781500,Limacodidae,Thosea sinensis,成蟲,2013,345681,3826_11661
3826_259800,299500,2719500,Limacodidae,Thosea sinensis,成蟲,2012,345681,3826_10360
3826_280304,303500,2760500,Limacodidae,Thosea sinensis,成蟲,2013,345681,3826_11261
3826_158223,222500,2516500,Limacodidae,Thosea sinensis,成蟲,2016,345681,3826_6345
3826_153692,191500,2507500,Limacodidae,Thosea sinensis,幼蟲,2016,345681,3826_6139
3826_273796,295500,2747500,Limacodidae,Thosea sinensis,幼蟲,2016,345681,3826_10960
3826_252226,225500,2704500,Limacodidae,Thosea sinensis,成蟲,2016,345681,3826_10046
3826_239702,201500,2679500,Limacodidae,Thosea sinensis,幼蟲,2016,345681,3826_9541
3826_269280,279500,2738500,Limacodidae,Thosea sinensis,幼蟲,2014,345681,3826_10756
3826_213711,210500,2627500,Limacodidae,Thosea sinensis,幼蟲,2016,345681,3826_8543
3826_287810,309500,2775500,Limacodidae,Thosea sinensis,幼蟲,2016,345681,3826_11562
3826_283283,282500,2766500,Limacodidae,Thosea sinensis,幼蟲,2016,345681,3826_11357
3826_230726,225500,2661500,Limacodidae,Thosea sinensis,幼蟲,2016,345681,3826_9246
3826_277765,264500,2755500,Limacodidae,Thosea sinensis,幼蟲,2016,345681,3826_11153
3826_281810,309500,2763500,Limacodidae,Thosea sinensis,成蟲,2016,345681,3826_11262
3826_287327,326500,2774500,Limacodidae,Thosea sinensis,幼蟲,2016,345681,3826_11466
3826_290298,297500,2780500,Limacodidae,Thosea sinensis,幼蟲,2016,345681,3826_11660
3826_281813,312500,2763500,Limacodidae,Thosea sinensis,成蟲,2016,345681,3826_11263
3826_187783,282500,2575500,Limacodidae,Thosea sinensis,幼蟲,2012,345681,3826_7557
3826_253332,331500,2706500,Limacodidae,Thosea sinensis,成蟲,2013,345681,3826_10167
3826_287811,310500,2775500,Limacodidae,Thosea sinensis,幼蟲,2016,345681,3826_11563
3826_277327,326500,2754500,Limacodidae,Thosea sinensis,幼蟲,2016,345681,3826_11066
3826_288808,307500,2777500,Limacodidae,Thosea sinensis,幼蟲,2016,345681,3826_11562
3826_293303,302500,2786500,Limacodidae,Thosea sinensis,成蟲,2016,345681,3826_11761
3826_220699,198500,2641500,Limacodidae,Thosea sinensis,幼蟲,2016,345681,3826_8840
