GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_293805,304500,2787500,Geometridae,Timandra dichela,成蟲,2011,345320,3826_11761
3826_162718,217500,2525500,Geometridae,Timandra dichela,成蟲,2014,345320,3826_6544
3826_272774,273500,2745500,Geometridae,Timandra dichela,成蟲,2015,345320,3826_10955
3826_151747,246500,2503500,Geometridae,Timandra dichela,成蟲,2015,345320,3826_6050
3826_272277,276500,2744500,Geometridae,Timandra dichela,成蟲,2013,345320,3826_10856
3826_151747,246500,2503500,Geometridae,Timandra dichela,成蟲,2016,345320,3826_6050
3826_289305,304500,2778500,Geometridae,Timandra dichela,成蟲,2016,345320,3826_11561
3826_198220,219500,2596500,Geometridae,Timandra dichela,成蟲,2016,345320,3826_7944
3826_225801,300500,2651500,Geometridae,Timandra dichela,成蟲,2017,345320,3826_9061
3826_225761,260500,2651500,Geometridae,Timandra dichela,成蟲,2014,345320,3826_9053
3826_238223,222500,2676500,Geometridae,Timandra dichela,成蟲,2016,345320,3826_9545
3826_273781,280500,2747500,Geometridae,Timandra dichela,成蟲,2016,345320,3826_10957
3826_284810,309500,2769500,Geometridae,Timandra dichela,成蟲,2016,345320,3826_11362
3826_224769,268500,2649500,Geometridae,Timandra dichela,成蟲,2017,345320,3826_8954
3826_291805,304500,2783500,Geometridae,Timandra dichela,成蟲,2014,345320,3826_11661
3826_234314,313500,2668500,Geometridae,Timandra dichela,成蟲,2016,345320,3826_9363
3826_237727,226500,2675500,Geometridae,Timandra dichela,成蟲,2014,345320,3826_9546
3826_281810,309500,2763500,Geometridae,Timandra dichela,成蟲,2017,345320,3826_11262
3826_198220,219500,2596500,Geometridae,Timandra dichela,成蟲,2017,345320,3826_7944
3826_235716,215500,2671500,Geometridae,Timandra dichela,成蟲,2018,345320,3826_9444
3826_209230,229500,2618500,Geometridae,Timandra dichela,成蟲,2018,345320,3826_8346
3826_228250,249500,2656500,Geometridae,Timandra dichela,成蟲,2019,345320,3826_9150
3826_154218,217500,2508500,Geometridae,Timandra dichela,成蟲,2019,345320,3826_6144
3826_221802,301500,2643500,Geometridae,Timandra dichela,成蟲,2019,345320,3826_8861
3826_153720,219500,2507500,Geometridae,Timandra dichela,成蟲,2010,345320,3826_6144
3826_159220,219500,2518500,Geometridae,Timandra dichela,成蟲,2015,345320,3826_6344
3826_265765,264500,2731500,Geometridae,Timandra dichela,成蟲,2019,345320,3826_10653
3826_187222,221500,2574500,Geometridae,Timandra dichela,成蟲,2019,345320,3826_7445
3826_265768,267500,2731500,Geometridae,Timandra dichela,成蟲,2020,345320,3826_10654
3826_280805,304500,2761500,Geometridae,Timandra dichela,成蟲,2020,345320,3826_11261
3826_222739,238500,2645500,Geometridae,Timandra dichela,成蟲,2020,345320,3826_8948
3826_292803,302500,2785500,Geometridae,Timandra dichela,成蟲,2020,345320,3826_11761
3826_265257,256500,2730500,Geometridae,Timandra dichela,成蟲,2020,345320,3826_10652
3826_290309,308500,2780500,Geometridae,Timandra dichela,成蟲,2021,345320,3826_11662
3826_236223,222500,2672500,Geometridae,Timandra dichela,成蟲,2021,345320,3826_9445
