GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_291801,300500,2783500,Lecithoceridae,Tisis mesozosta,成蟲,2012,345623,3826_11661
3826_254805,304500,2709500,Lecithoceridae,Tisis mesozosta,成蟲,2012,345623,3826_10161
3826_204726,225500,2609500,Lecithoceridae,Tisis mesozosta,成蟲,2012,345623,3826_8146
3826_280316,315500,2760500,Lecithoceridae,Tisis mesozosta,成蟲,2013,345623,3826_11264
3826_280304,303500,2760500,Lecithoceridae,Tisis mesozosta,成蟲,2012,345623,3826_11261
3826_267819,318500,2735500,Lecithoceridae,Tisis mesozosta,成蟲,2013,345623,3826_10764
3826_293303,302500,2786500,Lecithoceridae,Tisis mesozosta,成蟲,2013,345623,3826_11761
3826_267778,277500,2735500,Lecithoceridae,Tisis mesozosta,成蟲,2013,345623,3826_10756
3826_261827,326500,2723500,Lecithoceridae,Tisis mesozosta,成蟲,2013,345623,3826_10466
3826_275292,291500,2750500,Lecithoceridae,Tisis mesozosta,成蟲,2013,345623,3826_11059
3826_218230,229500,2636500,Lecithoceridae,Tisis mesozosta,成蟲,2013,345623,3826_8746
3826_266769,268500,2733500,Lecithoceridae,Tisis mesozosta,成蟲,2014,345623,3826_10654
3826_297809,308500,2795500,Lecithoceridae,Tisis mesozosta,成蟲,2013,345623,3826_11962
3826_287311,310500,2774500,Lecithoceridae,Tisis mesozosta,成蟲,2013,345623,3826_11463
3826_280339,338500,2760500,Lecithoceridae,Tisis mesozosta,成蟲,2013,345623,3826_11268
3826_291329,328500,2782500,Lecithoceridae,Tisis mesozosta,成蟲,2013,345623,3826_11666
3826_175725,224500,2551500,Lecithoceridae,Tisis mesozosta,成蟲,2013,345623,3826_7045
3826_291309,308500,2782500,Lecithoceridae,Tisis mesozosta,成蟲,2013,345623,3826_11662
3826_293303,302500,2786500,Lecithoceridae,Tisis mesozosta,成蟲,2014,345623,3826_11761
