GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_289305,304500,2778500,Lasiocampidae,Trabala vishnou guttata,幼蟲,2011,345557,3826_11561
3826_275307,306500,2750500,Lasiocampidae,Trabala vishnou guttata,幼蟲,2011,345557,3826_11062
3826_203243,242500,2606500,Lasiocampidae,Trabala vishnou guttata,成蟲,2011,345557,3826_8149
3826_278805,304500,2757500,Lasiocampidae,Trabala vishnou guttata,成蟲,2011,345557,3826_11161
3826_263294,293500,2726500,Lasiocampidae,Trabala vishnou guttata,幼蟲,2011,345557,3826_10559
3826_140224,223500,2480500,Lasiocampidae,Trabala vishnou guttata,成蟲,2011,345557,3826_5645
3826_238752,251500,2677500,Lasiocampidae,Trabala vishnou guttata,成蟲,2011,345557,3826_9551
3826_232753,252500,2665500,Lasiocampidae,Trabala vishnou guttata,成蟲,2012,345557,3826_9351
3826_281312,311500,2762500,Lasiocampidae,Trabala vishnou guttata,成蟲,2012,345557,3826_11263
3826_261779,278500,2723500,Lasiocampidae,Trabala vishnou guttata,成蟲,2012,345557,3826_10456
3826_239715,214500,2679500,Lasiocampidae,Trabala vishnou guttata,幼蟲,2012,345557,3826_9543
3826_211192,191500,2622500,Lasiocampidae,Trabala vishnou guttata,幼蟲,2012,345557,3826_8439
3826_241725,224500,2683500,Lasiocampidae,Trabala vishnou guttata,幼蟲,2012,345557,3826_9645
3826_153176,175500,2506500,Lasiocampidae,Trabala vishnou guttata,幼蟲,2012,345557,3826_6136
3826_286307,306500,2772500,Lasiocampidae,Trabala vishnou guttata,成蟲,2012,345557,3826_11462
3826_154678,177500,2509500,Lasiocampidae,Trabala vishnou guttata,幼蟲,2011,345557,3826_6136
3826_265289,288500,2730500,Lasiocampidae,Trabala vishnou guttata,成蟲,2012,345557,3826_10658
3826_216236,235500,2632500,Lasiocampidae,Trabala vishnou guttata,幼蟲,2012,345557,3826_8648
3826_199667,166500,2599500,Lasiocampidae,Trabala vishnou guttata,幼蟲,2018,345557,3826_7934
3826_219242,241500,2638500,Lasiocampidae,Trabala vishnou guttata,幼蟲,2012,345557,3826_8749
3826_280304,303500,2760500,Lasiocampidae,Trabala vishnou guttata,幼蟲,2012,345557,3826_11261
3826_297301,300500,2794500,Lasiocampidae,Trabala vishnou guttata,幼蟲,2012,345557,3826_11861
3826_284804,303500,2769500,Lasiocampidae,Trabala vishnou guttata,幼蟲,2012,345557,3826_11361
3826_296304,303500,2792500,Lasiocampidae,Trabala vishnou guttata,幼蟲,2012,345557,3826_11861
3826_221805,304500,2643500,Lasiocampidae,Trabala vishnou guttata,幼蟲,2012,345557,3826_8861
3826_265289,288500,2730500,Lasiocampidae,Trabala vishnou guttata,幼蟲,2012,345557,3826_10658
3826_290304,303500,2780500,Lasiocampidae,Trabala vishnou guttata,幼蟲,2012,345557,3826_11661
3826_272277,276500,2744500,Lasiocampidae,Trabala vishnou guttata,成蟲,2012,345557,3826_10856
3826_218230,229500,2636500,Lasiocampidae,Trabala vishnou guttata,成蟲,2012,345557,3826_8746
3826_268824,323500,2737500,Lasiocampidae,Trabala vishnou guttata,幼蟲,2012,345557,3826_10765
3826_283305,304500,2766500,Lasiocampidae,Trabala vishnou guttata,幼蟲,2012,345557,3826_11361
3826_281324,323500,2762500,Lasiocampidae,Trabala vishnou guttata,幼蟲,2012,345557,3826_11265
3826_204726,225500,2609500,Lasiocampidae,Trabala vishnou guttata,成蟲,2012,345557,3826_8146
3826_273788,287500,2747500,Lasiocampidae,Trabala vishnou guttata,成蟲,2012,345557,3826_10958
3826_190699,198500,2581500,Lasiocampidae,Trabala vishnou guttata,幼蟲,2012,345557,3826_7640
3826_218230,229500,2636500,Lasiocampidae,Trabala vishnou guttata,幼蟲,2012,345557,3826_8746
3826_227687,186500,2655500,Lasiocampidae,Trabala vishnou guttata,幼蟲,2012,345557,3826_9138
3826_219243,242500,2638500,Lasiocampidae,Trabala vishnou guttata,成蟲,2012,345557,3826_8749
3826_296802,301500,2793500,Lasiocampidae,Trabala vishnou guttata,幼蟲,2012,345557,3826_11861
3826_237248,247500,2674500,Lasiocampidae,Trabala vishnou guttata,卵,2012,345557,3826_9450
3826_174667,166500,2549500,Lasiocampidae,Trabala vishnou guttata,幼蟲,2011,345557,3826_6934
3826_174667,166500,2549500,Lasiocampidae,Trabala vishnou guttata,蛹,2011,345557,3826_6934
3826_154218,217500,2508500,Lasiocampidae,Trabala vishnou guttata,成蟲,2011,345557,3826_6144
3826_289798,297500,2779500,Lasiocampidae,Trabala vishnou guttata,幼蟲,2012,345557,3826_11560
3826_289798,297500,2779500,Lasiocampidae,Trabala vishnou guttata,幼蟲,2011,345557,3826_11560
3826_291805,304500,2783500,Lasiocampidae,Trabala vishnou guttata,蛹,2012,345557,3826_11661
3826_154697,196500,2509500,Lasiocampidae,Trabala vishnou guttata,成蟲,2010,345557,3826_6140
3826_204739,238500,2609500,Lasiocampidae,Trabala vishnou guttata,成蟲,2012,345557,3826_8148
3826_273788,287500,2747500,Lasiocampidae,Trabala vishnou guttata,幼蟲,2012,345557,3826_10958
