GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_228264,263500,2656500,Noctuidae,Trachea auriplena auriplena,成蟲,2011,346800,3826_9153
3826_140224,223500,2480500,Noctuidae,Trachea auriplena auriplena,成蟲,2011,346800,3826_5645
3826_182753,252500,2565500,Noctuidae,Trachea auriplena auriplena,成蟲,2012,346800,3826_7351
3826_219741,240500,2639500,Noctuidae,Trachea auriplena auriplena,成蟲,2012,346800,3826_8749
3826_275267,266500,2750500,Noctuidae,Trachea auriplena auriplena,成蟲,2013,346800,3826_11054
3826_280787,286500,2761500,Noctuidae,Trachea auriplena auriplena,成蟲,2014,346800,3826_11258
3826_264779,278500,2729500,Noctuidae,Trachea auriplena auriplena,成蟲,2013,346800,3826_10556
3826_228264,263500,2656500,Noctuidae,Trachea auriplena auriplena,成蟲,2013,346800,3826_9153
3826_227258,257500,2654500,Noctuidae,Trachea auriplena auriplena,成蟲,2014,346800,3826_9052
3826_290324,323500,2780500,Noctuidae,Trachea auriplena auriplena,成蟲,2014,346800,3826_11665
3826_269811,310500,2739500,Noctuidae,Trachea auriplena auriplena,成蟲,2013,346800,3826_10763
3826_199222,221500,2598500,Noctuidae,Trachea auriplena auriplena,成蟲,2014,346800,3826_7945
3826_264279,278500,2728500,Noctuidae,Trachea auriplena auriplena,成蟲,2014,346800,3826_10556
3826_280316,315500,2760500,Noctuidae,Trachea auriplena auriplena,成蟲,2014,346800,3826_11264
3826_200731,230500,2601500,Noctuidae,Trachea auriplena auriplena,成蟲,2014,346800,3826_8047
3826_265289,288500,2730500,Noctuidae,Trachea auriplena auriplena,成蟲,2014,346800,3826_10658
3826_282307,306500,2764500,Noctuidae,Trachea auriplena auriplena,成蟲,2014,346800,3826_11262
3826_200230,229500,2600500,Noctuidae,Trachea auriplena auriplena,成蟲,2014,346800,3826_8046
3826_221310,309500,2642500,Noctuidae,Trachea auriplena auriplena,成蟲,2015,346800,3826_8862
3826_195215,214500,2590500,Noctuidae,Trachea auriplena auriplena,成蟲,2015,346800,3826_7843
3826_264279,278500,2728500,Noctuidae,Trachea auriplena auriplena,成蟲,2015,346800,3826_10556
3826_264779,278500,2729500,Noctuidae,Trachea auriplena auriplena,成蟲,2014,346800,3826_10556
3826_212229,228500,2624500,Noctuidae,Trachea auriplena auriplena,成蟲,2014,346800,3826_8446
3826_282307,306500,2764500,Noctuidae,Trachea auriplena auriplena,成蟲,2015,346800,3826_11262
3826_175725,224500,2551500,Noctuidae,Trachea auriplena auriplena,成蟲,2015,346800,3826_7045
3826_264779,278500,2729500,Noctuidae,Trachea auriplena auriplena,成蟲,2015,346800,3826_10556
3826_237791,290500,2675500,Noctuidae,Trachea auriplena auriplena,成蟲,2015,346800,3826_9559
3826_214744,243500,2629500,Noctuidae,Trachea auriplena auriplena,成蟲,2012,346800,3826_8549
3826_282784,283500,2765500,Noctuidae,Trachea auriplena auriplena,成蟲,2014,346800,3826_11357
3826_273788,287500,2747500,Noctuidae,Trachea auriplena auriplena,成蟲,2012,346800,3826_10958
3826_175767,266500,2551500,Noctuidae,Trachea auriplena auriplena,成蟲,2013,346800,3826_7054
3826_281309,308500,2762500,Noctuidae,Trachea auriplena auriplena,成蟲,2012,346800,3826_11262
3826_241248,247500,2682500,Noctuidae,Trachea auriplena auriplena,成蟲,2012,346800,3826_9650
3826_212229,228500,2624500,Noctuidae,Trachea auriplena auriplena,成蟲,2015,346800,3826_8446
3826_273279,278500,2746500,Noctuidae,Trachea auriplena auriplena,成蟲,2013,346800,3826_10956
3826_280316,315500,2760500,Noctuidae,Trachea auriplena auriplena,成蟲,2013,346800,3826_11264
3826_285310,309500,2770500,Noctuidae,Trachea auriplena auriplena,成蟲,2016,346800,3826_11462
3826_204712,211500,2609500,Noctuidae,Trachea auriplena auriplena,成蟲,2016,346800,3826_8143
3826_225806,305500,2651500,Noctuidae,Trachea auriplena auriplena,成蟲,2016,346800,3826_9062
3826_265269,268500,2730500,Noctuidae,Trachea auriplena auriplena,成蟲,2016,346800,3826_10654
3826_175724,223500,2551500,Noctuidae,Trachea auriplena auriplena,成蟲,2016,346800,3826_7045
3826_229248,247500,2658500,Noctuidae,Trachea auriplena auriplena,成蟲,2016,346800,3826_9150
3826_290310,309500,2780500,Noctuidae,Trachea auriplena auriplena,成蟲,2016,346800,3826_11662
3826_195715,214500,2591500,Noctuidae,Trachea auriplena auriplena,成蟲,2014,346800,3826_7843
3826_264279,278500,2728500,Noctuidae,Trachea auriplena auriplena,成蟲,2016,346800,3826_10556
3826_293303,302500,2786500,Noctuidae,Trachea auriplena auriplena,成蟲,2016,346800,3826_11761
3826_269265,264500,2738500,Noctuidae,Trachea auriplena auriplena,成蟲,2016,346800,3826_10753
3826_188240,239500,2576500,Noctuidae,Trachea auriplena auriplena,成蟲,2016,346800,3826_7548
3826_293308,307500,2786500,Noctuidae,Trachea auriplena auriplena,成蟲,2016,346800,3826_11762
3826_187200,199500,2574500,Noctuidae,Trachea auriplena auriplena,成蟲,2013,346800,3826_7440
3826_292805,304500,2785500,Noctuidae,Trachea auriplena auriplena,成蟲,2016,346800,3826_11761
3826_207230,229500,2614500,Noctuidae,Trachea auriplena auriplena,成蟲,2013,346800,3826_8246
3826_225250,249500,2650500,Noctuidae,Trachea auriplena auriplena,成蟲,2016,346800,3826_9050
3826_231268,267500,2662500,Noctuidae,Trachea auriplena auriplena,成蟲,2016,346800,3826_9254
3826_198733,232500,2597500,Noctuidae,Trachea auriplena auriplena,成蟲,2016,346800,3826_7947
3826_207230,229500,2614500,Noctuidae,Trachea auriplena auriplena,成蟲,2016,346800,3826_8246
3826_237245,244500,2674500,Noctuidae,Trachea auriplena auriplena,成蟲,2016,346800,3826_9449
3826_224749,248500,2649500,Noctuidae,Trachea auriplena auriplena,成蟲,2016,346800,3826_8950
3826_283305,304500,2766500,Noctuidae,Trachea auriplena auriplena,成蟲,2017,346800,3826_11361
3826_187200,199500,2574500,Noctuidae,Trachea auriplena auriplena,成蟲,2017,346800,3826_7440
3826_224749,248500,2649500,Noctuidae,Trachea auriplena auriplena,成蟲,2017,346800,3826_8950
3826_282307,306500,2764500,Noctuidae,Trachea auriplena auriplena,成蟲,2017,346800,3826_11262
3826_199225,224500,2598500,Noctuidae,Trachea auriplena auriplena,成蟲,2017,346800,3826_7945
3826_292797,296500,2785500,Noctuidae,Trachea auriplena auriplena,成蟲,2017,346800,3826_11760
3826_248231,230500,2696500,Noctuidae,Trachea auriplena auriplena,成蟲,2017,346800,3826_9947
3826_238290,289500,2676500,Noctuidae,Trachea auriplena auriplena,成蟲,2016,346800,3826_9558
3826_283807,306500,2767500,Noctuidae,Trachea auriplena auriplena,幼蟲,2017,346800,3826_11362
3826_281812,311500,2763500,Noctuidae,Trachea auriplena auriplena,成蟲,2017,346800,3826_11263
3826_293308,307500,2786500,Noctuidae,Trachea auriplena auriplena,成蟲,2017,346800,3826_11762
