GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_291302,301500,2782500,Geometridae,Traminda aventiaria,成蟲,2010,344901,3826_11661
3826_293805,304500,2787500,Geometridae,Traminda aventiaria,成蟲,2011,344901,3826_11761
3826_242745,244500,2685500,Geometridae,Traminda aventiaria,成蟲,2011,344901,3826_9749
3826_291804,303500,2783500,Geometridae,Traminda aventiaria,成蟲,2011,344901,3826_11661
3826_290304,303500,2780500,Geometridae,Traminda aventiaria,成蟲,2011,344901,3826_11661
3826_173684,183500,2547500,Geometridae,Traminda aventiaria,成蟲,2011,344901,3826_6937
3826_166762,261500,2533500,Geometridae,Traminda aventiaria,成蟲,2011,344901,3826_6653
3826_229767,266500,2659500,Geometridae,Traminda aventiaria,成蟲,2012,344901,3826_9154
3826_219243,242500,2638500,Geometridae,Traminda aventiaria,成蟲,2012,344901,3826_8749
3826_291805,304500,2783500,Geometridae,Traminda aventiaria,成蟲,2012,344901,3826_11661
3826_287813,312500,2775500,Geometridae,Traminda aventiaria,成蟲,2012,344901,3826_11563
3826_296304,303500,2792500,Geometridae,Traminda aventiaria,成蟲,2012,344901,3826_11861
3826_292305,304500,2784500,Geometridae,Traminda aventiaria,成蟲,2012,344901,3826_11661
3826_291302,301500,2782500,Geometridae,Traminda aventiaria,成蟲,2012,344901,3826_11661
3826_195275,274500,2590500,Geometridae,Traminda aventiaria,幼蟲,2010,344901,3826_7855
3826_203744,243500,2607500,Geometridae,Traminda aventiaria,幼蟲,2011,344901,3826_8149
3826_275267,266500,2750500,Geometridae,Traminda aventiaria,成蟲,2012,344901,3826_11054
3826_272780,279500,2745500,Geometridae,Traminda aventiaria,成蟲,2012,344901,3826_10956
3826_187200,199500,2574500,Geometridae,Traminda aventiaria,成蟲,2012,344901,3826_7440
3826_253236,235500,2706500,Geometridae,Traminda aventiaria,成蟲,2012,344901,3826_10148
3826_204726,225500,2609500,Geometridae,Traminda aventiaria,成蟲,2012,344901,3826_8146
3826_273792,291500,2747500,Geometridae,Traminda aventiaria,成蟲,2010,344901,3826_10959
3826_276808,307500,2753500,Geometridae,Traminda aventiaria,成蟲,2012,344901,3826_11062
3826_282307,306500,2764500,Geometridae,Traminda aventiaria,成蟲,2011,344901,3826_11262
3826_204739,238500,2609500,Geometridae,Traminda aventiaria,成蟲,2012,344901,3826_8148
3826_221712,211500,2643500,Geometridae,Traminda aventiaria,成蟲,2012,344901,3826_8843
3826_280304,303500,2760500,Geometridae,Traminda aventiaria,成蟲,2012,344901,3826_11261
3826_194706,205500,2589500,Geometridae,Traminda aventiaria,成蟲,2012,344901,3826_7742
3826_291801,300500,2783500,Geometridae,Traminda aventiaria,成蟲,2012,344901,3826_11661
3826_239224,223500,2678500,Geometridae,Traminda aventiaria,幼蟲,2012,344901,3826_9545
3826_273788,287500,2747500,Geometridae,Traminda aventiaria,成蟲,2012,344901,3826_10958
3826_283807,306500,2767500,Geometridae,Traminda aventiaria,成蟲,2012,344901,3826_11362
3826_291297,296500,2782500,Geometridae,Traminda aventiaria,成蟲,2012,344901,3826_11660
3826_283292,291500,2766500,Geometridae,Traminda aventiaria,成蟲,2012,344901,3826_11359
3826_291806,305500,2783500,Geometridae,Traminda aventiaria,成蟲,2012,344901,3826_11662
3826_290805,304500,2781500,Geometridae,Traminda aventiaria,成蟲,2012,344901,3826_11661
3826_290304,303500,2780500,Geometridae,Traminda aventiaria,成蟲,2012,344901,3826_11661
3826_282307,306500,2764500,Geometridae,Traminda aventiaria,成蟲,2012,344901,3826_11262
3826_284810,309500,2769500,Geometridae,Traminda aventiaria,成蟲,2011,344901,3826_11362
3826_291300,299500,2782500,Geometridae,Traminda aventiaria,成蟲,2012,344901,3826_11660
3826_284315,314500,2768500,Geometridae,Traminda aventiaria,成蟲,2013,344901,3826_11363
3826_152175,174500,2504500,Geometridae,Traminda aventiaria,成蟲,2013,344901,3826_6035
3826_281309,308500,2762500,Geometridae,Traminda aventiaria,成蟲,2013,344901,3826_11262
3826_291805,304500,2783500,Geometridae,Traminda aventiaria,成蟲,2013,344901,3826_11661
3826_291301,300500,2782500,Geometridae,Traminda aventiaria,成蟲,2013,344901,3826_11661
3826_291801,300500,2783500,Geometridae,Traminda aventiaria,成蟲,2013,344901,3826_11661
3826_289798,297500,2779500,Geometridae,Traminda aventiaria,成蟲,2013,344901,3826_11560
3826_282806,305500,2765500,Geometridae,Traminda aventiaria,成蟲,2013,344901,3826_11362
3826_292305,304500,2784500,Geometridae,Traminda aventiaria,成蟲,2013,344901,3826_11661
3826_281810,309500,2763500,Geometridae,Traminda aventiaria,成蟲,2013,344901,3826_11262
3826_292304,303500,2784500,Geometridae,Traminda aventiaria,成蟲,2013,344901,3826_11661
3826_271769,268500,2743500,Geometridae,Traminda aventiaria,成蟲,2013,344901,3826_10854
3826_275267,266500,2750500,Geometridae,Traminda aventiaria,成蟲,2013,344901,3826_11054
3826_272277,276500,2744500,Geometridae,Traminda aventiaria,成蟲,2013,344901,3826_10856
3826_173684,183500,2547500,Geometridae,Traminda aventiaria,成蟲,2013,344901,3826_6937
3826_188716,215500,2577500,Geometridae,Traminda aventiaria,成蟲,2013,344901,3826_7544
3826_281301,300500,2762500,Geometridae,Traminda aventiaria,成蟲,2013,344901,3826_11261
3826_279306,305500,2758500,Geometridae,Traminda aventiaria,成蟲,2013,344901,3826_11162
3826_282792,291500,2765500,Geometridae,Traminda aventiaria,成蟲,2013,344901,3826_11359
3826_280316,315500,2760500,Geometridae,Traminda aventiaria,成蟲,2013,344901,3826_11264
3826_293303,302500,2786500,Geometridae,Traminda aventiaria,成蟲,2013,344901,3826_11761
3826_282313,312500,2764500,Geometridae,Traminda aventiaria,成蟲,2013,344901,3826_11263
3826_282791,290500,2765500,Geometridae,Traminda aventiaria,成蟲,2013,344901,3826_11359
3826_156715,214500,2513500,Geometridae,Traminda aventiaria,幼蟲,2013,344901,3826_6243
3826_175222,221500,2550500,Geometridae,Traminda aventiaria,成蟲,2013,344901,3826_7045
3826_291300,299500,2782500,Geometridae,Traminda aventiaria,成蟲,2013,344901,3826_11660
3826_275764,263500,2751500,Geometridae,Traminda aventiaria,成蟲,2012,344901,3826_11053
3826_273826,325500,2747500,Geometridae,Traminda aventiaria,成蟲,2013,344901,3826_10966
3826_284309,308500,2768500,Geometridae,Traminda aventiaria,成蟲,2012,344901,3826_11362
3826_272776,275500,2745500,Geometridae,Traminda aventiaria,成蟲,2012,344901,3826_10956
3826_286780,279500,2773500,Geometridae,Traminda aventiaria,成蟲,2013,344901,3826_11456
3826_278303,302500,2756500,Geometridae,Traminda aventiaria,成蟲,2013,344901,3826_11161
3826_280787,286500,2761500,Geometridae,Traminda aventiaria,幼蟲,2013,344901,3826_11258
3826_285312,311500,2770500,Geometridae,Traminda aventiaria,成蟲,2013,344901,3826_11463
3826_272774,273500,2745500,Geometridae,Traminda aventiaria,成蟲,2013,344901,3826_10955
3826_205213,212500,2610500,Geometridae,Traminda aventiaria,成蟲,2013,344901,3826_8243
3826_290293,292500,2780500,Geometridae,Traminda aventiaria,成蟲,2013,344901,3826_11659
3826_288323,322500,2776500,Geometridae,Traminda aventiaria,成蟲,2013,344901,3826_11565
3826_288306,305500,2776500,Geometridae,Traminda aventiaria,成蟲,2013,344901,3826_11562
3826_238709,208500,2677500,Geometridae,Traminda aventiaria,成蟲,2014,344901,3826_9542
3826_201198,197500,2602500,Geometridae,Traminda aventiaria,成蟲,2014,344901,3826_8040
3826_200731,230500,2601500,Geometridae,Traminda aventiaria,成蟲,2014,344901,3826_8047
3826_139724,223500,2479500,Geometridae,Traminda aventiaria,成蟲,2014,344901,3826_5545
3826_270273,272500,2740500,Geometridae,Traminda aventiaria,成蟲,2014,344901,3826_10855
3826_227307,306500,2654500,Geometridae,Traminda aventiaria,成蟲,2014,344901,3826_9062
3826_218230,229500,2636500,Geometridae,Traminda aventiaria,成蟲,2014,344901,3826_8746
3826_288310,309500,2776500,Geometridae,Traminda aventiaria,成蟲,2014,344901,3826_11562
3826_227258,257500,2654500,Geometridae,Traminda aventiaria,成蟲,2014,344901,3826_9052
3826_151675,174500,2503500,Geometridae,Traminda aventiaria,成蟲,2014,344901,3826_6035
3826_269255,254500,2738500,Geometridae,Traminda aventiaria,成蟲,2021,344901,3826_10751
3826_152714,213500,2505500,Geometridae,Traminda aventiaria,成蟲,2014,344901,3826_6143
3826_280787,286500,2761500,Geometridae,Traminda aventiaria,成蟲,2013,344901,3826_11258
3826_288310,309500,2776500,Geometridae,Traminda aventiaria,成蟲,2013,344901,3826_11562
3826_276266,265500,2752500,Geometridae,Traminda aventiaria,幼蟲,2014,344901,3826_11054
3826_140225,224500,2480500,Geometridae,Traminda aventiaria,幼蟲,2014,344901,3826_5645
3826_271319,318500,2742500,Geometridae,Traminda aventiaria,成蟲,2014,344901,3826_10864
3826_281820,319500,2763500,Geometridae,Traminda aventiaria,成蟲,2013,344901,3826_11264
3826_212229,228500,2624500,Geometridae,Traminda aventiaria,成蟲,2014,344901,3826_8446
3826_281810,309500,2763500,Geometridae,Traminda aventiaria,成蟲,2015,344901,3826_11262
3826_198220,219500,2596500,Geometridae,Traminda aventiaria,成蟲,2014,344901,3826_7944
3826_241725,224500,2683500,Geometridae,Traminda aventiaria,幼蟲,2014,344901,3826_9645
3826_280787,286500,2761500,Geometridae,Traminda aventiaria,成蟲,2014,344901,3826_11258
3826_285781,280500,2771500,Geometridae,Traminda aventiaria,幼蟲,2014,344901,3826_11457
3826_284309,308500,2768500,Geometridae,Traminda aventiaria,幼蟲,2014,344901,3826_11362
3826_200231,230500,2600500,Geometridae,Traminda aventiaria,成蟲,2014,344901,3826_8047
3826_287787,286500,2775500,Geometridae,Traminda aventiaria,成蟲,2014,344901,3826_11558
3826_285793,292500,2771500,Geometridae,Traminda aventiaria,成蟲,2014,344901,3826_11459
3826_242226,225500,2684500,Geometridae,Traminda aventiaria,成蟲,2014,344901,3826_9646
3826_282307,306500,2764500,Geometridae,Traminda aventiaria,成蟲,2014,344901,3826_11262
3826_281810,309500,2763500,Geometridae,Traminda aventiaria,成蟲,2014,344901,3826_11262
3826_187200,199500,2574500,Geometridae,Traminda aventiaria,幼蟲,2014,344901,3826_7440
3826_224244,243500,2648500,Geometridae,Traminda aventiaria,成蟲,2014,344901,3826_8949
3826_157186,185500,2514500,Geometridae,Traminda aventiaria,成蟲,2014,344901,3826_6238
3826_287787,286500,2775500,Geometridae,Traminda aventiaria,幼蟲,2014,344901,3826_11558
3826_283807,306500,2767500,Geometridae,Traminda aventiaria,成蟲,2014,344901,3826_11362
3826_150687,186500,2501500,Geometridae,Traminda aventiaria,成蟲,2011,344901,3826_6038
3826_282792,291500,2765500,Geometridae,Traminda aventiaria,成蟲,2015,344901,3826_11359
3826_283807,306500,2767500,Geometridae,Traminda aventiaria,成蟲,2015,344901,3826_11362
3826_282307,306500,2764500,Geometridae,Traminda aventiaria,成蟲,2015,344901,3826_11262
3826_284309,308500,2768500,Geometridae,Traminda aventiaria,成蟲,2015,344901,3826_11362
3826_288803,302500,2777500,Geometridae,Traminda aventiaria,成蟲,2015,344901,3826_11561
3826_151747,246500,2503500,Geometridae,Traminda aventiaria,成蟲,2015,344901,3826_6050
3826_291802,301500,2783500,Geometridae,Traminda aventiaria,成蟲,2015,344901,3826_11661
3826_282292,291500,2764500,Geometridae,Traminda aventiaria,成蟲,2015,344901,3826_11259
3826_170217,216500,2540500,Geometridae,Traminda aventiaria,成蟲,2015,344901,3826_6844
3826_221310,309500,2642500,Geometridae,Traminda aventiaria,成蟲,2015,344901,3826_8862
3826_232753,252500,2665500,Geometridae,Traminda aventiaria,成蟲,2015,344901,3826_9351
3826_199720,219500,2599500,Geometridae,Traminda aventiaria,成蟲,2015,344901,3826_7944
3826_161762,261500,2523500,Geometridae,Traminda aventiaria,成蟲,2015,344901,3826_6453
3826_291801,300500,2783500,Geometridae,Traminda aventiaria,成蟲,2014,344901,3826_11661
3826_284810,309500,2769500,Geometridae,Traminda aventiaria,成蟲,2014,344901,3826_11362
3826_277807,306500,2755500,Geometridae,Traminda aventiaria,成蟲,2014,344901,3826_11162
3826_215255,254500,2630500,Geometridae,Traminda aventiaria,成蟲,2014,344901,3826_8651
3826_285793,292500,2771500,Geometridae,Traminda aventiaria,幼蟲,2014,344901,3826_11459
3826_153718,217500,2507500,Geometridae,Traminda aventiaria,成蟲,2014,344901,3826_6144
3826_291302,301500,2782500,Geometridae,Traminda aventiaria,幼蟲,2013,344901,3826_11661
3826_120726,225500,2441500,Geometridae,Traminda aventiaria,成蟲,2014,344901,3826_4846
3826_291300,299500,2782500,Geometridae,Traminda aventiaria,成蟲,2014,344901,3826_11660
3826_290304,303500,2780500,Geometridae,Traminda aventiaria,成蟲,2014,344901,3826_11661
3826_232753,252500,2665500,Geometridae,Traminda aventiaria,成蟲,2014,344901,3826_9351
3826_289309,308500,2778500,Geometridae,Traminda aventiaria,成蟲,2014,344901,3826_11562
3826_280805,304500,2761500,Geometridae,Traminda aventiaria,成蟲,2014,344901,3826_11261
3826_195215,214500,2590500,Geometridae,Traminda aventiaria,成蟲,2015,344901,3826_7843
3826_281301,300500,2762500,Geometridae,Traminda aventiaria,成蟲,2015,344901,3826_11261
3826_281301,300500,2762500,Geometridae,Traminda aventiaria,成蟲,2014,344901,3826_11261
3826_218733,232500,2637500,Geometridae,Traminda aventiaria,成蟲,2014,344901,3826_8747
3826_276830,329500,2753500,Geometridae,Traminda aventiaria,幼蟲,2015,344901,3826_11066
3826_285313,312500,2770500,Geometridae,Traminda aventiaria,成蟲,2015,344901,3826_11463
3826_293303,302500,2786500,Geometridae,Traminda aventiaria,成蟲,2015,344901,3826_11761
