GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_256762,261500,2713500,Erebidae,Treitschkendia subtriplex,成蟲,2010,444105,3826_10253
3826_297809,308500,2795500,Erebidae,Treitschkendia subtriplex,成蟲,2012,444105,3826_11962
3826_281820,319500,2763500,Erebidae,Treitschkendia subtriplex,成蟲,2013,444105,3826_11264
3826_264279,278500,2728500,Erebidae,Treitschkendia subtriplex,成蟲,2015,444105,3826_10556
3826_293303,302500,2786500,Erebidae,Treitschkendia subtriplex,成蟲,2015,444105,3826_11761
3826_281810,309500,2763500,Erebidae,Treitschkendia subtriplex,成蟲,2015,444105,3826_11262
3826_279306,305500,2758500,Erebidae,Treitschkendia subtriplex,成蟲,2013,444105,3826_11162
3826_293308,307500,2786500,Erebidae,Treitschkendia subtriplex,成蟲,2015,444105,3826_11762
3826_290310,309500,2780500,Erebidae,Treitschkendia subtriplex,成蟲,2015,444105,3826_11662
3826_294303,302500,2788500,Erebidae,Treitschkendia subtriplex,成蟲,2016,444105,3826_11761
3826_151747,246500,2503500,Erebidae,Treitschkendia subtriplex,成蟲,2016,444105,3826_6050
3826_290310,309500,2780500,Erebidae,Treitschkendia subtriplex,成蟲,2016,444105,3826_11662
3826_284810,309500,2769500,Erebidae,Treitschkendia subtriplex,成蟲,2016,444105,3826_11362
3826_250741,240500,2701500,Erebidae,Treitschkendia subtriplex,成蟲,2016,444105,3826_10049
3826_264279,278500,2728500,Erebidae,Treitschkendia subtriplex,成蟲,2016,444105,3826_10556
3826_273788,287500,2747500,Erebidae,Treitschkendia subtriplex,成蟲,2013,444105,3826_10958
3826_291304,303500,2782500,Erebidae,Treitschkendia subtriplex,成蟲,2014,444105,3826_11661
3826_224749,248500,2649500,Erebidae,Treitschkendia subtriplex,成蟲,2017,444105,3826_8950
3826_292805,304500,2785500,Erebidae,Treitschkendia subtriplex,成蟲,2017,444105,3826_11761
3826_265790,289500,2731500,Erebidae,Treitschkendia subtriplex,成蟲,2017,444105,3826_10658
3826_289337,336500,2778500,Erebidae,Treitschkendia subtriplex,成蟲,2014,444105,3826_11568
3826_256762,261500,2713500,Erebidae,Treitschkendia subtriplex,成蟲,2017,444105,3826_10253
3826_291303,302500,2782500,Erebidae,Treitschkendia subtriplex,成蟲,2015,444105,3826_11661
3826_242745,244500,2685500,Erebidae,Treitschkendia subtriplex,成蟲,2018,444105,3826_9749
3826_218240,239500,2636500,Erebidae,Treitschkendia subtriplex,成蟲,2018,444105,3826_8748
3826_241248,247500,2682500,Erebidae,Treitschkendia subtriplex,成蟲,2018,444105,3826_9650
3826_236747,246500,2673500,Erebidae,Treitschkendia subtriplex,成蟲,2018,444105,3826_9450
3826_224769,268500,2649500,Erebidae,Treitschkendia subtriplex,成蟲,2018,444105,3826_8954
3826_266265,264500,2732500,Erebidae,Treitschkendia subtriplex,成蟲,2018,444105,3826_10653
3826_265773,272500,2731500,Erebidae,Treitschkendia subtriplex,成蟲,2019,444105,3826_10655
3826_247731,230500,2695500,Erebidae,Treitschkendia subtriplex,成蟲,2019,444105,3826_9947
3826_266265,264500,2732500,Erebidae,Treitschkendia subtriplex,成蟲,2019,444105,3826_10653
3826_238794,293500,2677500,Erebidae,Treitschkendia subtriplex,成蟲,2019,444105,3826_9559
3826_264779,278500,2729500,Erebidae,Treitschkendia subtriplex,成蟲,2019,444105,3826_10556
3826_257745,244500,2715500,Erebidae,Treitschkendia subtriplex,成蟲,2019,444105,3826_10349
3826_159220,219500,2518500,Erebidae,Treitschkendia subtriplex,成蟲,2014,444105,3826_6344
3826_198717,216500,2597500,Erebidae,Treitschkendia subtriplex,成蟲,2019,444105,3826_7944
3826_253248,247500,2706500,Erebidae,Treitschkendia subtriplex,成蟲,2019,444105,3826_10150
3826_175222,221500,2550500,Erebidae,Treitschkendia subtriplex,成蟲,2013,444105,3826_7045
3826_269273,272500,2738500,Erebidae,Treitschkendia subtriplex,成蟲,2020,444105,3826_10755
3826_224769,268500,2649500,Erebidae,Treitschkendia subtriplex,成蟲,2020,444105,3826_8954
3826_175724,223500,2551500,Erebidae,Treitschkendia subtriplex,成蟲,2020,444105,3826_7045
3826_228264,263500,2656500,Erebidae,Treitschkendia subtriplex,成蟲,2020,444105,3826_9153
3826_291805,304500,2783500,Erebidae,Treitschkendia subtriplex,成蟲,2015,444105,3826_11661
3826_216751,250500,2633500,Erebidae,Treitschkendia subtriplex,成蟲,2015,444105,3826_8651
3826_293303,302500,2786500,Erebidae,Treitschkendia subtriplex,成蟲,2016,444105,3826_11761
3826_292305,304500,2784500,Erebidae,Treitschkendia subtriplex,成蟲,2015,444105,3826_11661
3826_289805,304500,2779500,Erebidae,Treitschkendia subtriplex,成蟲,2015,444105,3826_11561
3826_238290,289500,2676500,Erebidae,Treitschkendia subtriplex,成蟲,2021,444105,3826_9558
3826_253736,235500,2707500,Erebidae,Treitschkendia subtriplex,成蟲,2021,444105,3826_10148
3826_281810,309500,2763500,Erebidae,Treitschkendia subtriplex,成蟲,2021,444105,3826_11262
3826_291304,303500,2782500,Erebidae,Treitschkendia subtriplex,成蟲,2015,444105,3826_11661
