GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_128729,228500,2457500,Bombycidae,Trilocha varians,成蟲,2011,343983,3826_5146
3826_289303,302500,2778500,Bombycidae,Trilocha varians,成蟲,2011,343983,3826_11561
3826_237801,300500,2675500,Bombycidae,Trilocha varians,幼蟲,2012,343983,3826_9561
3826_286791,290500,2773500,Bombycidae,Trilocha varians,成蟲,2012,343983,3826_11459
3826_281810,309500,2763500,Bombycidae,Trilocha varians,成蟲,2013,343983,3826_11262
3826_272277,276500,2744500,Bombycidae,Trilocha varians,成蟲,2013,343983,3826_10856
3826_282792,291500,2765500,Bombycidae,Trilocha varians,成蟲,2013,343983,3826_11359
3826_272776,275500,2745500,Bombycidae,Trilocha varians,成蟲,2012,343983,3826_10956
3826_297301,300500,2794500,Bombycidae,Trilocha varians,成蟲,2013,343983,3826_11861
3826_280304,303500,2760500,Bombycidae,Trilocha varians,成蟲,2013,343983,3826_11261
3826_231720,219500,2663500,Bombycidae,Trilocha varians,成蟲,2014,343983,3826_9244
3826_163189,188500,2526500,Bombycidae,Trilocha varians,幼蟲,2014,343983,3826_6538
3826_236217,216500,2672500,Bombycidae,Trilocha varians,成蟲,2013,343983,3826_9444
3826_283803,302500,2767500,Bombycidae,Trilocha varians,成蟲,2013,343983,3826_11361
3826_244827,326500,2689500,Bombycidae,Trilocha varians,成蟲,2014,343983,3826_9766
3826_288825,324500,2777500,Bombycidae,Trilocha varians,成蟲,2013,343983,3826_11565
3826_280787,286500,2761500,Bombycidae,Trilocha varians,成蟲,2013,343983,3826_11258
3826_291329,328500,2782500,Bombycidae,Trilocha varians,成蟲,2013,343983,3826_11666
3826_295316,315500,2790500,Bombycidae,Trilocha varians,幼蟲,2012,343983,3826_11864
3826_281301,300500,2762500,Bombycidae,Trilocha varians,成蟲,2013,343983,3826_11261
3826_237801,300500,2675500,Bombycidae,Trilocha varians,成蟲,2014,343983,3826_9561
3826_289332,331500,2778500,Bombycidae,Trilocha varians,成蟲,2014,343983,3826_11567
3826_277748,247500,2755500,Bombycidae,Trilocha varians,幼蟲,2014,343983,3826_11150
3826_289823,322500,2779500,Bombycidae,Trilocha varians,成蟲,2014,343983,3826_11565
3826_287290,289500,2774500,Bombycidae,Trilocha varians,幼蟲,2014,343983,3826_11458
3826_283807,306500,2767500,Bombycidae,Trilocha varians,成蟲,2014,343983,3826_11362
3826_152175,174500,2504500,Bombycidae,Trilocha varians,成蟲,2014,343983,3826_6035
3826_281810,309500,2763500,Bombycidae,Trilocha varians,成蟲,2014,343983,3826_11262
3826_279288,287500,2758500,Bombycidae,Trilocha varians,幼蟲,2014,343983,3826_11158
3826_284812,311500,2769500,Bombycidae,Trilocha varians,成蟲,2014,343983,3826_11363
3826_280795,294500,2761500,Bombycidae,Trilocha varians,幼蟲,2015,343983,3826_11259
3826_291300,299500,2782500,Bombycidae,Trilocha varians,幼蟲,2015,343983,3826_11660
3826_281810,309500,2763500,Bombycidae,Trilocha varians,成蟲,2015,343983,3826_11262
3826_284301,300500,2768500,Bombycidae,Trilocha varians,成蟲,2014,343983,3826_11361
3826_278261,260500,2756500,Bombycidae,Trilocha varians,成蟲,2014,343983,3826_11153
3826_234314,313500,2668500,Bombycidae,Trilocha varians,成蟲,2014,343983,3826_9363
3826_279286,285500,2758500,Bombycidae,Trilocha varians,成蟲,2015,343983,3826_11158
