GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_263294,293500,2726500,Bombycidae,Triuncina brunnea,成蟲,2011,343984,3826_10559
3826_269312,311500,2738500,Bombycidae,Triuncina brunnea,成蟲,2011,343984,3826_10763
3826_263798,297500,2727500,Bombycidae,Triuncina brunnea,成蟲,2011,343984,3826_10560
3826_275267,266500,2750500,Bombycidae,Triuncina brunnea,成蟲,2012,343984,3826_11054
3826_273792,291500,2747500,Bombycidae,Triuncina brunnea,成蟲,2010,343984,3826_10959
3826_276808,307500,2753500,Bombycidae,Triuncina brunnea,成蟲,2012,343984,3826_11062
3826_273788,287500,2747500,Bombycidae,Triuncina brunnea,成蟲,2012,343984,3826_10958
3826_261256,255500,2722500,Bombycidae,Triuncina brunnea,成蟲,2012,343984,3826_10452
3826_280304,303500,2760500,Bombycidae,Triuncina brunnea,成蟲,2012,343984,3826_11261
3826_273788,287500,2747500,Bombycidae,Triuncina brunnea,成蟲,2013,343984,3826_10958
3826_280787,286500,2761500,Bombycidae,Triuncina brunnea,成蟲,2013,343984,3826_11258
3826_279306,305500,2758500,Bombycidae,Triuncina brunnea,成蟲,2013,343984,3826_11162
3826_263798,297500,2727500,Bombycidae,Triuncina brunnea,成蟲,2013,343984,3826_10560
3826_269811,310500,2739500,Bombycidae,Triuncina brunnea,成蟲,2013,343984,3826_10763
3826_266771,270500,2733500,Bombycidae,Triuncina brunnea,成蟲,2013,343984,3826_10655
3826_272276,275500,2744500,Bombycidae,Triuncina brunnea,成蟲,2013,343984,3826_10856
3826_268267,266500,2736500,Bombycidae,Triuncina brunnea,成蟲,2012,343984,3826_10754
3826_239300,299500,2678500,Bombycidae,Triuncina brunnea,成蟲,2013,343984,3826_9560
3826_268276,275500,2736500,Bombycidae,Triuncina brunnea,成蟲,2014,343984,3826_10756
3826_139724,223500,2479500,Bombycidae,Triuncina brunnea,成蟲,2014,343984,3826_5545
3826_256234,233500,2712500,Bombycidae,Triuncina brunnea,成蟲,2014,343984,3826_10247
3826_227258,257500,2654500,Bombycidae,Triuncina brunnea,成蟲,2014,343984,3826_9052
3826_281309,308500,2762500,Bombycidae,Triuncina brunnea,成蟲,2014,343984,3826_11262
3826_239300,299500,2678500,Bombycidae,Triuncina brunnea,成蟲,2014,343984,3826_9560
3826_241248,247500,2682500,Bombycidae,Triuncina brunnea,成蟲,2012,343984,3826_9650
3826_237800,299500,2675500,Bombycidae,Triuncina brunnea,成蟲,2014,343984,3826_9560
3826_263798,297500,2727500,Bombycidae,Triuncina brunnea,成蟲,2014,343984,3826_10560
3826_238794,293500,2677500,Bombycidae,Triuncina brunnea,成蟲,2014,343984,3826_9559
3826_229767,266500,2659500,Bombycidae,Triuncina brunnea,成蟲,2014,343984,3826_9154
3826_222805,304500,2645500,Bombycidae,Triuncina brunnea,成蟲,2014,343984,3826_8961
3826_170217,216500,2540500,Bombycidae,Triuncina brunnea,成蟲,2015,343984,3826_6844
3826_264283,282500,2728500,Bombycidae,Triuncina brunnea,成蟲,2015,343984,3826_10557
3826_264779,278500,2729500,Bombycidae,Triuncina brunnea,成蟲,2014,343984,3826_10556
3826_255762,261500,2711500,Bombycidae,Triuncina brunnea,成蟲,2014,343984,3826_10253
3826_239253,252500,2678500,Bombycidae,Triuncina brunnea,成蟲,2014,343984,3826_9551
3826_202243,242500,2604500,Bombycidae,Triuncina brunnea,成蟲,2014,343984,3826_8049
3826_270777,276500,2741500,Bombycidae,Triuncina brunnea,成蟲,2014,343984,3826_10856
3826_232753,252500,2665500,Bombycidae,Triuncina brunnea,成蟲,2014,343984,3826_9351
3826_140225,224500,2480500,Bombycidae,Triuncina brunnea,成蟲,2014,343984,3826_5645
3826_195215,214500,2590500,Bombycidae,Triuncina brunnea,成蟲,2015,343984,3826_7843
