GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_263798,297500,2727500,Geometridae,Tyloptera bella ogatai,成蟲,2011,345349,3826_10560
3826_198726,225500,2597500,Geometridae,Tyloptera bella ogatai,成蟲,2012,345349,3826_7946
3826_267778,277500,2735500,Geometridae,Tyloptera bella ogatai,成蟲,2013,345349,3826_10756
3826_175725,224500,2551500,Geometridae,Tyloptera bella ogatai,成蟲,2013,345349,3826_7045
3826_264779,278500,2729500,Geometridae,Tyloptera bella ogatai,成蟲,2013,345349,3826_10556
3826_264279,278500,2728500,Geometridae,Tyloptera bella ogatai,成蟲,2014,345349,3826_10556
3826_175725,224500,2551500,Geometridae,Tyloptera bella ogatai,成蟲,2014,345349,3826_7045
3826_225806,305500,2651500,Geometridae,Tyloptera bella ogatai,成蟲,2014,345349,3826_9062
3826_238794,293500,2677500,Geometridae,Tyloptera bella ogatai,成蟲,2014,345349,3826_9559
3826_188240,239500,2576500,Geometridae,Tyloptera bella ogatai,成蟲,2015,345349,3826_7548
3826_264279,278500,2728500,Geometridae,Tyloptera bella ogatai,成蟲,2015,345349,3826_10556
3826_259791,290500,2719500,Geometridae,Tyloptera bella ogatai,成蟲,2015,345349,3826_10359
3826_232268,267500,2664500,Geometridae,Tyloptera bella ogatai,成蟲,2014,345349,3826_9254
3826_263798,297500,2727500,Geometridae,Tyloptera bella ogatai,成蟲,2014,345349,3826_10560
3826_264779,278500,2729500,Geometridae,Tyloptera bella ogatai,成蟲,2015,345349,3826_10556
3826_255762,261500,2711500,Geometridae,Tyloptera bella ogatai,成蟲,2012,345349,3826_10253
3826_239300,299500,2678500,Geometridae,Tyloptera bella ogatai,成蟲,2015,345349,3826_9560
3826_234314,313500,2668500,Geometridae,Tyloptera bella ogatai,成蟲,2015,345349,3826_9363
3826_225806,305500,2651500,Geometridae,Tyloptera bella ogatai,成蟲,2016,345349,3826_9062
3826_269811,310500,2739500,Geometridae,Tyloptera bella ogatai,成蟲,2016,345349,3826_10763
3826_273796,295500,2747500,Geometridae,Tyloptera bella ogatai,成蟲,2016,345349,3826_10960
3826_151747,246500,2503500,Geometridae,Tyloptera bella ogatai,成蟲,2016,345349,3826_6050
3826_263798,297500,2727500,Geometridae,Tyloptera bella ogatai,成蟲,2016,345349,3826_10560
3826_263297,296500,2726500,Geometridae,Tyloptera bella ogatai,成蟲,2016,345349,3826_10560
3826_227760,259500,2655500,Geometridae,Tyloptera bella ogatai,成蟲,2016,345349,3826_9152
3826_224769,268500,2649500,Geometridae,Tyloptera bella ogatai,成蟲,2016,345349,3826_8954
3826_259784,283500,2719500,Geometridae,Tyloptera bella ogatai,成蟲,2016,345349,3826_10357
3826_269278,277500,2738500,Geometridae,Tyloptera bella ogatai,成蟲,2016,345349,3826_10756
3826_175223,222500,2550500,Geometridae,Tyloptera bella ogatai,成蟲,2016,345349,3826_7045
3826_242745,244500,2685500,Geometridae,Tyloptera bella ogatai,成蟲,2013,345349,3826_9749
3826_197241,240500,2594500,Geometridae,Tyloptera bella ogatai,成蟲,2016,345349,3826_7849
3826_175222,221500,2550500,Geometridae,Tyloptera bella ogatai,成蟲,2014,345349,3826_7045
3826_227759,258500,2655500,Geometridae,Tyloptera bella ogatai,成蟲,2017,345349,3826_9152
3826_261280,279500,2722500,Geometridae,Tyloptera bella ogatai,成蟲,2017,345349,3826_10456
3826_267278,277500,2734500,Geometridae,Tyloptera bella ogatai,成蟲,2017,345349,3826_10656
3826_175222,221500,2550500,Geometridae,Tyloptera bella ogatai,成蟲,2017,345349,3826_7045
3826_207230,229500,2614500,Geometridae,Tyloptera bella ogatai,成蟲,2017,345349,3826_8246
3826_175724,223500,2551500,Geometridae,Tyloptera bella ogatai,成蟲,2015,345349,3826_7045
3826_154218,217500,2508500,Geometridae,Tyloptera bella ogatai,成蟲,2018,345349,3826_6144
3826_157226,225500,2514500,Geometridae,Tyloptera bella ogatai,成蟲,2018,345349,3826_6246
3826_207230,229500,2614500,Geometridae,Tyloptera bella ogatai,成蟲,2018,345349,3826_8246
3826_233270,269500,2666500,Geometridae,Tyloptera bella ogatai,成蟲,2011,345349,3826_9354
