GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_204726,225500,2609500,Crambidae,Tyspanodes striata,成蟲,2012,344406,3826_8146
3826_273788,287500,2747500,Crambidae,Tyspanodes striata,成蟲,2012,344406,3826_10958
3826_272776,275500,2745500,Crambidae,Tyspanodes striata,成蟲,2012,344406,3826_10956
3826_228263,262500,2656500,Crambidae,Tyspanodes striata,成蟲,2013,344406,3826_9153
3826_264279,278500,2728500,Crambidae,Tyspanodes striata,成蟲,2014,344406,3826_10556
3826_263798,297500,2727500,Crambidae,Tyspanodes striata,成蟲,2014,344406,3826_10560
3826_225263,262500,2650500,Crambidae,Tyspanodes striata,成蟲,2015,344406,3826_9053
3826_239300,299500,2678500,Crambidae,Tyspanodes striata,成蟲,2015,344406,3826_9560
3826_261779,278500,2723500,Crambidae,Tyspanodes striata,成蟲,2012,344406,3826_10456
3826_259800,299500,2719500,Crambidae,Tyspanodes striata,成蟲,2016,344406,3826_10360
3826_269276,275500,2738500,Crambidae,Tyspanodes striata,成蟲,2013,344406,3826_10756
3826_259800,299500,2719500,Crambidae,Tyspanodes striata,成蟲,2012,344406,3826_10360
3826_175724,223500,2551500,Crambidae,Tyspanodes striata,成蟲,2016,344406,3826_7045
3826_195213,212500,2590500,Crambidae,Tyspanodes striata,成蟲,2016,344406,3826_7843
3826_263798,297500,2727500,Crambidae,Tyspanodes striata,成蟲,2016,344406,3826_10560
3826_264279,278500,2728500,Crambidae,Tyspanodes striata,成蟲,2016,344406,3826_10556
3826_231268,267500,2662500,Crambidae,Tyspanodes striata,成蟲,2016,344406,3826_9254
3826_185749,248500,2571500,Crambidae,Tyspanodes striata,成蟲,2016,344406,3826_7450
3826_242745,244500,2685500,Crambidae,Tyspanodes striata,成蟲,2013,344406,3826_9749
3826_238794,293500,2677500,Crambidae,Tyspanodes striata,成蟲,2014,344406,3826_9559
3826_237303,302500,2674500,Crambidae,Tyspanodes striata,成蟲,2016,344406,3826_9461
3826_261280,279500,2722500,Crambidae,Tyspanodes striata,成蟲,2017,344406,3826_10456
3826_199233,232500,2598500,Crambidae,Tyspanodes striata,成蟲,2017,344406,3826_7947
3826_259800,299500,2719500,Crambidae,Tyspanodes striata,成蟲,2017,344406,3826_10360
3826_264779,278500,2729500,Crambidae,Tyspanodes striata,成蟲,2017,344406,3826_10556
3826_237309,308500,2674500,Crambidae,Tyspanodes striata,成蟲,2017,344406,3826_9462
3826_256760,259500,2713500,Crambidae,Tyspanodes striata,成蟲,2017,344406,3826_10252
