GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_122730,229500,2445500,Nolidae,Westermannia elliptica elliptica,成蟲,2011,346938,3826_4946
3826_291804,303500,2783500,Nolidae,Westermannia elliptica elliptica,成蟲,2011,346938,3826_11661
3826_269312,311500,2738500,Nolidae,Westermannia elliptica elliptica,成蟲,2011,346938,3826_10763
3826_166722,221500,2533500,Nolidae,Westermannia elliptica elliptica,成蟲,2011,346938,3826_6645
3826_122237,236500,2444500,Nolidae,Westermannia elliptica elliptica,成蟲,2012,346938,3826_4848
3826_290827,326500,2781500,Nolidae,Westermannia elliptica elliptica,成蟲,2012,346938,3826_11666
3826_283326,325500,2766500,Nolidae,Westermannia elliptica elliptica,成蟲,2012,346938,3826_11366
3826_276808,307500,2753500,Nolidae,Westermannia elliptica elliptica,成蟲,2012,346938,3826_11062
3826_237801,300500,2675500,Nolidae,Westermannia elliptica elliptica,成蟲,2012,346938,3826_9561
3826_279306,305500,2758500,Nolidae,Westermannia elliptica elliptica,成蟲,2012,346938,3826_11162
3826_273788,287500,2747500,Nolidae,Westermannia elliptica elliptica,成蟲,2012,346938,3826_10958
3826_281309,308500,2762500,Nolidae,Westermannia elliptica elliptica,成蟲,2013,346938,3826_11262
3826_282806,305500,2765500,Nolidae,Westermannia elliptica elliptica,成蟲,2013,346938,3826_11362
3826_279306,305500,2758500,Nolidae,Westermannia elliptica elliptica,成蟲,2013,346938,3826_11162
3826_188716,215500,2577500,Nolidae,Westermannia elliptica elliptica,成蟲,2013,346938,3826_7544
3826_282792,291500,2765500,Nolidae,Westermannia elliptica elliptica,成蟲,2013,346938,3826_11359
3826_269312,311500,2738500,Nolidae,Westermannia elliptica elliptica,成蟲,2013,346938,3826_10763
3826_150219,218500,2500500,Nolidae,Westermannia elliptica elliptica,成蟲,2013,346938,3826_6044
3826_269811,310500,2739500,Nolidae,Westermannia elliptica elliptica,成蟲,2013,346938,3826_10763
3826_275267,266500,2750500,Nolidae,Westermannia elliptica elliptica,成蟲,2013,346938,3826_11054
3826_274307,306500,2748500,Nolidae,Westermannia elliptica elliptica,成蟲,2013,346938,3826_10962
3826_259800,299500,2719500,Nolidae,Westermannia elliptica elliptica,成蟲,2013,346938,3826_10360
3826_265292,291500,2730500,Nolidae,Westermannia elliptica elliptica,成蟲,2013,346938,3826_10659
3826_264779,278500,2729500,Nolidae,Westermannia elliptica elliptica,成蟲,2013,346938,3826_10556
3826_187200,199500,2574500,Nolidae,Westermannia elliptica elliptica,成蟲,2014,346938,3826_7440
3826_277800,299500,2755500,Nolidae,Westermannia elliptica elliptica,成蟲,2014,346938,3826_11160
3826_272780,279500,2745500,Nolidae,Westermannia elliptica elliptica,成蟲,2014,346938,3826_10956
3826_273279,278500,2746500,Nolidae,Westermannia elliptica elliptica,成蟲,2014,346938,3826_10956
3826_269315,314500,2738500,Nolidae,Westermannia elliptica elliptica,成蟲,2014,346938,3826_10763
3826_220810,309500,2641500,Nolidae,Westermannia elliptica elliptica,成蟲,2014,346938,3826_8862
3826_139724,223500,2479500,Nolidae,Westermannia elliptica elliptica,成蟲,2014,346938,3826_5545
