GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_291329,328500,2782500,Noctuidae,Xanthodes transversa,幼蟲,2011,346818,3826_11666
3826_269265,264500,2738500,Noctuidae,Xanthodes transversa,幼蟲,2012,346818,3826_10753
3826_281310,309500,2762500,Noctuidae,Xanthodes transversa,幼蟲,2012,346818,3826_11262
3826_236246,245500,2672500,Noctuidae,Xanthodes transversa,幼蟲,2012,346818,3826_9450
3826_170204,203500,2540500,Noctuidae,Xanthodes transversa,幼蟲,2012,346818,3826_6841
3826_281312,311500,2762500,Noctuidae,Xanthodes transversa,幼蟲,2012,346818,3826_11263
3826_273779,278500,2747500,Noctuidae,Xanthodes transversa,幼蟲,2012,346818,3826_10956
3826_290294,293500,2780500,Noctuidae,Xanthodes transversa,幼蟲,2012,346818,3826_11659
3826_297809,308500,2795500,Noctuidae,Xanthodes transversa,幼蟲,2012,346818,3826_11962
3826_274305,304500,2748500,Noctuidae,Xanthodes transversa,幼蟲,2012,346818,3826_10961
3826_282308,307500,2764500,Noctuidae,Xanthodes transversa,幼蟲,2012,346818,3826_11262
3826_148712,211500,2497500,Noctuidae,Xanthodes transversa,幼蟲,2012,346818,3826_5943
3826_291302,301500,2782500,Noctuidae,Xanthodes transversa,幼蟲,2012,346818,3826_11661
3826_173684,183500,2547500,Noctuidae,Xanthodes transversa,幼蟲,2013,346818,3826_6937
3826_289309,308500,2778500,Noctuidae,Xanthodes transversa,成蟲,2013,346818,3826_11562
3826_266265,264500,2732500,Noctuidae,Xanthodes transversa,成蟲,2012,346818,3826_10653
3826_290329,328500,2780500,Noctuidae,Xanthodes transversa,幼蟲,2013,346818,3826_11666
3826_157186,185500,2514500,Noctuidae,Xanthodes transversa,幼蟲,2013,346818,3826_6238
3826_239224,223500,2678500,Noctuidae,Xanthodes transversa,幼蟲,2013,346818,3826_9545
3826_139724,223500,2479500,Noctuidae,Xanthodes transversa,幼蟲,2014,346818,3826_5545
3826_287813,312500,2775500,Noctuidae,Xanthodes transversa,成蟲,2012,346818,3826_11563
3826_276768,267500,2753500,Noctuidae,Xanthodes transversa,幼蟲,2014,346818,3826_11054
3826_281309,308500,2762500,Noctuidae,Xanthodes transversa,幼蟲,2013,346818,3826_11262
3826_289309,308500,2778500,Noctuidae,Xanthodes transversa,幼蟲,2014,346818,3826_11562
3826_281309,308500,2762500,Noctuidae,Xanthodes transversa,幼蟲,2014,346818,3826_11262
3826_283808,307500,2767500,Noctuidae,Xanthodes transversa,幼蟲,2014,346818,3826_11362
3826_288324,323500,2776500,Noctuidae,Xanthodes transversa,幼蟲,2014,346818,3826_11565
3826_228746,245500,2657500,Noctuidae,Xanthodes transversa,幼蟲,2014,346818,3826_9150
3826_227227,226500,2654500,Noctuidae,Xanthodes transversa,幼蟲,2014,346818,3826_9046
3826_281301,300500,2762500,Noctuidae,Xanthodes transversa,成蟲,2014,346818,3826_11261
3826_291802,301500,2783500,Noctuidae,Xanthodes transversa,成蟲,2015,346818,3826_11661
3826_266265,264500,2732500,Noctuidae,Xanthodes transversa,幼蟲,2015,346818,3826_10653
3826_291302,301500,2782500,Noctuidae,Xanthodes transversa,幼蟲,2013,346818,3826_11661
3826_287813,312500,2775500,Noctuidae,Xanthodes transversa,成蟲,2014,346818,3826_11563
3826_283783,282500,2767500,Noctuidae,Xanthodes transversa,幼蟲,2015,346818,3826_11357
3826_290805,304500,2781500,Noctuidae,Xanthodes transversa,成蟲,2015,346818,3826_11661
3826_291801,300500,2783500,Noctuidae,Xanthodes transversa,幼蟲,2012,346818,3826_11661
3826_199206,205500,2598500,Noctuidae,Xanthodes transversa,幼蟲,2015,346818,3826_7942
3826_281309,308500,2762500,Noctuidae,Xanthodes transversa,蛹,2012,346818,3826_11262
3826_281309,308500,2762500,Noctuidae,Xanthodes transversa,幼蟲,2012,346818,3826_11262
3826_166722,221500,2533500,Noctuidae,Xanthodes transversa,幼蟲,2012,346818,3826_6645
3826_282317,316500,2764500,Noctuidae,Xanthodes transversa,幼蟲,2012,346818,3826_11264
3826_272273,272500,2744500,Noctuidae,Xanthodes transversa,幼蟲,2016,346818,3826_10855
3826_176700,199500,2553500,Noctuidae,Xanthodes transversa,幼蟲,2016,346818,3826_7040
3826_287810,309500,2775500,Noctuidae,Xanthodes transversa,成蟲,2016,346818,3826_11562
3826_282800,299500,2765500,Noctuidae,Xanthodes transversa,幼蟲,2016,346818,3826_11360
3826_292293,292500,2784500,Noctuidae,Xanthodes transversa,成蟲,2016,346818,3826_11659
3826_284810,309500,2769500,Noctuidae,Xanthodes transversa,幼蟲,2016,346818,3826_11362
3826_268762,261500,2737500,Noctuidae,Xanthodes transversa,幼蟲,2016,346818,3826_10753
3826_281810,309500,2763500,Noctuidae,Xanthodes transversa,成蟲,2016,346818,3826_11262
3826_279316,315500,2758500,Noctuidae,Xanthodes transversa,幼蟲,2016,346818,3826_11164
3826_281309,308500,2762500,Noctuidae,Xanthodes transversa,成蟲,2014,346818,3826_11262
3826_291802,301500,2783500,Noctuidae,Xanthodes transversa,幼蟲,2014,346818,3826_11661
3826_269280,279500,2738500,Noctuidae,Xanthodes transversa,幼蟲,2017,346818,3826_10756
3826_230726,225500,2661500,Noctuidae,Xanthodes transversa,成蟲,2017,346818,3826_9246
3826_281309,308500,2762500,Noctuidae,Xanthodes transversa,成蟲,2017,346818,3826_11262
3826_275782,281500,2751500,Noctuidae,Xanthodes transversa,幼蟲,2017,346818,3826_11057
3826_176700,199500,2553500,Noctuidae,Xanthodes transversa,幼蟲,2017,346818,3826_7040
3826_230726,225500,2661500,Noctuidae,Xanthodes transversa,幼蟲,2017,346818,3826_9246
3826_273796,295500,2747500,Noctuidae,Xanthodes transversa,幼蟲,2017,346818,3826_10960
3826_238229,228500,2676500,Noctuidae,Xanthodes transversa,幼蟲,2015,346818,3826_9546
3826_271765,264500,2743500,Noctuidae,Xanthodes transversa,幼蟲,2017,346818,3826_10853
3826_291297,296500,2782500,Noctuidae,Xanthodes transversa,成蟲,2017,346818,3826_11660
3826_280805,304500,2761500,Noctuidae,Xanthodes transversa,幼蟲,2017,346818,3826_11261
3826_237230,229500,2674500,Noctuidae,Xanthodes transversa,幼蟲,2017,346818,3826_9446
3826_290309,308500,2780500,Noctuidae,Xanthodes transversa,幼蟲,2017,346818,3826_11662
3826_275767,266500,2751500,Noctuidae,Xanthodes transversa,成蟲,2017,346818,3826_11054
3826_285304,303500,2770500,Noctuidae,Xanthodes transversa,幼蟲,2018,346818,3826_11461
3826_269273,272500,2738500,Noctuidae,Xanthodes transversa,成蟲,2018,346818,3826_10755
3826_187200,199500,2574500,Noctuidae,Xanthodes transversa,幼蟲,2015,346818,3826_7440
3826_194707,206500,2589500,Noctuidae,Xanthodes transversa,幼蟲,2018,346818,3826_7742
3826_271249,248500,2742500,Noctuidae,Xanthodes transversa,幼蟲,2018,346818,3826_10850
3826_263252,251500,2726500,Noctuidae,Xanthodes transversa,幼蟲,2018,346818,3826_10551
3826_281813,312500,2763500,Noctuidae,Xanthodes transversa,成蟲,2018,346818,3826_11263
3826_222739,238500,2645500,Noctuidae,Xanthodes transversa,幼蟲,2018,346818,3826_8948
3826_281274,273500,2762500,Noctuidae,Xanthodes transversa,成蟲,2018,346818,3826_11255
3826_269279,278500,2738500,Noctuidae,Xanthodes transversa,成蟲,2018,346818,3826_10756
3826_291822,321500,2783500,Noctuidae,Xanthodes transversa,幼蟲,2018,346818,3826_11665
3826_280787,286500,2761500,Noctuidae,Xanthodes transversa,幼蟲,2018,346818,3826_11258
3826_291306,305500,2782500,Noctuidae,Xanthodes transversa,幼蟲,2018,346818,3826_11662
3826_288306,305500,2776500,Noctuidae,Xanthodes transversa,幼蟲,2018,346818,3826_11562
3826_295304,303500,2790500,Noctuidae,Xanthodes transversa,成蟲,2011,346818,3826_11861
3826_287813,312500,2775500,Noctuidae,Xanthodes transversa,成蟲,2019,346818,3826_11563
3826_154218,217500,2508500,Noctuidae,Xanthodes transversa,成蟲,2013,346818,3826_6144
3826_154218,217500,2508500,Noctuidae,Xanthodes transversa,幼蟲,2013,346818,3826_6144
3826_268785,284500,2737500,Noctuidae,Xanthodes transversa,幼蟲,2019,346818,3826_10757
3826_222739,238500,2645500,Noctuidae,Xanthodes transversa,幼蟲,2019,346818,3826_8948
3826_237248,247500,2674500,Noctuidae,Xanthodes transversa,幼蟲,2019,346818,3826_9450
3826_271249,248500,2742500,Noctuidae,Xanthodes transversa,幼蟲,2019,346818,3826_10850
3826_114731,230500,2429500,Noctuidae,Xanthodes transversa,幼蟲,2019,346818,3826_4547
3826_287812,311500,2775500,Noctuidae,Xanthodes transversa,成蟲,2019,346818,3826_11563
3826_256737,236500,2713500,Noctuidae,Xanthodes transversa,成蟲,2019,346818,3826_10248
3826_283807,306500,2767500,Noctuidae,Xanthodes transversa,成蟲,2015,346818,3826_11362
3826_273278,277500,2746500,Noctuidae,Xanthodes transversa,幼蟲,2019,346818,3826_10956
3826_224213,212500,2648500,Noctuidae,Xanthodes transversa,幼蟲,2019,346818,3826_8943
3826_284785,284500,2769500,Noctuidae,Xanthodes transversa,幼蟲,2019,346818,3826_11357
3826_255226,225500,2710500,Noctuidae,Xanthodes transversa,幼蟲,2020,346818,3826_10246
3826_222212,211500,2644500,Noctuidae,Xanthodes transversa,幼蟲,2019,346818,3826_8843
3826_271249,248500,2742500,Noctuidae,Xanthodes transversa,幼蟲,2020,346818,3826_10850
3826_168208,207500,2536500,Noctuidae,Xanthodes transversa,幼蟲,2020,346818,3826_6742
3826_168218,217500,2536500,Noctuidae,Xanthodes transversa,幼蟲,2013,346818,3826_6744
3826_285313,312500,2770500,Noctuidae,Xanthodes transversa,幼蟲,2020,346818,3826_11463
3826_260255,254500,2720500,Noctuidae,Xanthodes transversa,幼蟲,2020,346818,3826_10451
3826_291802,301500,2783500,Noctuidae,Xanthodes transversa,幼蟲,2021,346818,3826_11661
3826_291307,306500,2782500,Noctuidae,Xanthodes transversa,幼蟲,2020,346818,3826_11662
3826_289317,316500,2778500,Noctuidae,Xanthodes transversa,幼蟲,2021,346818,3826_11564
3826_273788,287500,2747500,Noctuidae,Xanthodes transversa,成蟲,2020,346818,3826_10958
3826_236234,233500,2672500,Noctuidae,Xanthodes transversa,成蟲,2020,346818,3826_9447
3826_238230,229500,2676500,Noctuidae,Xanthodes transversa,幼蟲,2020,346818,3826_9546
3826_289309,308500,2778500,Noctuidae,Xanthodes transversa,成蟲,2021,346818,3826_11562
3826_235232,231500,2670500,Noctuidae,Xanthodes transversa,成蟲,2021,346818,3826_9447
3826_285830,329500,2771500,Noctuidae,Xanthodes transversa,幼蟲,2021,346818,3826_11466
3826_274782,281500,2749500,Noctuidae,Xanthodes transversa,幼蟲,2021,346818,3826_10957
3826_248231,230500,2696500,Noctuidae,Xanthodes transversa,幼蟲,2021,346818,3826_9947
3826_250726,225500,2701500,Noctuidae,Xanthodes transversa,幼蟲,2021,346818,3826_10046
3826_260242,241500,2720500,Noctuidae,Xanthodes transversa,幼蟲,2021,346818,3826_10449
