GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_242745,244500,2685500,Geometridae,Xenoplia trivialis,成蟲,2011,345362,3826_9749
3826_219244,243500,2638500,Geometridae,Xenoplia trivialis,成蟲,2012,345362,3826_8749
3826_204726,225500,2609500,Geometridae,Xenoplia trivialis,成蟲,2012,345362,3826_8146
3826_200229,228500,2600500,Geometridae,Xenoplia trivialis,成蟲,2012,345362,3826_8046
3826_273788,287500,2747500,Geometridae,Xenoplia trivialis,成蟲,2012,345362,3826_10958
3826_272277,276500,2744500,Geometridae,Xenoplia trivialis,成蟲,2012,345362,3826_10856
3826_225732,231500,2651500,Geometridae,Xenoplia trivialis,成蟲,2012,345362,3826_9047
3826_175725,224500,2551500,Geometridae,Xenoplia trivialis,成蟲,2013,345362,3826_7045
3826_255762,261500,2711500,Geometridae,Xenoplia trivialis,成蟲,2012,345362,3826_10253
3826_267778,277500,2735500,Geometridae,Xenoplia trivialis,成蟲,2013,345362,3826_10756
3826_186222,221500,2572500,Geometridae,Xenoplia trivialis,成蟲,2013,345362,3826_7445
3826_264279,278500,2728500,Geometridae,Xenoplia trivialis,成蟲,2014,345362,3826_10556
3826_236217,216500,2672500,Geometridae,Xenoplia trivialis,成蟲,2013,345362,3826_9444
3826_187200,199500,2574500,Geometridae,Xenoplia trivialis,成蟲,2014,345362,3826_7440
3826_200230,229500,2600500,Geometridae,Xenoplia trivialis,成蟲,2014,345362,3826_8046
3826_255762,261500,2711500,Geometridae,Xenoplia trivialis,成蟲,2014,345362,3826_10253
3826_241248,247500,2682500,Geometridae,Xenoplia trivialis,成蟲,2012,345362,3826_9650
3826_225806,305500,2651500,Geometridae,Xenoplia trivialis,成蟲,2014,345362,3826_9062
3826_170217,216500,2540500,Geometridae,Xenoplia trivialis,成蟲,2015,345362,3826_6844
3826_175222,221500,2550500,Geometridae,Xenoplia trivialis,成蟲,2015,345362,3826_7045
3826_237248,247500,2674500,Geometridae,Xenoplia trivialis,成蟲,2015,345362,3826_9450
3826_273304,303500,2746500,Geometridae,Xenoplia trivialis,成蟲,2014,345362,3826_10961
3826_263798,297500,2727500,Geometridae,Xenoplia trivialis,成蟲,2014,345362,3826_10560
3826_241243,242500,2682500,Geometridae,Xenoplia trivialis,成蟲,2014,345362,3826_9649
3826_259800,299500,2719500,Geometridae,Xenoplia trivialis,成蟲,2014,345362,3826_10360
3826_212729,228500,2625500,Geometridae,Xenoplia trivialis,成蟲,2015,345362,3826_8546
3826_243326,325500,2686500,Geometridae,Xenoplia trivialis,成蟲,2015,345362,3826_9766
3826_207230,229500,2614500,Geometridae,Xenoplia trivialis,成蟲,2015,345362,3826_8246
3826_233270,269500,2666500,Geometridae,Xenoplia trivialis,成蟲,2012,345362,3826_9354
3826_214744,243500,2629500,Geometridae,Xenoplia trivialis,成蟲,2012,345362,3826_8549
3826_207229,228500,2614500,Geometridae,Xenoplia trivialis,成蟲,2015,345362,3826_8246
3826_209230,229500,2618500,Geometridae,Xenoplia trivialis,成蟲,2012,345362,3826_8346
3826_252226,225500,2704500,Geometridae,Xenoplia trivialis,成蟲,2016,345362,3826_10046
3826_211732,231500,2623500,Geometridae,Xenoplia trivialis,成蟲,2015,345362,3826_8447
3826_272277,276500,2744500,Geometridae,Xenoplia trivialis,成蟲,2013,345362,3826_10856
3826_269278,277500,2738500,Geometridae,Xenoplia trivialis,成蟲,2013,345362,3826_10756
3826_195715,214500,2591500,Geometridae,Xenoplia trivialis,成蟲,2013,345362,3826_7843
3826_269811,310500,2739500,Geometridae,Xenoplia trivialis,成蟲,2016,345362,3826_10763
3826_242745,244500,2685500,Geometridae,Xenoplia trivialis,成蟲,2016,345362,3826_9749
3826_264283,282500,2728500,Geometridae,Xenoplia trivialis,成蟲,2016,345362,3826_10557
3826_175724,223500,2551500,Geometridae,Xenoplia trivialis,成蟲,2016,345362,3826_7045
3826_195213,212500,2590500,Geometridae,Xenoplia trivialis,成蟲,2016,345362,3826_7843
3826_200230,229500,2600500,Geometridae,Xenoplia trivialis,成蟲,2016,345362,3826_8046
3826_274307,306500,2748500,Geometridae,Xenoplia trivialis,成蟲,2016,345362,3826_10962
3826_253242,241500,2706500,Geometridae,Xenoplia trivialis,成蟲,2016,345362,3826_10149
3826_232753,252500,2665500,Geometridae,Xenoplia trivialis,成蟲,2016,345362,3826_9351
3826_276297,296500,2752500,Geometridae,Xenoplia trivialis,成蟲,2016,345362,3826_11060
3826_269280,279500,2738500,Geometridae,Xenoplia trivialis,成蟲,2014,345362,3826_10756
3826_257746,245500,2715500,Geometridae,Xenoplia trivialis,成蟲,2013,345362,3826_10350
3826_176221,220500,2552500,Geometridae,Xenoplia trivialis,成蟲,2016,345362,3826_7045
3826_195213,212500,2590500,Geometridae,Xenoplia trivialis,成蟲,2013,345362,3826_7843
3826_267787,286500,2735500,Geometridae,Xenoplia trivialis,成蟲,2016,345362,3826_10758
3826_255762,261500,2711500,Geometridae,Xenoplia trivialis,成蟲,2013,345362,3826_10253
3826_229767,266500,2659500,Geometridae,Xenoplia trivialis,成蟲,2010,345362,3826_9154
3826_231268,267500,2662500,Geometridae,Xenoplia trivialis,成蟲,2016,345362,3826_9254
3826_226764,263500,2653500,Geometridae,Xenoplia trivialis,成蟲,2013,345362,3826_9053
3826_263260,259500,2726500,Geometridae,Xenoplia trivialis,成蟲,2016,345362,3826_10552
3826_241243,242500,2682500,Geometridae,Xenoplia trivialis,成蟲,2016,345362,3826_9649
3826_264279,278500,2728500,Geometridae,Xenoplia trivialis,成蟲,2016,345362,3826_10556
3826_265768,267500,2731500,Geometridae,Xenoplia trivialis,成蟲,2016,345362,3826_10654
3826_267279,278500,2734500,Geometridae,Xenoplia trivialis,成蟲,2016,345362,3826_10656
3826_242745,244500,2685500,Geometridae,Xenoplia trivialis,成蟲,2013,345362,3826_9749
3826_175726,225500,2551500,Geometridae,Xenoplia trivialis,成蟲,2014,345362,3826_7046
3826_180258,257500,2560500,Geometridae,Xenoplia trivialis,成蟲,2014,345362,3826_7252
3826_266265,264500,2732500,Geometridae,Xenoplia trivialis,成蟲,2016,345362,3826_10653
3826_203705,204500,2607500,Geometridae,Xenoplia trivialis,成蟲,2017,345362,3826_8141
3826_266265,264500,2732500,Geometridae,Xenoplia trivialis,成蟲,2017,345362,3826_10653
3826_242234,233500,2684500,Geometridae,Xenoplia trivialis,成蟲,2017,345362,3826_9647
3826_273786,285500,2747500,Geometridae,Xenoplia trivialis,成蟲,2016,345362,3826_10958
3826_259761,260500,2719500,Geometridae,Xenoplia trivialis,成蟲,2016,345362,3826_10353
3826_199225,224500,2598500,Geometridae,Xenoplia trivialis,成蟲,2017,345362,3826_7945
3826_194722,221500,2589500,Geometridae,Xenoplia trivialis,成蟲,2017,345362,3826_7745
3826_261280,279500,2722500,Geometridae,Xenoplia trivialis,成蟲,2017,345362,3826_10456
3826_281810,309500,2763500,Geometridae,Xenoplia trivialis,成蟲,2017,345362,3826_11262
3826_199233,232500,2598500,Geometridae,Xenoplia trivialis,成蟲,2017,345362,3826_7947
3826_275806,305500,2751500,Geometridae,Xenoplia trivialis,成蟲,2017,345362,3826_11062
3826_264279,278500,2728500,Geometridae,Xenoplia trivialis,成蟲,2017,345362,3826_10556
3826_264762,261500,2729500,Geometridae,Xenoplia trivialis,成蟲,2017,345362,3826_10553
3826_263260,259500,2726500,Geometridae,Xenoplia trivialis,成蟲,2017,345362,3826_10552
3826_267278,277500,2734500,Geometridae,Xenoplia trivialis,成蟲,2017,345362,3826_10656
3826_200230,229500,2600500,Geometridae,Xenoplia trivialis,成蟲,2017,345362,3826_8046
3826_271279,278500,2742500,Geometridae,Xenoplia trivialis,成蟲,2017,345362,3826_10856
3826_199731,230500,2599500,Geometridae,Xenoplia trivialis,成蟲,2017,345362,3826_7947
3826_228263,262500,2656500,Geometridae,Xenoplia trivialis,成蟲,2017,345362,3826_9153
3826_269276,275500,2738500,Geometridae,Xenoplia trivialis,成蟲,2017,345362,3826_10756
3826_203243,242500,2606500,Geometridae,Xenoplia trivialis,成蟲,2017,345362,3826_8149
3826_240249,248500,2680500,Geometridae,Xenoplia trivialis,成蟲,2017,345362,3826_9650
3826_266293,292500,2732500,Geometridae,Xenoplia trivialis,成蟲,2017,345362,3826_10659
3826_200231,230500,2600500,Geometridae,Xenoplia trivialis,成蟲,2017,345362,3826_8047
3826_255262,261500,2710500,Geometridae,Xenoplia trivialis,成蟲,2017,345362,3826_10253
3826_264263,262500,2728500,Geometridae,Xenoplia trivialis,成蟲,2017,345362,3826_10553
3826_281309,308500,2762500,Geometridae,Xenoplia trivialis,成蟲,2017,345362,3826_11262
3826_207230,229500,2614500,Geometridae,Xenoplia trivialis,成蟲,2017,345362,3826_8246
3826_175724,223500,2551500,Geometridae,Xenoplia trivialis,成蟲,2015,345362,3826_7045
3826_242745,244500,2685500,Geometridae,Xenoplia trivialis,成蟲,2017,345362,3826_9749
3826_219741,240500,2639500,Geometridae,Xenoplia trivialis,成蟲,2018,345362,3826_8749
3826_207230,229500,2614500,Geometridae,Xenoplia trivialis,成蟲,2018,345362,3826_8246
3826_219234,233500,2638500,Geometridae,Xenoplia trivialis,成蟲,2017,345362,3826_8747
3826_224749,248500,2649500,Geometridae,Xenoplia trivialis,成蟲,2018,345362,3826_8950
3826_242745,244500,2685500,Geometridae,Xenoplia trivialis,成蟲,2018,345362,3826_9749
3826_197218,217500,2594500,Geometridae,Xenoplia trivialis,成蟲,2018,345362,3826_7844
3826_225263,262500,2650500,Geometridae,Xenoplia trivialis,成蟲,2018,345362,3826_9053
3826_255262,261500,2710500,Geometridae,Xenoplia trivialis,成蟲,2018,345362,3826_10253
3826_196718,217500,2593500,Geometridae,Xenoplia trivialis,成蟲,2018,345362,3826_7844
3826_187200,199500,2574500,Geometridae,Xenoplia trivialis,成蟲,2010,345362,3826_7440
3826_241751,250500,2683500,Geometridae,Xenoplia trivialis,成蟲,2018,345362,3826_9651
3826_240741,240500,2681500,Geometridae,Xenoplia trivialis,成蟲,2018,345362,3826_9649
3826_232241,240500,2664500,Geometridae,Xenoplia trivialis,成蟲,2018,345362,3826_9249
3826_214744,243500,2629500,Geometridae,Xenoplia trivialis,成蟲,2018,345362,3826_8549
3826_241751,250500,2683500,Geometridae,Xenoplia trivialis,成蟲,2014,345362,3826_9651
3826_257253,252500,2714500,Geometridae,Xenoplia trivialis,成蟲,2018,345362,3826_10251
