GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_263297,296500,2726500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2011,346820,3826_10560
3826_283326,325500,2766500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2012,346820,3826_11366
3826_273788,287500,2747500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2013,346820,3826_10958
3826_269280,279500,2738500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2013,346820,3826_10756
3826_282820,319500,2765500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2013,346820,3826_11364
3826_209230,229500,2618500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2013,346820,3826_8346
3826_280316,315500,2760500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2014,346820,3826_11264
3826_153718,217500,2507500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2014,346820,3826_6144
3826_264279,278500,2728500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2014,346820,3826_10556
3826_264279,278500,2728500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2015,346820,3826_10556
3826_273788,287500,2747500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2012,346820,3826_10958
3826_278825,324500,2757500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2011,346820,3826_11165
3826_293308,307500,2786500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2016,346820,3826_11762
3826_268778,277500,2737500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2016,346820,3826_10756
3826_229248,247500,2658500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2016,346820,3826_9150
3826_239300,299500,2678500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2016,346820,3826_9560
3826_293303,302500,2786500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2016,346820,3826_11761
3826_259784,283500,2719500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2016,346820,3826_10357
3826_225801,300500,2651500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2017,346820,3826_9061
3826_199233,232500,2598500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2017,346820,3826_7947
3826_293308,307500,2786500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2017,346820,3826_11762
3826_265782,281500,2731500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2017,346820,3826_10657
3826_281810,309500,2763500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2016,346820,3826_11262
3826_277327,326500,2754500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2017,346820,3826_11066
3826_267278,277500,2734500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2017,346820,3826_10656
3826_263798,297500,2727500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2017,346820,3826_10560
3826_158223,222500,2516500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2015,346820,3826_6345
3826_274307,306500,2748500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2018,346820,3826_10962
3826_269811,310500,2739500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2018,346820,3826_10763
3826_293303,302500,2786500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2018,346820,3826_11761
3826_293308,307500,2786500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2018,346820,3826_11762
3826_269761,260500,2739500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2019,346820,3826_10753
3826_182206,205500,2564500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2014,346820,3826_7242
3826_154218,217500,2508500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2013,346820,3826_6144
3826_265773,272500,2731500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2019,346820,3826_10655
3826_255743,242500,2711500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2018,346820,3826_10249
3826_280320,319500,2760500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2019,346820,3826_11264
3826_236809,308500,2673500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2011,346820,3826_9462
3826_293308,307500,2786500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2019,346820,3826_11762
3826_263798,297500,2727500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2019,346820,3826_10560
3826_255743,242500,2711500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2019,346820,3826_10249
3826_257745,244500,2715500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2019,346820,3826_10349
3826_289805,304500,2779500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2013,346820,3826_11561
3826_207230,229500,2614500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2017,346820,3826_8246
3826_209230,229500,2618500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2019,346820,3826_8346
3826_269811,310500,2739500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2019,346820,3826_10763
3826_200230,229500,2600500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2020,346820,3826_8046
3826_273788,287500,2747500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2020,346820,3826_10958
3826_269765,264500,2739500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2020,346820,3826_10753
3826_269273,272500,2738500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2021,346820,3826_10755
3826_238290,289500,2676500,Noctuidae,Xenotrachea albidisca pseudodisca,幼蟲,2021,346820,3826_9558
3826_263798,297500,2727500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2022,346820,3826_10560
3826_153718,217500,2507500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2022,346820,3826_6144
3826_269273,272500,2738500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2022,346820,3826_10755
3826_263294,293500,2726500,Noctuidae,Xenotrachea albidisca pseudodisca,成蟲,2022,346820,3826_10559
