GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_291802,301500,2783500,Geometridae,Xerodes albonotaria aritai,成蟲,2012,421588,3826_11661
3826_255762,261500,2711500,Geometridae,Xerodes albonotaria aritai,成蟲,2013,421588,3826_10253
3826_140224,223500,2480500,Geometridae,Xerodes albonotaria aritai,成蟲,2014,421588,3826_5645
3826_287813,312500,2775500,Geometridae,Xerodes albonotaria aritai,成蟲,2014,421588,3826_11563
3826_264279,278500,2728500,Geometridae,Xerodes albonotaria aritai,成蟲,2014,421588,3826_10556
3826_288836,335500,2777500,Geometridae,Xerodes albonotaria aritai,成蟲,2014,421588,3826_11568
3826_280809,308500,2761500,Geometridae,Xerodes albonotaria aritai,成蟲,2014,421588,3826_11262
3826_263260,259500,2726500,Geometridae,Xerodes albonotaria aritai,成蟲,2015,421588,3826_10552
3826_273786,285500,2747500,Geometridae,Xerodes albonotaria aritai,成蟲,2015,421588,3826_10958
3826_264779,278500,2729500,Geometridae,Xerodes albonotaria aritai,成蟲,2014,421588,3826_10556
3826_297810,309500,2795500,Geometridae,Xerodes albonotaria aritai,成蟲,2015,421588,3826_11962
3826_140225,224500,2480500,Geometridae,Xerodes albonotaria aritai,成蟲,2014,421588,3826_5645
3826_284317,316500,2768500,Geometridae,Xerodes albonotaria aritai,成蟲,2015,421588,3826_11364
3826_280304,303500,2760500,Geometridae,Xerodes albonotaria aritai,成蟲,2015,421588,3826_11261
3826_273279,278500,2746500,Geometridae,Xerodes albonotaria aritai,成蟲,2013,421588,3826_10956
3826_263798,297500,2727500,Geometridae,Xerodes albonotaria aritai,成蟲,2016,421588,3826_10560
3826_290310,309500,2780500,Geometridae,Xerodes albonotaria aritai,成蟲,2016,421588,3826_11662
3826_252226,225500,2704500,Geometridae,Xerodes albonotaria aritai,成蟲,2016,421588,3826_10046
3826_140225,224500,2480500,Geometridae,Xerodes albonotaria aritai,成蟲,2016,421588,3826_5645
3826_290805,304500,2781500,Geometridae,Xerodes albonotaria aritai,成蟲,2013,421588,3826_11661
3826_232753,252500,2665500,Geometridae,Xerodes albonotaria aritai,成蟲,2016,421588,3826_9351
3826_293302,301500,2786500,Geometridae,Xerodes albonotaria aritai,成蟲,2013,421588,3826_11761
3826_293303,302500,2786500,Geometridae,Xerodes albonotaria aritai,成蟲,2013,421588,3826_11761
3826_291801,300500,2783500,Geometridae,Xerodes albonotaria aritai,成蟲,2013,421588,3826_11661
3826_287843,342500,2775500,Geometridae,Xerodes albonotaria aritai,成蟲,2016,421588,3826_11569
3826_269811,310500,2739500,Geometridae,Xerodes albonotaria aritai,成蟲,2016,421588,3826_10763
3826_225806,305500,2651500,Geometridae,Xerodes albonotaria aritai,成蟲,2016,421588,3826_9062
3826_273796,295500,2747500,Geometridae,Xerodes albonotaria aritai,成蟲,2016,421588,3826_10960
3826_255305,304500,2710500,Geometridae,Xerodes albonotaria aritai,成蟲,2016,421588,3826_10261
3826_281310,309500,2762500,Geometridae,Xerodes albonotaria aritai,成蟲,2016,421588,3826_11262
3826_289308,307500,2778500,Geometridae,Xerodes albonotaria aritai,成蟲,2016,421588,3826_11562
3826_263753,252500,2727500,Geometridae,Xerodes albonotaria aritai,成蟲,2016,421588,3826_10551
3826_275786,285500,2751500,Geometridae,Xerodes albonotaria aritai,成蟲,2016,421588,3826_11058
3826_281810,309500,2763500,Geometridae,Xerodes albonotaria aritai,成蟲,2016,421588,3826_11262
3826_293303,302500,2786500,Geometridae,Xerodes albonotaria aritai,成蟲,2016,421588,3826_11761
3826_238794,293500,2677500,Geometridae,Xerodes albonotaria aritai,成蟲,2016,421588,3826_9559
3826_263798,297500,2727500,Geometridae,Xerodes albonotaria aritai,成蟲,2015,421588,3826_10560
3826_225801,300500,2651500,Geometridae,Xerodes albonotaria aritai,成蟲,2017,421588,3826_9061
3826_293303,302500,2786500,Geometridae,Xerodes albonotaria aritai,成蟲,2017,421588,3826_11761
3826_252226,225500,2704500,Geometridae,Xerodes albonotaria aritai,成蟲,2017,421588,3826_10046
3826_265257,256500,2730500,Geometridae,Xerodes albonotaria aritai,成蟲,2017,421588,3826_10652
3826_294302,301500,2788500,Geometridae,Xerodes albonotaria aritai,成蟲,2017,421588,3826_11761
3826_267257,256500,2734500,Geometridae,Xerodes albonotaria aritai,成蟲,2017,421588,3826_10652
3826_281812,311500,2763500,Geometridae,Xerodes albonotaria aritai,成蟲,2017,421588,3826_11263
3826_281810,309500,2763500,Geometridae,Xerodes albonotaria aritai,成蟲,2017,421588,3826_11262
3826_273796,295500,2747500,Geometridae,Xerodes albonotaria aritai,成蟲,2017,421588,3826_10960
3826_272793,292500,2745500,Geometridae,Xerodes albonotaria aritai,成蟲,2017,421588,3826_10959
3826_266265,264500,2732500,Geometridae,Xerodes albonotaria aritai,成蟲,2017,421588,3826_10653
3826_267278,277500,2734500,Geometridae,Xerodes albonotaria aritai,成蟲,2017,421588,3826_10656
3826_275267,266500,2750500,Geometridae,Xerodes albonotaria aritai,成蟲,2017,421588,3826_11054
3826_263794,293500,2727500,Geometridae,Xerodes albonotaria aritai,成蟲,2015,421588,3826_10559
3826_262305,304500,2724500,Geometridae,Xerodes albonotaria aritai,成蟲,2018,421588,3826_10461
3826_232753,252500,2665500,Geometridae,Xerodes albonotaria aritai,成蟲,2018,421588,3826_9351
3826_293802,301500,2787500,Geometridae,Xerodes albonotaria aritai,成蟲,2018,421588,3826_11761
3826_293303,302500,2786500,Geometridae,Xerodes albonotaria aritai,成蟲,2018,421588,3826_11761
3826_260292,291500,2720500,Geometridae,Xerodes albonotaria aritai,成蟲,2018,421588,3826_10459
3826_272774,273500,2745500,Geometridae,Xerodes albonotaria aritai,成蟲,2018,421588,3826_10955
3826_284317,316500,2768500,Geometridae,Xerodes albonotaria aritai,成蟲,2018,421588,3826_11364
3826_257741,240500,2715500,Geometridae,Xerodes albonotaria aritai,成蟲,2018,421588,3826_10349
3826_293308,307500,2786500,Geometridae,Xerodes albonotaria aritai,成蟲,2018,421588,3826_11762
3826_262249,248500,2724500,Geometridae,Xerodes albonotaria aritai,成蟲,2018,421588,3826_10450
3826_266755,254500,2733500,Geometridae,Xerodes albonotaria aritai,成蟲,2018,421588,3826_10651
3826_282321,320500,2764500,Geometridae,Xerodes albonotaria aritai,成蟲,2018,421588,3826_11265
3826_175725,224500,2551500,Geometridae,Xerodes albonotaria aritai,成蟲,2018,421588,3826_7045
3826_237230,229500,2674500,Geometridae,Xerodes albonotaria aritai,成蟲,2018,421588,3826_9446
3826_258771,270500,2717500,Geometridae,Xerodes albonotaria aritai,成蟲,2018,421588,3826_10355
3826_291805,304500,2783500,Geometridae,Xerodes albonotaria aritai,成蟲,2014,421588,3826_11661
3826_273796,295500,2747500,Geometridae,Xerodes albonotaria aritai,成蟲,2018,421588,3826_10960
3826_227760,259500,2655500,Geometridae,Xerodes albonotaria aritai,成蟲,2019,421588,3826_9152
3826_277327,326500,2754500,Geometridae,Xerodes albonotaria aritai,成蟲,2018,421588,3826_11066
3826_216751,250500,2633500,Geometridae,Xerodes albonotaria aritai,成蟲,2013,421588,3826_8651
3826_292804,303500,2785500,Geometridae,Xerodes albonotaria aritai,成蟲,2019,421588,3826_11761
3826_263798,297500,2727500,Geometridae,Xerodes albonotaria aritai,成蟲,2019,421588,3826_10560
3826_293308,307500,2786500,Geometridae,Xerodes albonotaria aritai,成蟲,2019,421588,3826_11762
3826_269765,264500,2739500,Geometridae,Xerodes albonotaria aritai,成蟲,2019,421588,3826_10753
3826_279801,300500,2759500,Geometridae,Xerodes albonotaria aritai,成蟲,2019,421588,3826_11161
3826_297802,301500,2795500,Geometridae,Xerodes albonotaria aritai,成蟲,2019,421588,3826_11961
3826_238794,293500,2677500,Geometridae,Xerodes albonotaria aritai,成蟲,2019,421588,3826_9559
3826_265265,264500,2730500,Geometridae,Xerodes albonotaria aritai,成蟲,2019,421588,3826_10653
3826_259762,261500,2719500,Geometridae,Xerodes albonotaria aritai,成蟲,2012,421588,3826_10353
3826_266257,256500,2732500,Geometridae,Xerodes albonotaria aritai,成蟲,2019,421588,3826_10652
3826_224768,267500,2649500,Geometridae,Xerodes albonotaria aritai,成蟲,2019,421588,3826_8954
3826_224770,269500,2649500,Geometridae,Xerodes albonotaria aritai,成蟲,2019,421588,3826_8954
3826_238293,292500,2676500,Geometridae,Xerodes albonotaria aritai,成蟲,2019,421588,3826_9559
3826_266265,264500,2732500,Geometridae,Xerodes albonotaria aritai,成蟲,2019,421588,3826_10653
3826_292805,304500,2785500,Geometridae,Xerodes albonotaria aritai,成蟲,2019,421588,3826_11761
3826_273760,259500,2747500,Geometridae,Xerodes albonotaria aritai,成蟲,2019,421588,3826_10952
3826_255743,242500,2711500,Geometridae,Xerodes albonotaria aritai,成蟲,2019,421588,3826_10249
3826_272273,272500,2744500,Geometridae,Xerodes albonotaria aritai,成蟲,2019,421588,3826_10855
3826_266264,263500,2732500,Geometridae,Xerodes albonotaria aritai,成蟲,2019,421588,3826_10653
3826_254738,237500,2709500,Geometridae,Xerodes albonotaria aritai,成蟲,2019,421588,3826_10148
3826_238290,289500,2676500,Geometridae,Xerodes albonotaria aritai,成蟲,2019,421588,3826_9558
3826_274305,304500,2748500,Geometridae,Xerodes albonotaria aritai,成蟲,2018,421588,3826_10961
3826_228770,269500,2657500,Geometridae,Xerodes albonotaria aritai,成蟲,2020,421588,3826_9154
3826_291304,303500,2782500,Geometridae,Xerodes albonotaria aritai,成蟲,2014,421588,3826_11661
3826_257745,244500,2715500,Geometridae,Xerodes albonotaria aritai,成蟲,2020,421588,3826_10349
3826_140225,224500,2480500,Geometridae,Xerodes albonotaria aritai,成蟲,2020,421588,3826_5645
3826_175224,223500,2550500,Geometridae,Xerodes albonotaria aritai,成蟲,2020,421588,3826_7045
3826_291805,304500,2783500,Geometridae,Xerodes albonotaria aritai,成蟲,2015,421588,3826_11661
3826_290309,308500,2780500,Geometridae,Xerodes albonotaria aritai,成蟲,2015,421588,3826_11662
3826_259800,299500,2719500,Geometridae,Xerodes albonotaria aritai,成蟲,2015,421588,3826_10360
3826_216751,250500,2633500,Geometridae,Xerodes albonotaria aritai,成蟲,2015,421588,3826_8651
3826_228767,266500,2657500,Geometridae,Xerodes albonotaria aritai,成蟲,2020,421588,3826_9154
3826_281810,309500,2763500,Geometridae,Xerodes albonotaria aritai,成蟲,2021,421588,3826_11262
3826_297812,311500,2795500,Geometridae,Xerodes albonotaria aritai,成蟲,2020,421588,3826_11963
3826_273792,291500,2747500,Geometridae,Xerodes albonotaria aritai,成蟲,2021,421588,3826_10959
3826_238293,292500,2676500,Geometridae,Xerodes albonotaria aritai,成蟲,2021,421588,3826_9559
3826_238794,293500,2677500,Geometridae,Xerodes albonotaria aritai,成蟲,2021,421588,3826_9559
3826_286823,322500,2773500,Geometridae,Xerodes albonotaria aritai,成蟲,2021,421588,3826_11465
3826_291805,304500,2783500,Geometridae,Xerodes albonotaria aritai,成蟲,2018,421588,3826_11661
3826_284830,329500,2769500,Geometridae,Xerodes albonotaria aritai,成蟲,2018,421588,3826_11366
3826_281839,338500,2763500,Geometridae,Xerodes albonotaria aritai,成蟲,2022,421588,3826_11268
3826_266269,268500,2732500,Geometridae,Xerodes albonotaria aritai,成蟲,2022,421588,3826_10654
3826_273781,280500,2747500,Geometridae,Xerodes albonotaria aritai,成蟲,2022,421588,3826_10957
