GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_203243,242500,2606500,Geometridae,Xerodes contiguaria,成蟲,2011,414120,3826_8149
3826_263798,297500,2727500,Geometridae,Xerodes contiguaria,成蟲,2011,414120,3826_10560
3826_187200,199500,2574500,Geometridae,Xerodes contiguaria,成蟲,2012,414120,3826_7440
3826_204739,238500,2609500,Geometridae,Xerodes contiguaria,成蟲,2012,414120,3826_8148
3826_229767,266500,2659500,Geometridae,Xerodes contiguaria,成蟲,2012,414120,3826_9154
3826_166722,221500,2533500,Geometridae,Xerodes contiguaria,成蟲,2012,414120,3826_6645
3826_281810,309500,2763500,Geometridae,Xerodes contiguaria,成蟲,2013,414120,3826_11262
3826_263798,297500,2727500,Geometridae,Xerodes contiguaria,成蟲,2013,414120,3826_10560
3826_261315,314500,2722500,Geometridae,Xerodes contiguaria,成蟲,2013,414120,3826_10463
3826_273274,273500,2746500,Geometridae,Xerodes contiguaria,成蟲,2012,414120,3826_10955
3826_199721,220500,2599500,Geometridae,Xerodes contiguaria,成蟲,2014,414120,3826_7945
3826_204739,238500,2609500,Geometridae,Xerodes contiguaria,成蟲,2013,414120,3826_8148
3826_269811,310500,2739500,Geometridae,Xerodes contiguaria,成蟲,2014,414120,3826_10763
3826_264279,278500,2728500,Geometridae,Xerodes contiguaria,成蟲,2014,414120,3826_10556
3826_255762,261500,2711500,Geometridae,Xerodes contiguaria,成蟲,2015,414120,3826_10253
3826_293308,307500,2786500,Geometridae,Xerodes contiguaria,成蟲,2015,414120,3826_11762
3826_273788,287500,2747500,Geometridae,Xerodes contiguaria,成蟲,2012,414120,3826_10958
3826_140225,224500,2480500,Geometridae,Xerodes contiguaria,成蟲,2016,414120,3826_5645
3826_290805,304500,2781500,Geometridae,Xerodes contiguaria,成蟲,2013,414120,3826_11661
3826_200216,215500,2600500,Geometridae,Xerodes contiguaria,幼蟲,2015,414120,3826_8044
3826_269315,314500,2738500,Geometridae,Xerodes contiguaria,成蟲,2012,414120,3826_10763
3826_273792,291500,2747500,Geometridae,Xerodes contiguaria,成蟲,2014,414120,3826_10959
3826_263798,297500,2727500,Geometridae,Xerodes contiguaria,成蟲,2016,414120,3826_10560
3826_275806,305500,2751500,Geometridae,Xerodes contiguaria,成蟲,2016,414120,3826_11062
3826_152175,174500,2504500,Geometridae,Xerodes contiguaria,成蟲,2016,414120,3826_6035
3826_255812,311500,2711500,Geometridae,Xerodes contiguaria,成蟲,2016,414120,3826_10263
