GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_239301,300500,2678500,Noctuidae,Xylostola indistincta,成蟲,2011,346837,3826_9561
3826_273788,287500,2747500,Noctuidae,Xylostola indistincta,成蟲,2012,346837,3826_10958
3826_229767,266500,2659500,Noctuidae,Xylostola indistincta,成蟲,2012,346837,3826_9154
3826_264279,278500,2728500,Noctuidae,Xylostola indistincta,成蟲,2014,346837,3826_10556
3826_200731,230500,2601500,Noctuidae,Xylostola indistincta,成蟲,2014,346837,3826_8047
3826_139724,223500,2479500,Noctuidae,Xylostola indistincta,成蟲,2014,346837,3826_5545
3826_264279,278500,2728500,Noctuidae,Xylostola indistincta,成蟲,2013,346837,3826_10556
3826_274805,304500,2749500,Noctuidae,Xylostola indistincta,成蟲,2013,346837,3826_10961
3826_175223,222500,2550500,Noctuidae,Xylostola indistincta,成蟲,2014,346837,3826_7045
3826_221310,309500,2642500,Noctuidae,Xylostola indistincta,成蟲,2015,346837,3826_8862
3826_259800,299500,2719500,Noctuidae,Xylostola indistincta,成蟲,2015,346837,3826_10360
3826_200230,229500,2600500,Noctuidae,Xylostola indistincta,成蟲,2015,346837,3826_8046
3826_199720,219500,2599500,Noctuidae,Xylostola indistincta,成蟲,2015,346837,3826_7944
3826_255762,261500,2711500,Noctuidae,Xylostola indistincta,成蟲,2014,346837,3826_10253
3826_195215,214500,2590500,Noctuidae,Xylostola indistincta,成蟲,2015,346837,3826_7843
3826_255762,261500,2711500,Noctuidae,Xylostola indistincta,成蟲,2012,346837,3826_10253
3826_232267,266500,2664500,Noctuidae,Xylostola indistincta,成蟲,2012,346837,3826_9254
3826_199225,224500,2598500,Noctuidae,Xylostola indistincta,成蟲,2012,346837,3826_7945
3826_266771,270500,2733500,Noctuidae,Xylostola indistincta,成蟲,2012,346837,3826_10655
3826_236217,216500,2672500,Noctuidae,Xylostola indistincta,成蟲,2013,346837,3826_9444
3826_290805,304500,2781500,Noctuidae,Xylostola indistincta,成蟲,2013,346837,3826_11661
3826_151747,246500,2503500,Noctuidae,Xylostola indistincta,成蟲,2016,346837,3826_6050
3826_225806,305500,2651500,Noctuidae,Xylostola indistincta,成蟲,2016,346837,3826_9062
3826_282836,335500,2765500,Noctuidae,Xylostola indistincta,成蟲,2016,346837,3826_11368
3826_253242,241500,2706500,Noctuidae,Xylostola indistincta,成蟲,2016,346837,3826_10149
3826_188240,239500,2576500,Noctuidae,Xylostola indistincta,成蟲,2016,346837,3826_7548
3826_259282,281500,2718500,Noctuidae,Xylostola indistincta,成蟲,2016,346837,3826_10357
3826_265791,290500,2731500,Noctuidae,Xylostola indistincta,成蟲,2016,346837,3826_10659
3826_225801,300500,2651500,Noctuidae,Xylostola indistincta,成蟲,2017,346837,3826_9061
3826_266265,264500,2732500,Noctuidae,Xylostola indistincta,成蟲,2017,346837,3826_10653
3826_199225,224500,2598500,Noctuidae,Xylostola indistincta,成蟲,2017,346837,3826_7945
3826_281810,309500,2763500,Noctuidae,Xylostola indistincta,成蟲,2017,346837,3826_11262
3826_282784,283500,2765500,Noctuidae,Xylostola indistincta,成蟲,2017,346837,3826_11357
3826_198215,214500,2596500,Noctuidae,Xylostola indistincta,成蟲,2017,346837,3826_7943
3826_200230,229500,2600500,Noctuidae,Xylostola indistincta,成蟲,2017,346837,3826_8046
3826_281810,309500,2763500,Noctuidae,Xylostola indistincta,成蟲,2016,346837,3826_11262
3826_264279,278500,2728500,Noctuidae,Xylostola indistincta,成蟲,2017,346837,3826_10556
3826_175223,222500,2550500,Noctuidae,Xylostola indistincta,成蟲,2017,346837,3826_7045
3826_232268,267500,2664500,Noctuidae,Xylostola indistincta,成蟲,2017,346837,3826_9254
3826_238290,289500,2676500,Noctuidae,Xylostola indistincta,成蟲,2017,346837,3826_9558
3826_197723,222500,2595500,Noctuidae,Xylostola indistincta,成蟲,2017,346837,3826_7945
3826_224749,248500,2649500,Noctuidae,Xylostola indistincta,成蟲,2017,346837,3826_8950
3826_279806,305500,2759500,Noctuidae,Xylostola indistincta,成蟲,2017,346837,3826_11162
3826_175724,223500,2551500,Noctuidae,Xylostola indistincta,成蟲,2015,346837,3826_7045
