GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_219244,243500,2638500,Erebidae,Zurobata vacillans,成蟲,2012,346850,3826_8749
3826_281810,309500,2763500,Erebidae,Zurobata vacillans,成蟲,2013,346850,3826_11262
3826_273788,287500,2747500,Erebidae,Zurobata vacillans,成蟲,2013,346850,3826_10958
3826_177231,230500,2554500,Erebidae,Zurobata vacillans,成蟲,2013,346850,3826_7047
3826_187200,199500,2574500,Erebidae,Zurobata vacillans,成蟲,2013,346850,3826_7440
3826_250741,240500,2701500,Erebidae,Zurobata vacillans,成蟲,2014,346850,3826_10049
3826_175725,224500,2551500,Erebidae,Zurobata vacillans,成蟲,2014,346850,3826_7045
3826_139724,223500,2479500,Erebidae,Zurobata vacillans,成蟲,2014,346850,3826_5545
3826_175223,222500,2550500,Erebidae,Zurobata vacillans,成蟲,2014,346850,3826_7045
3826_283807,306500,2767500,Erebidae,Zurobata vacillans,成蟲,2015,346850,3826_11362
3826_264279,278500,2728500,Erebidae,Zurobata vacillans,成蟲,2014,346850,3826_10556
3826_175725,224500,2551500,Erebidae,Zurobata vacillans,成蟲,2013,346850,3826_7045
3826_272780,279500,2745500,Erebidae,Zurobata vacillans,成蟲,2014,346850,3826_10956
3826_140225,224500,2480500,Erebidae,Zurobata vacillans,成蟲,2014,346850,3826_5645
3826_287813,312500,2775500,Erebidae,Zurobata vacillans,成蟲,2013,346850,3826_11563
3826_280304,303500,2760500,Erebidae,Zurobata vacillans,成蟲,2015,346850,3826_11261
3826_187200,199500,2574500,Erebidae,Zurobata vacillans,成蟲,2015,346850,3826_7440
3826_228249,248500,2656500,Erebidae,Zurobata vacillans,成蟲,2015,346850,3826_9150
3826_285310,309500,2770500,Erebidae,Zurobata vacillans,成蟲,2016,346850,3826_11462
3826_213711,210500,2627500,Erebidae,Zurobata vacillans,成蟲,2016,346850,3826_8543
3826_165724,223500,2531500,Erebidae,Zurobata vacillans,成蟲,2016,346850,3826_6645
